aa	aa
ab	ab
ae	ae
af	af
ak	Akan
am	Amarik
an	an
ar	Arabik
as	as
av	av
ay	ay
az	az
ba	ba
be	Belarus kasa
bn	Bengali kasa
my	Bɛɛmis kasa
bi	bi
bm	bm
bo	bo
en	Borɔfo
en-GB	Borɔfo (GB)
en-US	Borɔfo (US)
bg	Bɔlgeria kasa
br	br
bs	bs
ca	ca
ce	ce
ch	ch
co	co
cr	cr
cu	cu
cv	cv
cy	cy
da	da
nl	Dɛɛkye
dv	dv
dz	dz
ee	ee
eo	eo
et	et
eu	eu
ff	ff
fi	fi
fj	fj
fo	fo
fr	Frɛnkye
fy	fy
ga	ga
gd	gd
gl	gl
gn	gn
el	Greek kasa
gu	gu
gv	gv
de	Gyaaman
jv	Gyabanis kasa
ja	Gyapan kasa
hu	Hangri kasa
ha	Hausa
he	he
hi	Hindi
ho	ho
hr	hr
ht	ht
hy	hy
hz	hz
ia	ia
ie	ie
ig	Igbo
ii	ii
ik	ik
id	Indonihyia kasa
io	io
is	is
it	Italy kasa
iu	iu
ka	ka
km	Kambodia kasa
kg	kg
ki	ki
kj	kj
kk	kk
kl	kl
kn	kn
ko	Korea kasa
kr	kr
ks	ks
ku	ku
kv	kv
kw	kw
ky	ky
zh	Kyaena kasa
cs	Kyɛk kasa
la	la
lb	lb
lg	lg
li	li
ln	ln
lo	lo
lt	lt
lu	lu
lv	lv
ms	Malay kasa
mg	mg
mh	mh
mi	mi
mk	mk
ml	ml
mn	mn
mr	mr
mt	mt
na	na
nb	nb
nd	nd
ne	Nɛpal kasa
ng	ng
nn	nn
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
om	om
or	or
os	os
fa	Pɛɛhyia kasa
pi	pi
pl	Pɔland kasa
pt	Pɔɔtugal kasa
ps	ps
pa	Pungyabi kasa
qu	qu
ru	Rahyia kasa
rw	Rewanda kasa
rm	rm
rn	rn
ro	Romenia kasa
sa	sa
sc	sc
sd	sd
se	se
sg	sg
sh	sh
si	si
sk	sk
sl	sl
sm	sm
sn	sn
so	Somalia kasa
es	Spain kasa
sq	sq
sr	sr
ss	ss
st	st
su	su
sw	sw
sv	Sweden kasa
th	Taeland kasa
ta	Tamil kasa
te	te
tr	Tɛɛki kasa
tg	tg
ti	ti
tk	tk
tl	tl
tn	tn
to	to
ts	ts
tt	tt
tw	tw
ty	ty
ug	ug
uk	Ukren kasa
ur	Urdu kasa
uz	uz
ve	ve
vi	Viɛtnam kasa
vo	vo
wa	wa
wo	wo
xh	xh
yi	yi
yo	Yoruba
za	za
zu	Zulu
