ab	الأبخازية
az	الأذرية
an	الأراغونية
ur	الأردية
hy	الأرمينية
as	الأسامية
es	الإسبانية
eo	الإسبرانتو
et	الإستونية
ug	الأغورية
aa	الأفارية
af	الأفريقانية
ae	الأفستية
ak	الأكانية
sq	الألبانية
de	الألمانية
am	الأمهرية
ie	الإنترلينج
en	الإنجليزية
en-GB	الإنجليزية المملكة المتحدة
en-US	الإنجليزية الولايات المتحدة
id	الإندونيسية
av	الأوارية
oj	الأوجيبوا
om	الأورومو
or	الأورييا
uz	الأوزبكية
os	الأوسيتيك
uk	الأوكرانية
oc	الأوكيتانية
ig	الإيجبو
io	الإيدو
ga	الأيرلندية
is	الأيسلاندية
it	الإيطالية
ay	الأيمارا
ik	الإينبياك
iu	الإينكتيتت
ee	الإيوي
ba	الباشكيرية
pi	البالية
bm	البامبارا
pt	البرتغالية
br	البريتونية
ps	البشتونية
bg	البلغارية
pa	البنجابية
bn	البنغالية
my	البورمية
bs	البوسنية
nb	البوكمالية النرويجية
pl	البولندية
bi	البيسلامية
be	البيلاروسية
tl	التاغالوغية
ta	التاميلية
ty	التاهيتية
th	التايلاندية
bo	التبتية
tt	التتارية
tk	التركمانية
tr	التركية
tn	التسوانية
ch	التشامورو
cv	التشوفاشي
cs	التشيكية
ti	التغرينية
to	التونغية
tw	التوي
te	التيلجو
gl	الجاليكية
lg	الجاندا
jv	الجاوية
gn	الجواراني
ka	الجورجية
km	الخميرية
xh	الخوسا
da	الدانماركية
rn	الرندي
ru	الروسية
rm	الرومانشية
ro	الرومانية
za	الزهيونج
zu	الزولو
dz	الزونخاية
sm	الساموائية
se	السامي الشمالي
sg	السانجو
sc	السردينية
sk	السلوفاكية
sl	السلوفانية
sd	السندية
sa	السنسكريتية
si	السنهالية
ss	السواتي
sw	السواحلية
st	السوتو الجنوبية
ts	السونجا
su	السوندانية
sv	السويدية
ii	السيتشيون يي
sn	الشونا
ce	الشيشانية
sr	الصربية
so	الصومالية
zh	الصينية
tg	الطاجيكية
he	العبرية
ar	العربية
gu	الغوجاراتية
gd	الغيلية الأسكتلندية
fa	الفارسية
fo	الفارويز
fr	الفرنسية
fy	الفريزيان
ff	الفلة
fi	الفنلندية
vi	الفيتنامية
fj	الفيجية
ve	الفيندا
ky	القرغيزية
kk	الكازاخستانية
kl	الكالاليست
kn	الكانادا
kr	الكانيوري
ca	الكتالانية
ku	الكردية
hr	الكرواتية
cr	الكرى
ks	الكشميرية
co	الكورسيكية
kw	الكورنية
ko	الكورية
kv	الكومي
kg	الكونغو
qu	الكويتشوا
ki	الكيكيو
rw	الكينيارواندا
kj	الكيونياما
lv	اللاتفية
la	اللاتينية
lo	اللاوية
lu	اللبا-كاتانجا
lt	اللتوانية
ia	اللّغة الوسيطة
lb	اللوكسمبرجية
li	الليمبرجيشية
ln	اللينجالا
mr	الماراثي
mh	المارشالية
mg	المالاجاشية
dv	المالديفية
mt	المالطية
ml	الماليالام
mi	الماورية
mk	المقدونية
mn	المنغولية
gv	المنكية
nv	النافاجو
ng	الندونجا
nr	النديبيل الجنوبي
nd	النديبيل الشمالي
no	النرويجية
na	النورو
ny	النيانجا
ne	النيبالية
nn	النينورسك النرويجي
ht	الهايتية
hi	الهندية
hu	الهنغارية
ha	الهوسا
nl	الهولندية
ho	الهيري موتو
hz	الهيريرو
cy	الولزية
wo	الولوف
wa	الولونية
ja	اليابانية
yi	اليديشية
yo	اليوروبية
el	اليونانية
cu	سلافية كنسية
sh	صربية-كرواتية
eu	لغة الباسك
vo	لغة الفولابوك
ms	لغة الملايو
