aa	aa
ab	ab
ae	ae
af	af
ak	ak
am	am
an	an
ar	ar
as	as
av	av
ay	ay
az	az
ba	ba
be	be
bg	bg
bi	bi
bm	bm
bn	bn
bo	bo
br	br
bs	bs
ca	ca
ce	ce
ch	ch
co	co
cr	cr
cs	cs
cu	cu
cv	cv
cy	cy
da	da
dv	dv
dz	dz
ee	ee
el	el
eo	eo
et	et
eu	eu
fa	fa
ff	ff
fi	fi
fj	fj
fo	fo
fy	fy
ga	ga
gd	gd
gl	gl
gn	gn
gu	gu
gv	gv
ha	ha
he	he
hi	hi
ho	ho
hr	hr
ht	ht
hu	hu
hy	hy
hz	hz
xh	xh
ia	ia
id	id
ie	ie
ig	ig
ii	ii
ik	ik
io	io
is	is
iu	iu
jv	jv
ka	ka
kg	kg
ki	ki
kj	kj
kk	kk
kl	kl
km	km
kn	kn
ko	ko
kr	kr
ks	ks
ku	ku
kv	kv
ky	ky
kw	kw
qu	qu
la	la
lb	lb
lg	lg
li	li
ln	ln
lo	lo
lt	lt
lu	lu
lv	lv
mg	mg
mh	mh
mi	mi
mk	mk
ml	ml
mn	mn
mr	mr
ms	ms
mt	mt
my	my
na	na
nb	nb
nd	nd
ne	ne
ng	ng
nl	nl
nn	nn
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
om	om
or	or
os	os
pa	pa
pi	pi
pl	pl
ps	ps
rm	rm
rn	rn
ro	ro
rw	rw
sa	sa
sc	sc
sd	sd
se	se
sg	sg
sh	sh
si	si
sk	sk
sq	sq
sl	sl
sm	sm
sn	sn
so	so
sr	sr
ss	ss
st	st
su	su
sv	sv
sw	sw
ta	ta
te	te
tg	tg
th	th
ti	ti
tk	tk
tl	tl
tn	tn
to	to
tr	tr
ts	ts
tt	tt
ty	ty
tw	tw
ug	ug
uk	uk
ur	ur
uz	uz
ve	ve
vi	vi
vo	vo
yi	yi
yo	yo
za	za
zu	zu
wa	wa
wo	wo
de	алман дили
en	инҝилис дили
en-GB	инҝилис дили (GB)
en-US	инҝилис дили (US)
es	испан дили
it	италјан дили
ja	јапон дили
pt	португал дили
ru	рус дили
fr	франсыз дили
zh	чин дили
