aa	aa
ab	ab
ae	ae
af	af
an	an
as	as
av	av
ay	ay
az	az
ba	ba
bi	bi
bm	bm
bo	bo
br	br
bs	bs
ca	ca
ce	ce
ch	ch
co	co
cr	cr
cu	cu
cv	cv
cy	cy
da	da
dv	dv
dz	dz
ee	ee
eo	eo
et	et
eu	eu
ff	ff
fi	fi
fj	fj
fo	fo
fy	fy
ga	ga
gd	gd
gl	gl
gn	gn
gu	gu
gv	gv
he	he
ho	ho
hr	hr
ht	ht
hy	hy
hz	hz
ia	ia
ak	Ichi Akan
am	Ichi Amhari
ar	Ichi Arab
be	Ichi Belarus
bn	Ichi Bengali
bg	Ichi Bulgariani
my	Ichi Burma
zh	Ichi Chainisi
cs	Ichi Cheki
nl	Ichi Dachi
fr	Ichi Frenchi
el	Ichi Griki
hu	Ichi Hangarian
ha	Ichi Hausa
hi	Ichi Hindu
ig	Ichi Ibo
id	Ichi Indonesiani
it	Ichi Italiani
ja	Ichi Japanisi
jv	Ichi Javanisi
de	Ichi Jemani
km	Ichi Khmer
ko	Ichi Koriani
ms	Ichi Maleshani
ne	Ichi Nepali
fa	Ichi Pesia
pl	Ichi Polishi
pt	Ichi Potogisi
pa	Ichi Punjabi
ro	Ichi Romaniani
ru	Ichi Rusiani
rw	Ichi Rwanda
so	Ichi Somalia
es	Ichi Spanishi
en	Ichi Sungu
en-GB	Ichi Sungu (GB)
en-US	Ichi Sungu (US)
sv	Ichi Swideni
tr	Ichi Takishi
ta	Ichi Tamil
th	Ichi Thai
uk	Ichi Ukraniani
ur	Ichi Urudu
vi	Ichi Vietinamu
yo	Ichi Yoruba
zu	Ichi Zulu
ie	ie
ii	ii
ik	ik
io	io
is	is
iu	iu
ka	ka
kg	kg
ki	ki
kj	kj
kk	kk
kl	kl
kn	kn
kr	kr
ks	ks
ku	ku
kv	kv
kw	kw
ky	ky
la	la
lb	lb
lg	lg
li	li
ln	ln
lo	lo
lt	lt
lu	lu
lv	lv
mg	mg
mh	mh
mi	mi
mk	mk
ml	ml
mn	mn
mr	mr
mt	mt
na	na
nb	nb
nd	nd
ng	ng
nn	nn
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
om	om
or	or
os	os
pi	pi
ps	ps
qu	qu
rm	rm
rn	rn
sa	sa
sc	sc
sd	sd
se	se
sg	sg
sh	sh
si	si
sk	sk
sl	sl
sm	sm
sn	sn
sq	sq
sr	sr
ss	ss
st	st
su	su
sw	sw
te	te
tg	tg
ti	ti
tk	tk
tl	tl
tn	tn
to	to
ts	ts
tt	tt
tw	tw
ty	ty
ug	ug
uz	uz
ve	ve
vo	vo
wa	wa
wo	wo
xh	xh
yi	yi
za	za
