ab	абхазки
av	аварски
ae	авестски
az	азерски
ay	аймара
ak	акан
sq	албански
am	амхарски
en	английски
en-GB	английски (UK)
en-US	английски (US)
ar	арабски
an	арагонски
hy	арменски
as	асамски
aa	афар
af	африкаанс
bm	бамбара
eu	баски
ba	башкирски
be	беларуски
bn	бенгалски
my	бирмански
bi	бислама
bs	босненски
br	бретонски
bg	български
wa	валонски
ve	венда
vi	виетнамски
vo	волапюк
wo	волоф
gl	галисийски
lg	ганда
kl	гренландски
ka	грузински
el	гръцки
gn	гуарани
gu	гуджарати
da	датски
dz	дзонха
dv	дивехи
ee	еве
eo	есперанто
et	естонски
za	зуанг
zu	зулуски
he	иврит
ig	игбо
yi	идиш
io	идо
id	индонезийски
ia	интерлингва
iu	инуктитут
ik	инупиак
ga	ирландски
is	исландски
es	испански
it	италиански
yo	йоруба
kk	казахски
kn	каннада
kr	канури
ca	каталонски
ks	кашмирски
kj	кваняма
qu	кечуа
ki	кикую
rw	киняруанда
ky	киргизки
zh	китайски
kv	Коми
kg	конгоански
ko	корейски
kw	корнуолски
co	корсикански
cr	крии
xh	ксоса
km	кхмерски
ku	кюрдски
lo	лаоски
lv	латвийски
la	латински
li	лимбургски
ln	лингала
lt	литовски
lu	луба катанга
lb	люксембургски
mk	македонски
ms	малайски
ml	малаялам
mg	малгашки
mt	малтийски
gv	манкски
mi	маорски
mr	марати
mh	маршалезе
mn	монголски
nv	навахо
na	науру
ng	ндонга
de	немски
ne	непалски
nl	нидерландски
no	норвежки
nb	норвежки (букмол)
nn	норвежки (нюношк)
oj	оджибва
ie	оксидентал
oc	окситански
or	ория
om	оромо
os	осетски
pi	пали
pa	пенджабски
fa	персийски
pl	полски
pt	португалски
ps	пущу
rm	реторомански
ro	румънски
rn	рунди
ru	руски
sm	самоански
sg	санго
sa	санкскритски
sc	сардински
nd	северен ндебеле
se	северносаамски
st	сесуто
sd	синдхи
si	синхалски
sk	словашки
sl	словенски
so	сомалийски
sr	сръбски
ss	суази
sw	суахили
su	сундански
sh	сърбохърватски
ii	съчуански и
tl	тагалог
tg	таджикски
ty	таитянски
th	тайски
ta	тамилски
tt	татарски
te	телугу
bo	тибетски
ti	тигриня
to	тонга
tn	тсвана
ts	тсонга
tw	туи
tk	туркменски
tr	турски
cy	уелски
uz	узбекски
ug	уйгурски
uk	украински
hu	унгарски
ur	урду
fo	фарьорски
fj	фиджийски
fi	фински
fr	френски
fy	фризийски
ff	фула
ht	хаитянски
ha	хауза
hz	хереро
hi	хинди
ho	хири моту
hr	хърватски
cu	църковно славянски
ch	чаморо
ce	чеченски
cs	чешки
ny	чинянджа
cv	чувашки
sv	шведски
sn	шона
gd	шотландски галски
nr	южен ндебеле
jv	явански
ja	японски
