aa	aa
ab	ab
ae	ae
af	af
ak	akankan
de	alimaɲikan
am	amarikikan
an	an
en	angilɛkan
en-GB	angilɛkan (GB)
en-US	angilɛkan (US)
as	as
av	av
ha	awusakan
ay	ay
az	az
ba	ba
bm	bamanakan
bn	bɛngalikan
bi	bi
my	birimanikan
be	biyelorisikan
bo	bo
br	br
bs	bs
bg	buligarikan
ca	ca
ce	ce
cs	cɛkikan
ch	ch
co	co
cr	cr
cu	cu
cv	cv
cy	cy
da	da
dv	dv
dz	dz
ee	ee
eo	eo
es	esipaɲolkan
et	et
eu	eu
id	Ɛndonezikan
ff	ff
fi	fi
fj	fj
fo	fo
fy	fy
ga	ga
gd	gd
el	gɛrɛsikan
gl	gl
gn	gn
gu	gu
gv	gv
he	he
ho	ho
hr	hr
ht	ht
hy	hy
hz	hz
ia	ia
ie	ie
ig	igibokan
ii	ii
ik	ik
hi	inidikan
io	io
ru	irisikan
is	is
it	italikan
iu	iu
jv	javanekan
ka	ka
km	kambojikan
kg	kg
ki	ki
kj	kj
kk	kk
kl	kl
kn	kn
ko	korekan
kr	kr
ks	ks
ku	ku
kv	kv
kw	kw
ky	ky
la	la
ar	larabukan
lb	lb
lg	lg
li	li
ln	ln
lo	lo
lt	lt
lu	lu
lv	lv
ms	malɛzikan
mg	mg
mh	mh
mi	mi
mk	mk
ml	ml
mn	mn
mr	mr
mt	mt
na	na
nb	nb
nd	nd
ne	nepalekan
ng	ng
nn	nn
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
nl	olandekan
om	om
hu	oŋirikan
or	or
os	os
fa	perisanikan
pa	pɛnijabikan
pi	pi
pl	polonekan
pt	pɔritigalikan
ps	ps
qu	qu
rm	rm
rn	rn
ro	rumanikan
rw	ruwandakan
sa	sa
sc	sc
sd	sd
se	se
sg	sg
sh	sh
si	si
zh	siniwakan
sk	sk
sl	sl
sm	sm
sn	sn
so	somalikan
sq	sq
sr	sr
ss	ss
st	st
su	su
sv	suwɛdikan
sw	sw
ta	tamulikan
th	tayikan
te	te
tg	tg
ti	ti
tk	tk
tl	tl
tn	tn
to	to
ts	ts
tt	tt
fr	tubabukan
tr	turikikan
tw	tw
ty	ty
ug	ug
uk	ukɛrɛnikan
ur	urudukan
uz	uz
ve	ve
vo	vo
wa	wa
vi	wiyɛtinamukan
wo	wo
xh	xh
yi	yi
yo	yorubakan
za	za
ja	zapɔnekan
zu	zulukan
