ab	абказијски
av	аварски
ae	авестански
az	азерски
ay	ајмара
ak	акан
sq	албански
am	амхарски
an	арагонежански
ar	арапски
as	асемијски
aa	афарски
af	африканерски
bm	бамбара
eu	баскијски
ba	башкир
be	белоруски
bn	бенгласки
bi	бислама
bs	босански
br	бретонски
bg	бугарски
my	бурмански
wa	валун
cy	велшки
ve	венда
vi	вијетнамски
vo	волапук
wo	волоф
gl	галски
lg	ганда
gn	гварани
ka	грузијски
el	грчки
gu	гуџарати
da	дански
dv	дивехијски
ee	еве
en	енглески
en-GB	енглески (GB)
en-US	енглески (US)
eo	есперанто
et	естонски
za	жуанг
zu	зулу
ig	игбо
io	идо
id	индонежански
ia	интерлингва
iu	инуктитут
ga	ирски
is	исландски
it	италијански
jv	јавански
ja	јапански
hy	јерменски
yi	јидиш
yo	јоруба
nr	јужни ндебеле
kl	калалисут
kn	канада
kr	канури
ca	каталонски
ks	кашмирски
qu	квенча
ki	кикују
zh	кинески
rw	кинјаруанда
ky	киргиски
km	кмерски
kk	козачки
kv	коми
kg	конго
ko	корејски
co	корзикански
kw	корнишки
cr	кри
xh	ксхоса
kj	куањама
ku	курдски
lo	лаоски
la	латински
lv	летонски
li	лимбургиш
ln	лингала
lt	литвански
lu	луба-катанга
lb	луксембуршки
hu	мађарски
mk	македонски
mg	малагасијски
ml	малајалам
ms	малајски
gv	манкс
mi	маорски
mr	марати
mh	маршалски
ie	међујезички
mt	мелтешки
mn	монголски
nv	навахо
na	науру
ng	ндонга
de	немачки
ne	непалски
no	норвешки
nb	норвешки бокмал
nn	норвешки њорск
ny	њања
oj	ојибва
or	оријски
om	оромо
os	осетски
pi	пали
pa	панџабски
ps	паштунски
fa	персијски
pl	пољски
pt	португалски
oc	провансалски
rm	рето-романски
ro	румунски
rn	рунди
ru	руски
sm	самоански
sg	санго
sa	санскрит
sc	сардињаски
ss	свати
sw	свахили
nd	северни ндебеле
se	северни сами
st	сесото
si	сингалески
sd	синди
ii	сичуан ји
sk	словачки
sl	словеначки
so	сомалски
sr	српски
sh	српскохрватски
cu	старословенски
su	сундански
tl	тагалски
tg	тађик
th	тајландски
ta	тамилски
tt	татарски
ty	тахићански
tw	тви
te	телугу
bo	тибетански
ti	тигриња
to	тонга
tn	тсвана
ts	тсонга
tk	туркменски
tr	турски
uz	узбечки
ug	ујгурски
uk	украјински
ik	унупиак
ur	урду
fo	фарски
fj	фиджијски
fi	фински
fr	француски
fy	фризијски
ff	фулах
ht	хаитски
ha	хауса
he	хебрејски
hz	хереро
hi	хинди
ho	хири моту
nl	холандски
hr	хрватски
ch	чаморо
ce	чеченски
cs	чешки
cv	чувашки
dz	џонга
sv	шведски
gd	шкотски галски
sn	шона
es	шпански
