ab	abhazijski
aa	afarski
af	afrikanerski
ay	ajmara
ak	akan
sq	albanski
am	amharski
an	aragonežanski
ar	arapski
as	asemijski
av	avarski
ae	avestanski
az	azerski
bm	bambara
eu	baskijski
ba	baškirski
bn	bengalski
bi	bislama
be	bjeloruski
bs	bosanski
br	bretonski
bg	bugarski
my	burmanski
ch	čamoro
ce	čečenski
cs	češki
cv	čuvaški
da	danski
dv	divehijski
dz	džonga
en	engleski
en-US	engleski (SAD)
en-GB	engleski (UK)
eo	esperanto
et	estonski
ee	eve
fo	farski
fj	fidžijski
fi	finski
fr	francuski
fy	frizijski
ff	fulah
gl	galski
lg	ganda
el	grčki
ka	gruzijski
gu	gudžarati
gn	gvarani
ht	haićanski
ha	hausa
he	hebrejski
hz	herero
hi	hindi
ho	hiri motu
nl	holandski
hr	hrvatski
io	ido
ig	igbo
id	indonezijski
ia	interlingva
ie	interlingve
iu	inuktitut
ik	inupiak
ga	irski
is	islandski
it	italijanski
ja	japanski
jv	javanski
hy	jermenski
yi	jidiš
yo	jorubanski
nr	južni ndebele
kl	kalalisutski
kn	kanada
kr	kanuri
ks	kašmiri
ca	katalonski
kk	kazački
ki	kikuju
zh	kineski
rw	kinjarvanda
ky	kirgiski
km	kmerski
kv	komi
kg	kongo
ko	korejski
kw	korniški
co	korzikanski
xh	kosa
cr	kri
kj	kuanjama
ku	kurdski
qu	kvenča
lo	laoški
la	latinski
lv	letonski
li	limburgiš
ln	lingala
lt	litvanski
lu	luba-katanga
lb	luksemburški
hu	mađarski
mk	makedonski
mg	malagazijski
ml	malajalam
ms	malajski
mt	malteški
gv	manks
mi	maorski
mr	marati
mh	maršalski
mn	mongolski
na	nauru
nv	navaho
ng	ndonga
ne	nepalski
ny	njanja
de	njemački
no	norveški
nb	norveški bokmal
nn	norveški njorsk
oj	ojibva
or	orijski
om	oromo
os	osetski
pi	pali
pa	pandžabski
ps	paštunski
fa	perzijski
pl	poljski
pt	portugalski
oc	provansalski
rm	reto-romanski
ro	rumunski
rn	rundi
ru	ruski
sm	samoanski
sg	sango
sa	sanskrit
sc	sardinijski
st	sesoto
ii	sičuan ji
sd	sindi
si	singaleski
nd	sjeverni ndebele
se	sjeverni sami
gd	škotski galski
sk	slovački
sl	slovenački
so	somalski
sn	šona
es	španski
sr	srpski
sh	srpskohrvatski
cu	staroslovenski
su	sundanski
sw	svahili
ss	svati
sv	švedski
tg	tadžički
tl	tagalski
ty	tahićanski
th	tajlandski
ta	tamilski
tt	tatarski
te	telugu
bo	tibetanski
ti	tigrinja
to	tonganski
ts	tsonga
tn	tsvana
tk	turkmenski
tr	turski
tw	tvi
ug	ujgurski
uk	ukrajinski
ur	urdu
uz	uzbečki
wa	valun
cy	velški
ve	venda
vi	vijetnamski
vo	volapük
wo	volof
za	zuang
zu	zulu
