aa	aa
ae	ae
an	an
av	av
ay	ay
bi	bi
ch	ch
cr	cr
cu	cu
dv	dv
ff	ff
gd	gd
ho	ho
hz	hz
ia	ia
ie	ie
ik	ik
io	io
kg	kg
kj	kj
kr	kr
kv	kv
li	li
mh	mh
na	na
ng	ng
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
os	os
pi	pi
sc	sc
sh	sh
sm	sm
ss	ss
st	st
tl	tl
tn	tn
ts	ts
tw	tw
ty	ty
ve	ve
vo	vo
wa	wa
yi	yi
za	za
ab	абхазхойн
az	азербайджанийн
ak	акан
sq	албанойн
am	амхаройн
as	ассамийн
af	африкаанс
bm	бамбара
eu	баскийн
ba	башкирийн
be	белорусийн
bn	бенгалийн
my	бирманийн
bg	болгарийн
bs	боснийн
br	бретонийн
cy	валлийн
hu	венгрийн
wo	волоф
vi	вьетнамхойн
ht	гаитийн
gl	галисийн
lg	ганда
nl	голландхойн
el	грекийн
kl	гренландхойн
gn	гуарани
gu	гуджарати
ka	гуьржийн
fa	гӀажарийн
tt	гӀезалойн
ky	гӀиргӀизойн
da	датхойн
dz	дзонг-кэ
he	жугтийн
zu	зулу
ig	игбо
en	ингалсан
en-US	ингалсан (АЦШ)
en-GB	ингалсан (Британи)
id	индонезихойн
iu	инуктитут
ga	ирландхойн
is	исландхойн
es	испанхойн
it	итальянийн
yo	йоруба
kk	казахийн
kn	каннада
ca	каталонийн
ks	кашмири
qu	кечуа
ki	кикуйю
rw	киньяруанда
zh	китайн
ko	корейн
kw	корнуоллийн
co	корсиканийн
xh	коса
ku	курдийн
km	кхмерийн
nd	къилбаседа ндебели
se	къилбаседа саамийн
lo	лаоссийн
la	латинан
lv	латышийн
ln	лингала
lt	литвахойн
lu	луба-катанга
lb	люксембургхойн
mk	македонхойн
mg	малагасийн
ms	малайн
ml	малаялам
fy	малхбузен-фризийн
mt	мальтойн
mi	маори
mr	маратхи
mn	монголийн
gv	мэнийн
de	немцойн
ne	непалхойн
nb	норвегийн букмол
nn	норвегийн нюнорск
ce	нохчийн
or	ори
om	оромо
ru	оьрсийн
pa	панджаби
pl	полякийн
pt	португалихойн
ps	пушту
rm	романшийн
ro	румынийн
rn	рунди
sg	санго
sa	санскрит
sr	сербийн
si	сингалхойн
sd	синдхи
sk	словакийн
sl	словенийн
so	сомали
sw	суахили
su	сунданхойн
ii	сычуань
tg	таджикийн
th	тайн
ta	тамилхойн
te	телугу
bo	тибетхойн
ti	тигринья
to	тонганийн
tk	туркменийн
tr	туркойн
uz	узбекийн
ug	уйгурийн
uk	украинийн
ur	урду
fo	фарерийн
fj	фиджи
fi	финнийн
fr	французийн
ha	хауса
hi	хинди
hr	хорватийн
cs	чехийн
cv	чувашийн
sv	шведийн
sn	шона
ee	эве
hy	эрмалойн
eo	эсперанто
et	эстонийн
jv	яванийн
ja	японийн
ar	Ӏаьрбийн
