aa	aa
ab	ab
ae	ae
af	af
ak	ak
an	an
av	av
ay	ay
ba	ba
bi	bi
bm	bm
bo	bo
ce	ce
ch	ch
co	co
cr	cr
cu	cu
cv	cv
dv	dv
dz	dz
ee	ee
ff	ff
fj	fj
fo	fo
gd	gd
gv	gv
ha	ha
ho	ho
ht	ht
hz	hz
ia	ia
ie	ie
ig	ig
ii	ii
ik	ik
io	io
iu	iu
kg	kg
ki	ki
kj	kj
kk	kk
kl	kl
km	km
kn	kn
ko	ko
kr	kr
ks	ks
kv	kv
kw	kw
lb	lb
lg	lg
li	li
lu	lu
mg	mg
mh	mh
mi	mi
ml	ml
ms	ms
mt	mt
my	my
na	na
nb	nb
nd	nd
ng	ng
nn	nn
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
om	om
os	os
pi	pi
qu	qu
rm	rm
rn	rn
rw	rw
sc	sc
se	se
sg	sg
sh	sh
sm	sm
sn	sn
ss	ss
st	st
sw	sw
tl	tl
tn	tn
to	to
ts	ts
tt	tt
tw	tw
ty	ty
ve	ve
vo	vo
wa	wa
wo	wo
xh	xh
yi	yi
yo	yo
za	za
az	ئازەربایجانی
as	ئاسامی
sq	ئاڵبانی
de	ئاڵمانی
hy	ئەرمەنی
am	ئەمهەرینجی
uz	ئوزبەکی
ug	ئويخووری
ur	ئۆردوو
or	ئۆرییا
uk	ئۆكراینی
it	ئیتالی
ga	ئیرلەندی
es	ئیسپانی
et	ئیستۆنی
is	ئیسلەندی
en	ئینگلیزی
en-GB	ئینگلیزی (GB)
en-US	ئینگلیزیی ئەمەریکایی
eo	ئێسپیرانتۆ
id	ئێەندونیزی
eu	باسکی
br	برێتونی
bn	بەنگلادێشی
bs	بۆسنی
bg	بۆلگاری
be	بێلاڕووسی
ps	پەشتوو
pa	پەنجابی
pt	پورتوگالی
pl	پۆڵۆنیایی (لەهستانی)
tg	تاجیکی
ta	تامیلی
th	تایلەندی
te	تەلۆگوی
tk	تورکمانی
tr	تورکی
ti	تیگرینیای
jv	جاڤانی
cs	چەكی
zh	چینی
da	دانماركی
zu	زولو
ru	ڕووسی
ro	ڕۆمانی
ja	ژاپۆنی
sa	سانسکريت
sk	سلۆڤاكی
sl	سلۆڤێنی
sr	سەربی
su	سودانی
sv	سویدی
so	سۆمالی
sd	سيندی
si	سینهەلی
ar	عەرەبی
fa	فارسی
fy	فریسیی ڕۆژاوا
fr	فەرانسی
fi	فینلەندی
vi	ڤیەتنامی
ca	كاتالۆنی
ky	كرگیزی
hr	كرواتی
ku	کوردی
gl	گالیسی
gu	گوجاراتی
gn	گووارانی
ka	گۆرجستانی
la	لاتینی
lo	لاوی
ln	لينگالا
lt	لیتوانی
lv	لێتۆنی
mr	ماراتی
mk	ماكێدۆنی
mn	مەنگۆلی
ne	نیپالی
hu	هەنگاری (مەجاری)
nl	هۆڵەندی
he	هیبرێ
hi	هیندی
cy	وێلزی
el	یۆنانی
