ab	abcházština
aa	afarština
af	afrikánština
ay	ajmarština
ak	akanština
sq	albánština
am	amharština
en	angličtina
en-US	angličtina (USA)
en-GB	angličtina (VB)
ar	arabština
an	aragonština
hy	arménština
as	ásámština
av	avarština
ae	avestánština
az	ázerbájdžánština
bm	bambarština
my	barmština
eu	baskičtina
ba	baškirština
be	běloruština
bn	bengálština
bi	bislamština
bs	bosenština
br	bretonština
bg	bulharština
ch	čamoro
ce	čečenština
cs	čeština
hr	chorvatština
zh	čínština
za	čuangština
cv	čuvaština
da	dánština
dz	dzongkä
eo	esperanto
et	estonština
ee	eweština
fo	faerština
fj	fidžijština
fi	finština
fr	francouzština
fy	fríština
ff	fulbština
gl	galicijština
lg	gandština
kl	grónština
ka	gruzínština
gn	guaranština
gu	gudžarátština
ht	haitština
ha	hauština
he	hebrejština
hz	hererština
hi	hindština
ho	hiri motu
io	ido
ig	igboština
id	indonéština
ia	interlingua
ie	interlingue
iu	inuktitutština
ik	inupiakština
ga	irština
is	islandština
ii	iština (sečuánská)
it	italština
ja	japonština
jv	javánština
yi	jidiš
yo	jorubština
kn	kannadština
kr	kanuri
ks	kašmírština
ca	katalánština
kk	kazaština
qu	kečuánština
km	khmérština
ki	kikujština
rw	kiňarwandština
rn	kirundština
kv	komijština
kg	konžština
ko	korejština
kw	kornština
co	korsičtina
cr	kríjština
kj	kuaňamština
ku	kurdština
ky	kyrgyzština
lo	laoština
la	latina
li	limburština
ln	lingalština
lt	litevština
lv	lotyština
lu	lubu-katanžština
lb	lucemburština
hu	maďarština
mk	makedonština
ml	malajálamština
ms	malajština
dv	maledivština
mg	malgaština
mt	maltština
gv	manština
mi	maorština
mr	maráthština
mh	maršálština
mn	mongolština
ny	ňandžština
na	naurština
nv	navažština
nr	ndebele (Jižní Afrika)
nd	ndebele (Zimbabwe)
ng	ndondština
de	němčina
ne	nepálština
nl	nizozemština
no	norština
nb	norština (bokmål)
nn	norština (nynorsk)
oj	odžibvejština
oc	okcitánština
om	oromština
os	osetština
pi	pálí
pa	paňdžábština
ps	paštština
fa	perština
pl	polština
pt	portugalština
el	řečtina
rm	rétorománština
ro	rumunština
ru	ruština
sm	samojština
se	sámština (severní)
sg	sangština
sa	sanskrt
sc	sardština
tn	setswanština
sd	sindhština
si	sinhálština
ss	siswatština
gd	skotská gaelština
sk	slovenština
sl	slovinština
so	somálština
sn	šonština
st	sotština (jižní)
es	španělština
sh	srbochorvatština
sr	srbština
cu	staroslověnština
su	sundština
sw	svahilština
sv	švédština
tg	tádžičtina
tl	tagalog
ty	tahitština
ta	tamilština
tt	tatarština
te	telugština
th	thajština
bo	tibetština
ti	tigrinijština
to	tongánština
ts	tsonga
tr	turečtina
tk	turkmenština
tw	twi
ug	ujgurština
uk	ukrajinština
ur	urdština
or	urijština
uz	uzbečtina
wa	valonština
cy	velština
ve	venda
vi	vietnamština
vo	volapük
wo	wolofština
xh	xhoština
zu	zuluština
