ab	Abchaseg
ak	Acaneg
av	Afareg
ae	Afestaneg
aa	Affareg
af	Affricâneg
sq	Albaneg
de	Almaeneg
am	Amhareg
ar	Arabeg
an	Aragoneg
hy	Armeneg
as	Asameg
ay	Aymareg
az	az
bm	Bambareg
eu	Basgeg
ba	Bashcorteg
be	Belarwseg
bn	Bengaleg
bi	Bislama
bs	Bosnieg
bg	Bwlgareg
my	Byrmaneg
kr	Canwri
kk	Casacheg
ks	Cashmireg
ca	Catalaneg
kw	Cernyweg
km	Chmereg
rw	Ciniarŵandeg
ky	Cirgiseg
kv	Comi
kg	Congo
ko	Coreeg
co	Corseg
ht	Creol Haiti
cr	Cri
hr	Croateg
ku	Cwrdeg
cy	Cymraeg
da	Daneg
dv	Difehi
dz	Dzongkha
it	Eidaleg
eo	Esperanto
et	Estoneg
ee	Ewe
ve	Fendeg
fo	Ffaröeg
fj	Ffijïeg
fi	Ffinneg
fr	Ffrangeg
fy	Ffriseg y Gorllewin
ff	Ffwla
vi	Fietnameg
gd	Gaeleg yr Alban
gl	Galisieg
lg	Ganda
ka	Georgeg
el	Groeg
gn	Guaraní
gu	Gwjarati
ga	Gwyddeleg
ha	Hawsa
he	Hebraeg
cu	Hen Slafoneg
hz	Herero
hi	Hindi
ho	ho
hu	Hwngareg
yi	Iddew-Almaeneg
ig	Igbo
id	Indoneseg
ia	Interlingua
ie	Interlingue
iu	Inwctitwt
ik	Inwpiaceg
io	io
yo	Iorwba
nl	Iseldireg
is	Islandeg
jv	Jafanaeg
ja	Japaneeg
kl	Kalaallisut
kn	Kannada
ki	Kikuyu
kj	kj
lo	Laoeg
lv	Latfieg
li	Limbwrgeg
ln	Lingala
lt	Lithwaneg
la	Lladin
br	Llydaweg
lu	Luba-Katanga
lb	Lwcsembwrgeg
mk	Macedoneg
mg	Malagaseg
ml	Malayalam
ms	Maleieg
mt	Malteg
gv	Manaweg
mi	Maori
mr	Marathi
mh	Marsialeg
mn	Mongoleg
nv	Nafaho
na	Nawrŵeg
nr	Ndebele Deheuol
nd	Ndebele Gogleddol
ng	Ndonga
ne	Nepaleg
ny	Nianja
no	Norwyeg
nb	Norwyeg Bokmål
nn	Norwyeg Nynorsk
ii	Nwosw
oc	Ocsitaneg
oj	Ojibwa
or	Oriya
om	Oromo
os	Oseteg
pi	Pali
ps	Pashto
fa	Perseg
pt	Portiwgeeg
pa	Pwnjabeg
pl	Pwyleg
qu	Quechua
rm	Románsh
ro	Rwmaneg
rn	Rwndi
ru	Rwseg
en	Saesneg
en-GB	Saesneg (DU)
en-US	Saesneg (UDA)
se	Sami Gogleddol
sm	Samöeg
sg	Sango
sa	Sansgrit
sc	Sardeg
es	Sbaeneg
sr	Serbeg
sh	Serbo-Croateg
st	Sesotheg
sn	Shona
sd	Sindhi
si	Sinhaleg
sk	Slofaceg
sl	Slofeneg
so	Somaleg
sw	Swahili
ss	Swati
sv	Swedeg
zu	Swlw
su	Swndaneg
tl	Tagalog
tg	Tajiceg
ta	Tamileg
tt	Tatareg
te	Telugu
th	Thai
bo	Tibeteg
ti	Tigrinya
to	Tongeg
cv	Tshwfasheg
ch	Tsiamorro
cs	Tsieceg
zh	Tsieineeg
ce	Tsietsieneg
ts	Tsongaeg
tn	Tswana
tw	Twi
tk	Twrcmeneg
ty	ty
tr	Tyrceg
ug	Uighur
vo	vo
wa	Walwneg
uk	Wcreineg
wo	Woloff
ur	Wrdw
uz	Wsbeceg
xh	Xhosa
za	za
