ab	abkhasisk
aa	afar
af	afrikaans
ak	akan
sq	albansk
am	amharisk
ar	arabisk
an	aragonesisk
hy	armensk
as	assamesisk
av	avarisk
ae	avestan
ay	aymara
az	azeri
bm	bambara
ba	bashkir
eu	baskisk
bn	bengali
bi	bislama
bs	bosnisk
br	bretonsk
bg	bulgarsk
my	burmesisk
ca	catalansk
ch	chamorro
cv	chuvash
kw	cornisk
cr	cree
da	dansk
dv	divehi
dz	dzongkha
en	engelsk
en-GB	engelsk (UK)
en-US	engelsk (USA)
eo	esperanto
et	estisk
ee	ewe
fo	færøsk
fj	fijiansk
fi	finsk
fr	fransk
fy	frisisk
ff	fulah
gl	galicisk
lg	ganda
ka	georgisk
el	græsk
kl	grønlandsk
gn	guarani
gu	gujarati
ht	haitisk
ha	hausa
he	hebraisk
hz	herero
hi	hindi
ho	hirimotu
nl	hollandsk
be	hviderussisk
io	ido
ig	igbo
id	indonesisk
ia	interlingua
ie	interlingue
iu	inuktitut
ik	inupiaq
ga	irsk
is	islandsk
it	italiensk
ja	japansk
jv	javanesisk
yi	jiddisch
kn	kannada
kr	kanuri
kk	kasakhisk
ks	kashmiri
km	khmer
ki	kikuyu
zh	kinesisk
rw	kinyarwanda
ky	kirgisisk
cu	kirkeslavisk
kv	komi
kg	kongo
ko	koreansk
co	korsikansk
hr	kroatisk
kj	kuanyama
ku	kurdisk
lo	lao
la	latin
lv	lettisk
li	limburgsk
ln	lingala
lt	litauisk
lu	luba-Katanga
lb	luxembourgsk
mk	makedonsk
mg	malagassisk
ms	malajisk
ml	malayalam
mt	maltesisk
gv	manx
mi	maori
mr	marathisk
mh	marshallese
mn	mongolsk
na	nauru
nv	navajo
ng	ndonga
ne	nepalesisk
nd	nordndebele
se	nordsamisk
no	norsk
nb	norsk bokmål
ny	nyanja
nn	nynorsk
oc	occitansk
oj	ojibwa
or	oriya
om	oromo
os	ossetisk
pi	pali
ps	pashto
fa	persisk
pl	polsk
pt	portugisisk
pa	punjabi
qu	quechua
rm	rætoromansk
ro	rumænsk
rn	rundi
ru	russisk
sm	samoansk
sg	sango
sa	sanskrit
sc	sardinsk
sr	serbisk
sh	serbokroatisk
sn	shona
ii	sichuan yi
sd	sindhi
si	singalesisk
gd	skotsk gælisk
sk	slovakisk
sl	slovensk
so	somalisk
es	spansk
su	sundanesisk
sv	svensk
sw	swahili
ss	swati
nr	sydndebele
st	sydsotho
tl	tagalog
ty	tahitiansk
tg	tajik
ta	tamilsk
tt	tatarisk
te	telugu
th	thai
bo	tibetansk
ti	tigrinya
cs	tjekkisk
ce	tjetjensk
to	tongansk
ts	tsonga
tn	tswana
tk	turkmensk
tw	twi
tr	tyrkisk
de	tysk
uk	ukrainsk
hu	ungarsk
ur	urdu
uz	usbekisk
ug	uygurisk
wa	vallonsk
ve	venda
vi	vietnamesisk
vo	volapyk
cy	walisisk
wo	wolof
xh	xhosa
yo	yoruba
za	zhuang
zu	zulu
