ab	Abchasisch
aa	Afar
af	Afrikaans
ak	Akan
sq	Albanisch
am	Amharisch
ar	Arabisch
an	Aragonesisch
hy	Armenisch
az	Aserbaidschanisch
as	Assamesisch
ae	Avestisch
av	Awarisch
ay	Aymara
bm	Bambara
ba	Baschkirisch
eu	Baskisch
bn	Bengalisch
my	Birmanisch
bi	Bislama
bs	Bosnisch
br	Bretonisch
bg	Bulgarisch
ch	Chamorro-Sprache
zh	Chinesisch
cr	Cree
da	Dänisch
de	Deutsch
dz	Dzongkha
en	Englisch
eo	Esperanto
et	Estnisch
ee	Ewe
fo	Färöisch
fj	Fidschi
fi	Finnisch
fr	Französisch
ff	Ful
gl	Galizisch
lg	Ganda
ka	Georgisch
el	Griechisch
kl	Grönländisch
gn	Guarani
gu	Gujarati
ht	Haiti-Kreolisch
ha	Haussa
he	Hebräisch
hz	Herero-Sprache
hi	Hindi
ho	Hiri-Motu
io	Ido-Sprache
ig	Igbo
id	Indonesisch
ia	Interlingua
ie	Interlingue
iu	Inuktitut
ik	Inupiak
ga	Irisch
is	Isländisch
it	Italienisch
ja	Japanisch
jv	Javanisch
yi	Jiddisch
kn	Kannada
kr	Kanuri-Sprache
kk	Kasachisch
ks	Kaschmiri
ca	Katalanisch
km	Khmer
ki	Kikuyu
rw	Kinyarwanda
cu	Kirchenslawisch
ky	Kirgisisch
kv	Komi-Sprache
kg	Kongolesisch
ko	Koreanisch
kw	Kornisch
co	Korsisch
hr	Kroatisch
ku	Kurdisch
kj	Kwanyama
lo	Laotisch
la	Latein
lv	Lettisch
li	Limburgisch
ln	Lingala
lt	Litauisch
lu	Luba-Katanga
lb	Luxemburgisch
mg	Madagassisch
ms	Malaiisch
ml	Malayalam
dv	Maledivisch
mt	Maltesisch
gv	Manx
mi	Maori
mr	Marathi
mh	Marschallesisch
mk	Mazedonisch
mn	Mongolisch
na	Nauruisch
nv	Navajo
ng	Ndonga
ne	Nepalesisch
nl	Niederländisch
nd	Nord-Ndebele
se	Nordsamisch
no	Norwegisch
nb	Norwegisch Bokmål
nn	Norwegisch Nynorsk
ny	Nyanja-Sprache
oj	Ojibwa-Sprache
oc	Okzitanisch
or	Oriya
om	Oromo
os	Ossetisch
pi	Pali
ps	Paschtu
fa	Persisch
pl	Polnisch
pt	Portugiesisch
pa	Punjabi
qu	Quechua
rm	Rätoromanisch
ro	Rumänisch
rn	Rundi
ru	Russisch
sm	Samoanisch
sg	Sango
sa	Sanskrit
sc	Sardisch
gd	Schottisches Gälisch
sv	Schwedisch
sr	Serbisch
sh	Serbo-Kroatisch
sn	Shona
sd	Sindhi
si	Singhalesisch
sk	Slowakisch
sl	Slowenisch
so	Somali
es	Spanisch
sw	Suaheli
nr	Süd-Ndebele-Sprache
st	Süd-Sotho-Sprache
su	Sundanesisch
ss	Swazi
tg	Tadschikisch
tl	Tagalog
ty	Tahitisch
ta	Tamil
tt	Tatarisch
te	Telugu
th	Thailändisch
bo	Tibetisch
ti	Tigrinya
to	Tongaisch
cs	Tschechisch
ce	Tschetschenisch
cv	Tschuwaschisch
ts	Tsonga
tn	Tswana-Sprache
tr	Türkisch
tk	Turkmenisch
tw	Twi
ug	Uigurisch
en-GB	UK-Englisch
uk	Ukrainisch
hu	Ungarisch
ur	Urdu
en-US	US-Englisch
uz	Usbekisch
ve	Venda-Sprache
vi	Vietnamesisch
vo	Volapük
cy	Walisisch
wa	Wallonisch
be	Weißrussisch
fy	Westfriesisch
wo	Wolof
xh	Xhosa
ii	Yi
yo	Yoruba
za	Zhuang
zu	Zulu
