aa	aa
ab	ab
ae	ae
af	af
ak	akan
de	alman
am	amharik
an	an
en	angle
en-GB	angle (GB)
en-US	angle (US)
ar	arab
as	as
av	av
ay	ay
az	az
ba	ba
be	belarus
bn	bengali
bi	bi
my	birmani
bm	bm
bo	bo
br	br
bs	bs
bg	bulgaari
ca	ca
ce	ce
ch	ch
co	co
cr	cr
cu	cu
cv	cv
cy	cy
da	da
dv	dv
dz	dz
ee	ee
hi	endu
eo	eo
es	español
et	et
eu	eu
ff	ff
fi	fi
fj	fj
fo	fo
fr	franse
fy	fy
ga	ga
gd	gd
gl	gl
gn	gn
el	greek
gu	gu
gv	gv
ha	hausa
he	he
ho	ho
hr	hr
ht	ht
hy	hy
hz	hz
ia	ia
ie	ie
ig	igbo
ii	ii
ik	ik
id	indoneesi
io	io
is	is
it	italien
iu	iu
ka	ka
kg	kg
ki	ki
kj	kj
kk	kk
kl	kl
km	kmeer
kn	kn
ko	koree
kr	kr
ks	ks
ku	ku
kv	kv
kw	kw
ky	ky
la	la
lb	lb
lg	lg
li	li
ln	ln
lo	lo
lt	lt
lu	lu
lv	lv
ms	maleesi
mg	mg
mh	mh
mi	mi
mk	mk
ml	ml
mn	mn
mr	mr
mt	mt
na	na
nb	nb
nd	nd
nl	neerlande
ne	nepalees
ng	ng
nn	nn
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
om	om
hu	ongrua
or	or
os	os
pa	penjabi
fa	persan
pi	pi
pl	polonees
pt	portugees
ps	ps
qu	qu
rm	rm
rn	rn
rw	ruanda
ro	rumeen
ru	rus
sa	sa
ja	saponee
jv	savanee
sc	sc
sd	sd
se	se
cs	sek
sg	sg
sh	sh
si	si
zh	sinua
sk	sk
sl	sl
sm	sm
sn	sn
so	somali
sq	sq
sr	sr
ss	ss
st	st
su	su
sv	suedi
zu	sulu
sw	sw
ta	tamil
th	tay
te	te
tg	tg
ti	ti
tk	tk
tl	tl
tn	tn
to	to
ts	ts
tt	tt
tr	turki
tw	tw
ty	ty
ug	ug
uk	ukrain
ur	urdu
uz	uz
ve	ve
vi	vietnam
vo	vo
wa	wa
wo	wo
xh	xh
yi	yi
yo	yoruba
za	za
