ae	ae
ak	ak
an	an
av	av
ay	ay
az	az
ba	ba
bi	bi
bm	bm
br	br
ce	ce
ch	ch
co	co
cr	cr
cu	cu
cv	cv
ee	ee
ff	ff
gd	gd
gv	gv
ho	ho
hz	hz
ia	ia
ie	ie
ii	ii
ik	ik
io	io
iu	iu
kg	kg
ki	ki
kj	kj
kl	kl
kr	kr
kv	kv
kw	kw
lg	lg
li	li
ln	ln
lu	lu
mh	mh
mn	mn
na	na
nd	nd
ng	ng
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
om	om
os	os
pi	pi
rn	rn
rw	rw
sc	sc
se	se
sg	sg
sh	sh
sm	sm
sn	sn
ss	ss
st	st
tl	tl
tn	tn
ts	ts
tw	tw
ty	ty
ve	ve
vo	vo
wa	wa
yi	yi
za	za
kn	ཀ་ན་ཌ་ཁ
kk	ཀ་ཛགས་ཁ
qu	ཀྭེ་ཆུ་ཨ་ཁ
ku	ཀར་ཌིཤ་ཁ
hr	ཀྲོ་ཨེ་ཤི་ཡཱན་ཁ
ks	ཀཱཤ་མི་རི་ཁ
ky	ཀིར་གིས་ཁ
ca	ཀེ་ཊ་ལཱན་ཁ
ko	ཀོ་རི་ཡཱན་ཁ
km	ཁེ་མེར་ཁ
el	གྲིཀ་ཁ
gl	གལ་ཨིས་ཨི་ཡན་ཁ
gu	གུ་ཇ་ར་ཏི་ཁ
gn	གུ་ཝ་ར་ནི་ཁ
cs	ཅེཀ་ཁ
ja	ཇཱ་པཱ་ནིས་ཁ
jv	ཇཱ་བ་ནིས་ཁ
de	ཇཱར་མཱན་ཁ
ka	ཇཽ་ཇི་ཡཱན་ཁ
tt	ཊ་ཊར་ཁ
tr	ཊཱར་ཀིཤ་ཁ
tk	ཊཱརཀ་མེན་ཁ
to	ཊོང་གྷན་ཁ
nl	ཌཆ་ཁ
da	ཌེ་ནིཤ་ཁ
tg	ཏ་ཇིཀ་ཁ
ta	ཏ་མིལ་ཁ
ti	ཏིག་རི་ཉ་ཁ
te	ཏེ་ལུ་གུ་ཁ
th	ཐཱའི་ཁ
dv	དི་བེ་ཧི་ཁ
fy	ནུབ་ཕྼི་སི་ཡན་ཁ
ne	ནེ་པཱལི་ཁ
no	ནོར་ཝི་ཇི་ཡན་ཁ
nn	ནོར་ཝེ་ཇི་ཡཱན་ནོརསཀ་ཁ
