aa	aa
ab	abkhaziagbe
ae	ae
af	afrikaangbe
sq	albaniagbe
am	amhariagbe
an	an
st	anyiehe sothogbe
ar	Arabiagbe
hy	armeniagbe
as	assamegbe
av	av
ay	aymargbe
az	az
ba	ba
bm	bambaragbe
eu	basqugbe
be	belarusiagbe
bn	Bengaligbe
bi	bi
ak	blugbe
bs	bosniagbe
br	bretongbe
bg	bulgariagbe
my	burmagbe
ce	ce
ch	ch
zh	Chinagbe
co	co
cr	cr
cu	cu
cv	cv
da	denmarkgbe
dv	divehgbe
jv	dzavangbe
nd	dziehe ndebelegbe
se	dziehe samigbe
dz	dzongkhagbe
eo	esperantogbe
et	estoniagbe
ee	Eʋegbe
ff	ff
fj	fidzigbe
fi	finlanɖgbe
fo	fo
fr	Fransegbe
fy	fy
gl	galatagbe
gd	gd
de	Germaniagbe
ka	gɔgiagbe
el	grisigbe
gn	guarangbe
gu	gujarati
gv	gv
ht	haitigbe
ha	hausagbe
he	hebrigbe
hi	Hindigbe
ho	ho
nl	Hollandgbe
hu	hungarigbe
hz	hz
xh	xhosagbe
ia	ia
is	icelanɖgbe
ie	ie
ig	igbogbe
ii	ii
ik	ik
id	Indonesiagbe
io	io
ga	irelanɖgbe
it	Italiagbe
iu	iu
ja	Japangbe
kn	kannadagbe
ks	kashmirgbe
ca	katalagbe
kk	kazakhstangbe
kg	kg
km	khmergbe
ki	ki
ky	kirghistangbe
kj	kj
kl	kl
ko	Koreagbe
kr	kr
hr	kroatiagbe
ku	kurdiagbe
kv	kv
kw	kw
qu	kwetsuagbe
lb	laksembɔggbe
lo	laogbe
la	latin
lv	latviagbe
lg	lg
li	li
ln	lingala
lt	lithuaniagbe
lu	lu
mk	makedoniagbe
mg	malagasegbe
ml	malayagbe
ms	malaygbe
mt	maltagbe
mi	maorgbe
mr	marathiagbe
mh	mh
mn	mongoliagbe
na	na
ne	nepalgbe
ng	ng
no	nɔweigbe
nb	nɔweigbe bokmål
nn	nɔweigbe ninɔsk
nr	nr
nv	nv
ny	nyanjagbe
oc	oc
oj	oj
om	om
or	oriyagbe
os	ossetiagbe
ps	pashtogbe
fa	persiagbe
pi	pi
pl	Polishgbe
pt	Portuguesegbe
pa	pundzabgbe
ro	romaniagbe
rm	romanshgbe
rn	rundigbe
ru	Russiagbe
rw	ruwandagbe
sm	samoagbe
sg	sangogbe
sa	sanskrigbe
sc	sc
sr	serbiagbe
sh	serbo-croatiagbe
sn	shonagbe
sd	sindhgbe
si	sinhalgbe
sk	slovakiagbe
sl	sloveniagbe
so	somaliagbe
es	Spanishgbe
su	su
sw	swahili
ss	swatgbe
sv	swedengbe
tg	tadzikistangbe
tl	tagalogbe
ty	tahitigbe
ta	tamilgbe
te	telegugbe
tk	tɛkmengbe
th	Thailandgbe
bo	tibetagbe
ti	tigrinyagbe
to	tongagbe
tt	tt
tr	Turkishgbe
tw	tw
cs	tsɛkgbe
ts	tsongagbe
tn	tswanagbe
ug	uighurgbe
uk	ukraingbe
ur	urdugbe
uz	uzbekistangbe
ve	vendagbe
vi	vietnamgbe
vo	vo
wa	wa
cy	walesgbe
wo	wolofgbe
en	Yevugbe
en-GB	Yevugbe (GB)
en-US	Yevugbe (US)
yi	yi
yo	yorubagbe
za	za
zu	zulugbe
