av	Άβαρικ
ae	Αβεστάν
en	Αγγλικά
en-GB	Αγγλικά ΗΒ
en-US	Αγγλικά ΗΠΑ
az	Αζερικά
ay	Αϊμάρα
ht	Αϊτιανά
ak	Ακάν
sq	Αλβανικά
am	Αμαρικά
ab	Αμπχαζικά
ar	Αραβικά
an	Αραγκονικά
hy	Αρμενικά
as	Ασαμεζικά
aa	Αφάρ
af	Αφρικάανς
eu	Βασκικά
ve	Βένδα
vi	Βιετναμικά
my	Βιρμανικά
vo	Βόλαπικ
se	Βόρεια Σάμι
bs	Βοσνιακά
bg	Βουλγαρικά
br	Βρετονικά
gl	Γαλικιανά
fr	Γαλλικά
de	Γερμανικά
ka	Γεωργιανά
ee	Γι
yi	Γίντις
yo	Γιορούμπα
lg	Γκάντα
gn	Γκουαρανί
gu	Γκουγιαράτι
wa	Γουαλούν
wo	Γουόλοφ
da	Δανικά
fy	Δυτικά Φριζιανά
he	Εβραϊκά
cu	Εκκλησιαστικά Σλαβικά
el	Ελληνικά
et	Εσθονικά
eo	Εσπεράντο
xh	Ζόσα
za	Ζουάνγκ
zu	Ζουλού
bo	Θιβετιανά
jv	Ιαβανεζικά
ja	Ιαπωνικά
ig	Ίγκμπο
id	Ινδονησιακά
iu	Ινουκτιτούτ
ik	Ινουπιάκ
ia	Ιντερλίνγκουα
ie	Ιντερλίνγκουε
io	Ίντο
ga	Ιρλανδικά
is	Ισλανδικά
es	Ισπανικά
it	Ιταλικά
kk	Καζακικά
kl	Καλαάλισουτ
ch	Καμόρρο
km	Καμποτζιανά
kn	Κανάντα
kr	Κανούρι
ks	Κασμίρι
ca	Καταλανικά
qu	Κετσούα
ki	Κικούγιου
zh	Κινεζικά
rw	Κινιαρβάντα
kv	Κόμι
kg	Κονγκό
ko	Κορεατικά
kw	Κόρνις
co	Κορσικανικά
kj	Κουανιγιάμα
ku	Κουρδικά
cr	Κρι
hr	Κροατικά
ky	Κυργιζικά
lo	Λαοθιανά
la	Λατινικά
lv	Λετονικά
be	Λευκορωσικά
lt	Λιθουανικά
li	Λιμβουργιανά
ln	Λινγκάλα
lu	Λούμπα-Κατάνγκα
lb	Λουξεμβουργιανά
mg	Μαλαγάσι
ml	Μαλαγιαλάμ
ms	Μαλάι
mt	Μαλτεζικά
gv	Μανξ
mi	Μάορι
mr	Μαράθι
mh	Μάρσαλ
mn	Μογγολικά
bm	Μπαμπάρα
ba	Μπασκίρ
bn	Μπενγκάλι
bi	Μπισλάμα
nv	Νάβαχο
na	Ναούρου
ne	Νεπάλι
ny	Νιάντζα
no	Νορβηγικά
nb	Νορβηγικά Μποκμάλ
nn	Νορβηγικά Νινόρσκ
st	Νότια Σόθο
nd	Ντεμπέλε Βορρά
nr	Ντεμπέλε Νότου
dz	Ντζόνγκχα
dv	Ντιβέχι
ng	Ντόνγκα
oj	Οζιβίγουα
oc	Οκσιτανικά
nl	Ολλανδικά
or	Ορίγια
om	Ορόμο
os	Οσετικά
cy	Ουαλικά
hu	Ουγγρικά
uz	Ουζμπεκικά
ug	Ουιγουρικά
uk	Ουκρανικά
ur	Ουρντού
pi	Πάλι
pa	Παντζαπικά
ps	Πάστο
fa	Περσικά
pl	Πολωνικά
pt	Πορτογαλικά
rm	Ρομανικά
ro	Ρουμανικά
rn	Ρούντι
ru	Ρωσικά
sm	Σαμόαν
sg	Σάνγκο
sa	Σανσκριτικά
sc	Σαρδινικά
sr	Σερβικά
sh	Σερβοκροατικά
ii	Σικουάν Γι
sd	Σίντι
si	Σινχαλεζικά
gd	Σκωτικά Κελτικά
mk	Σλαβομακεδονικά
sk	Σλοβακικά
sl	Σλοβενικά
so	Σομάλι
ss	Σουάτι
sw	Σουαχίλι
sv	Σουηδικά
su	Σουνδανικά
sn	Σχόνα
tl	Ταγκαλόγκ
th	Ταϊλανδικά
ty	Ταϊτιανά
ta	Ταμίλ
tt	Τατάρ
tg	Τατζίκ
te	Τελούγκου
ti	Τιγκρίνυα
to	Τονγκανικά
tw	Τούι
tr	Τουρκικά
tk	Τουρκμενικά
ce	Τσετσενικά
cs	Τσεχικά
tn	Τσιγουάνα
ts	Τσόνγκα
cv	Τσουβασικά
fo	Φαρόε
fi	Φινλανδικά
fj	Φίτζι
ff	Φουλάχ
ha	Χάουσα
hz	Χερέρο
hi	Χίντι
ho	Χίρι Μότου
