ab	abĥaza
ae	ae
aa	afara
af	afrikansa
ay	ajmara
ak	ak
sq	albana
am	amhara
an	an
en	angla
en-GB	angla (GB)
en-US	angla (US)
ar	araba
hy	armena
as	asama
av	av
az	az
ba	baŝkira
be	belorusa
bn	bengala
my	birma
bi	bislamo
bm	bm
bs	bosnia
br	bretona
bg	bulgara
rn	burunda
ce	ce
cs	ĉeĥa
ch	ch
zh	ĉina
ts	conga
cr	cr
cu	cu
cv	cv
tn	cvana
da	dana
nb	dannorvega
dz	dzonko
ee	ee
ik	eskima
eo	esperanto
et	estona
eu	eŭska
fo	feroa
ff	ff
fj	fiĝia
fi	finna
fr	franca
fy	frisa
gd	gaela
gl	galega
de	germana
el	greka
kl	gronlanda
za	ĝuanga
gu	guĝarata
gv	gv
gn	gvarania
ht	haitia kreola
ha	haŭsa
he	hebrea
hi	hinda
es	hispana
ho	ho
hu	hungara
hz	hz
ig	ig
ii	ii
id	indonezia
ia	interlingvao
iu	inuita
io	io
ga	irlanda
is	islanda
it	itala
ja	japana
jv	java
yi	jida
yo	joruba
kn	kanara
ka	kartvela
ks	kaŝmira
ca	kataluna
kk	kazaĥa
qu	keĉua
kg	kg
ki	ki
cy	kimra
ky	kirgiza
kj	kj
km	kmera
ko	korea
co	korsika
kr	kr
hr	kroata
xh	ksosa
ku	kurda
kv	kv
kw	kw
la	latino
lv	latva
lo	laŭa
lg	lg
li	li
ln	lingala
lt	litova
lu	lu
lb	luksemburga
dv	mahla
mk	makedona
mg	malagasa
ms	malaja
ml	malajalama
mt	malta
mi	maoria
mr	marata
mh	mh
mn	mongola
na	naura
nd	nd
nl	nederlanda
ne	nepala
ng	ng
no	norvega
nn	novnorvega
nr	nr
nv	nv
ny	ny
oj	oj
ie	okcidentalo
oc	okcitana
or	orijo
om	oroma
os	os
pa	panĝaba
ps	paŝtoa
fa	persa
pi	pi
pl	pola
pt	portugala
rm	romanĉa
rw	ruanda
ro	rumana
ru	rusa
sm	samoa
sg	sangoa
sa	sanskrito
sc	sc
se	se
sr	serba
sh	serbo-Kroata
sd	sinda
si	sinhala
sk	slovaka
sl	slovena
so	somala
sn	ŝona
st	sota
su	sunda
sw	svahila
ss	svazia
sv	sveda
tl	tagaloga
tg	taĝika
th	taja
ta	tamila
tt	tatara
te	telugua
bo	tibeta
ti	tigraja
to	tongaa
tr	turka
tk	turkmena
tw	tw
ty	ty
ug	ujgura
uk	ukraina
ur	urduo
uz	uzbeka
ve	ve
vi	vjetnama
vo	volapuko
wo	volofa
wa	wa
zu	zulua
