ab	abhaasi
aa	afari
af	afrikaani
ay	aimara
ak	akani
sq	albaania
am	amhari
ar	araabia
an	aragoni
hy	armeenia
az	aseri
as	assami
av	avaari
ae	avesta
bm	bambara
eu	baski
ba	baškiiri
bn	bengali
my	birma
bi	bislama
bs	bosnia
br	bretooni
en-GB	Briti inglise
bg	bulgaaria
dz	dzongkha
et	eesti
eo	esperanto
ee	eve
fo	fääri
fj	fidži
ff	fula
gd	gaeli
gl	galeegi
lg	ganda
kl	grööni
ka	gruusia
gn	guaranii
gu	gudžarati
ht	haiti
ha	hausa
he	heebrea
hz	herero
zh	hiina
hi	hindi
ho	hirimotu
es	hispaania
nl	hollandi
hr	horvaadi
ig	ibo
io	ido
ga	iiri
id	indoneesia
en	inglise
ik	injupiaki
ia	interlingua
ie	interlingue
iu	inuktituti
is	islandi
it	itaalia
ja	jaapani
jv	jaava
yi	jidiši
yo	joruba
kn	kannada
kr	kanuri
kk	kasahhi
ks	kašmiiri
ca	katalaani
qu	ketšua
km	khmeeri
ki	kikuju
ky	kirgiisi
cu	kirikuslaavi
kv	komi
cy	kõmri
kg	kongo
xh	koosa
ko	korea
kw	korni
co	korsika
el	kreeka
cr	krii
ku	kurdi
kj	kvanjama
fy	läänefriisi
la	ladina
lo	lao
lv	läti
lt	leedu
lb	letseburgi
li	limburgi
ln	lingala
nr	lõunandebele
st	lõunasotho
lu	luba
mk	makedoonia
mg	malagassi
ms	malai
ml	malajalami
dv	maldiivi
mt	malta
gv	mänksi
mi	maoori
mr	marathi
mh	maršalli
mn	mongoli
na	nauru
nv	navaho
ng	ndonga
ne	nepali
ny	njandža
no	norra
nb	norra bokmål
oj	odžibvei
or	oria
om	oromo
os	osseedi
pi	paali
pa	pandžabi
fa	pärsia
nd	põhjandebele
se	põhjasaami
pl	poola
pt	portugali
fr	prantsuse
oc	provansi
ps	puštu
rm	romanši
sv	rootsi
rw	ruanda
ro	rumeenia
rn	rundi
de	saksa
sm	samoa
sg	sango
sa	sanskriti
sc	sardi
sr	serbia
sh	serbia-horvaadi
ii	Sichuani jii
sd	sindhi
si	singali
sk	slovaki
sl	sloveeni
so	somaali
sn	šona
fi	soome
sw	suahiili
su	sunda
zu	suulu
ss	svaasi
da	taani
tg	tadžiki
tl	tagalogi
ty	tahiti
th	tai
ta	tamili
tt	tatari
te	telugu
ti	tigrinja
bo	tiibeti
to	tonga
ch	tšamorro
cs	tšehhi
ce	tšetšeeni
ts	tsonga
za	tšuangi
cv	tšuvaši
tn	tsvana
tr	türgi
tk	türkmeeni
tw	tvii
ug	uiguuri
uk	ukraina
hu	ungari
ur	urdu
en-US	USA inglise
uz	usbeki
nn	uusnorra
be	valgevene
wa	vallooni
ve	venda
ru	vene
vi	vietnami
vo	volapüki
wo	volofi
