aa	aa
ab	abkhazera
ae	ae
af	afrikaansa
ay	aimara
ak	akanera
sq	albaniera
de	alemana
am	amharera
an	an
ar	arabiera
hy	armeniera
as	assamera
av	av
az	azeriera
bm	bambarera
ba	bashkirrera
bn	bengalera
bi	bi
be	bielorrusiera
nb	bokmala (Norvegia)
bs	bosniera
br	bretoiera
bg	bulgariera
my	burmatarra
ce	ce
ch	ch
cr	cr
cu	cu
cv	cv
da	daniera
dv	divehiera
dz	dzongkha
rm	erromantxera
ro	errumaniera
ru	errusiera
gd	eskoziako gaelikoa
sk	eslovakiera
sl	esloveniera
es	espainiera
eo	esperantoa
et	estoniera
eu	euskara
ee	eweera
fo	faroera
ff	ff
fj	fijiera
fi	finlandiera
fr	frantsesa
fy	frisiera
ga	gaelikoa
cy	galesera
gl	galiziera
lg	gandera
ka	georgiera
el	greziera
gn	guaraniera
gu	gujaratera
ht	haitiera
ha	hausa
he	hebreera
st	hegoaldeko sothoera
hi	hindia
ho	ho
hu	hungariera
hz	hz
ig	igboera
ik	ik
id	indonesiera
en	ingelesa
en-US	ingelesa (AEB)
en-GB	ingelesa (EB)
ia	Interlingua
ie	interlingue
iu	inuitera
io	io
nd	iparraldeko ndebeleera
se	iparraldeko samiera
is	islandiera
it	italiera
ja	japoniera
jv	javera
yi	Jiddisha
kl	kalaallisutera
kn	kannadera
ks	kashmirera
ca	katalana
kk	kazakhera
km	khemerera
kg	Kikongoa
ki	kikuyuera
rw	kinyaruanda
ky	kirgizera
kj	kj
ko	koreera
kw	kornubiera
co	korsikera
kr	kr
hr	kroaziera
ku	kurduera
kv	kv
lo	laosera
la	latina
lv	letoniera
li	li
ln	lingala
lt	lituaniera
lu	luba-katangera
lb	luxenburgera
mg	malagasyera
ml	malayalamera
ms	malaysiera
mt	maltera
gv	manxera
mi	maoriera
mr	marathera
mk	mazedoniera
mh	mh
mn	mongoliera
na	na
nl	nederlandera
ne	nepalera
ng	ng
no	norvegiera
nr	nr
nv	nv
ny	nyanja
nn	nynorsk norvegiera
oj	oj
oc	Okzitaniera
or	oriyera
om	oromoera
os	osetiera
ps	paxtuera
fa	persiera
pi	pi
pl	poloniera
pt	portugesa
pa	punjabera
qu	quechuera
rn	rundiera
sm	samoera
sg	sangoera
sa	sanskritoa
sc	sc
sr	serbiera
sh	serbokroaziera
sn	shonera
ii	sichuan yia
sd	sindhia
si	sinhala
so	somaliera
sv	suediera
su	sundanera
sw	swahili
ss	swatiera
tl	tagalog
ty	tahitiera
tg	tajikistanera
ta	tamilera
tt	tatarera
te	teluguera
th	thailandiera
bo	tibetera
ti	tigriñera
to	tongera
ts	tsongera
tn	tswanera
tr	turkiera
tk	turkmeniera
tw	twia
cs	txekiera
zh	txinera
ug	uigurrera
uk	ukrainera
ur	urdua
uz	uzbekera
ve	vendera
vi	vietnamera
vo	vo
wa	wa
wo	wolofera
xh	xhosera
yo	yorubera
za	za
zu	zuluera
