aa	aa
ab	ab
ae	ae
af	af
an	an
as	as
av	av
ay	ay
az	az
ba	ba
bi	bi
bm	bm
bo	bo
br	br
bs	bs
ca	ca
ce	ce
ch	ch
co	co
cr	cr
cu	cu
cv	cv
cy	cy
da	da
dv	dv
dz	dz
ee	ee
eo	eo
et	et
eu	eu
ff	ff
fi	fi
fj	fj
fo	fo
fy	fy
ga	ga
gd	gd
gl	gl
gn	gn
gu	gu
gv	gv
he	he
ho	ho
hr	hr
ht	ht
hy	hy
hz	hz
ia	ia
ie	ie
ii	ii
ik	ik
io	io
is	is
iu	iu
ka	ka
kg	kg
ki	ki
kj	kj
kk	kk
kl	kl
kn	kn
kr	kr
ks	ks
ku	ku
kv	kv
kw	kw
ky	ky
la	la
lb	lb
lg	lg
li	li
ln	ln
lo	lo
lt	lt
lu	lu
lv	lv
mg	mg
mh	mh
mi	mi
mk	mk
ml	ml
mn	mn
mr	mr
mt	mt
na	na
nb	nb
nd	nd
ng	ng
ak	Ǹkɔ́bɔ akán
am	Ǹkɔ́bɔ amária
ar	Ǹkɔ́bɔ arábia
ha	Ǹkɔ́bɔ aúsá
be	Ǹkɔ́bɔ belarúsian
bn	Ǹkɔ́bɔ bɛngalí
my	Ǹkɔ́bɔ birəmán
bg	Ǹkɔ́bɔ buləgárian
en	Ǹkɔ́bɔ éngəlís
en-GB	Ǹkɔ́bɔ éngəlís (GB)
en-US	Ǹkɔ́bɔ éngəlís (US)
it	Ǹkɔ́bɔ etáliɛn
id	Ǹkɔ́bɔ ɛndonésian
fa	ǹkɔ́bɔ fɛ́rəsian
pl	ǹkɔ́bɔ fólis
pt	ǹkɔ́bɔ fɔtugɛ́s
fr	Ǹkɔ́bɔ fulɛnsí
pa	ǹkɔ́bɔ funəhábia
el	Ǹkɔ́bɔ gəlɛ́g
ja	Ǹkɔ́bɔ hapɔ́n
jv	Ǹkɔ́bɔ havanís
vi	ǹkɔ́bɔ hiɛdənám
hi	Ǹkɔ́bɔ hindí
ig	Ǹkɔ́bɔ ibó
km	Ǹkɔ́bɔ kəmɛ́r
ko	Ǹkɔ́bɔ koréan
es	ǹkɔ́bɔ kpənyá
ms	Ǹkɔ́bɔ malɛ́sian
de	Ǹkɔ́bɔ ndzáman
ne	ǹkɔ́bɔ nefálian
nl	Ǹkɔ́bɔ nɛrəlándía
ro	ńkɔ́bɔ románía
ru	ǹkɔ́bɔ rúsian
rw	ǹkɔ́bɔ ruwandá
so	ǹkɔ́bɔ somália
sv	ǹkɔ́bɔ suwɛ́d
th	ǹkɔ́bɔ táilan
ta	ǹkɔ́bɔ tamíl
zh	Ǹkɔ́bɔ tsainís
cs	Ǹkɔ́bɔ tsɛ́g
tr	ǹkɔ́bɔ túrəki
uk	ǹkɔ́bɔ ukelénia
hu	Ǹkɔ́bɔ ungárían
ur	ǹkɔ́bɔ urudú
yo	ǹkɔ́bɔ yorúba
zu	ǹkɔ́bɔ zulú
nn	nn
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
om	om
or	or
os	os
pi	pi
ps	ps
qu	qu
rm	rm
rn	rn
sa	sa
sc	sc
sd	sd
se	se
sg	sg
sh	sh
si	si
sk	sk
sl	sl
sm	sm
sn	sn
sq	sq
sr	sr
ss	ss
st	st
su	su
sw	sw
te	te
tg	tg
ti	ti
tk	tk
tl	tl
tn	tn
to	to
ts	ts
tt	tt
tw	tw
ty	ty
ug	ug
uz	uz
ve	ve
vo	vo
wa	wa
wo	wo
xh	xh
yi	yi
za	za
