ab	آبخازی
az	آذری
an	آراگونی
as	آسامی
os	آسی
aa	آفاری
af	آفریکانس
ak	آکان
sq	آلبانیایی
de	آلمانی
av	آواری
ga	آیرلندی
is	آیسلندی
ay	آیمارایی
ur	اردو
hy	ارمنی
uz	ازبکی
eo	اسپرانتو
et	استونیایی
cu	اسلاوی کلیسایی
sk	اسلواکی
sl	اسلوونیایی
ie	اکسیدنتال
am	امهری
ng	اندونگایی
id	اندونیزیایی
nr	انده‌بله‌ای جنوبی
nd	انده‌بله‌ای شمالی
en	انگلیسی
en-US	انگلیسی امریکا
en-GB	انگلیسی بریتانیا
oj	اوجیبوایی
om	اورومویی
or	اوریه‌ای
ae	اوستایی
uk	اوکراینی
oc	اوکیتایی
ee	اوه‌ای
ug	اویغوری
it	ایتالوی
io	ایدو
ig	ایگبویی
ik	اینوپیک
iu	اینوکتیتوت
eu	باسکی
ba	باشغیری
bm	بامبارایی
br	برتون
my	برمه‌ای
be	بلاروسی
bg	بلغاری
bn	بنگالی
bs	بوسنیایی
bi	بیسلاما
pi	پالی
pt	پرتگالی
ps	پشتو
pa	پنجابی
pl	پولندی
tt	تاتاری
tg	تاجکی
tl	تاگالوگی
ta	تامیلی
ty	تاهیتیایی
th	تایلندی
bo	تبتی
tk	ترکمنی
tr	ترکی استانبولی
tn	تسوانایی
ts	تسونگایی
te	تلوگویی
to	تونگایی
tw	توی‌یایی
ti	تیگرینیایی
ja	جاپانی
jv	جاوه‌ای
dz	جونخایی
ch	چامورویی
ce	چچنی
cs	چکی
za	چوانگی
cv	چوواشی
zh	چینی
km	خمری
xh	خوسایی
da	دانمارکی
ru	روسی
rm	رومانش
ro	رومانیایی
rn	روندیایی
zu	زولویی
sc	ساردینیایی
sm	ساموآیی
se	سامی شمالی
sa	سانسکریت
sg	سانگو
sd	سندی
sw	سواحلی
ss	سوازیایی
st	سوتویی جنوبی
so	سومالیایی
su	سوندایی
sv	سویدنی
si	سینهالی
sn	شونایی
sh	صرب و کرواتی
sr	صربی
he	عبری
ar	عربی
fa	فارسی
fo	فارویی
fr	فرانسوی
fy	فریزی غربی
fi	فنلندی
ff	فولایی
fj	فیجیایی
ky	قرغزی
kk	قزاقی
ca	کاتالان
kn	کانارا
kr	کانوریایی
qu	کچوایی
ku	کردی
kw	کرنوالی
hr	کروشیایی
cr	کریایی
ks	کشمیری
kg	کنگویی
kj	کوانیاما
co	کورسی
ko	کوریایی
kv	کومیایی
ki	کیکویویی
rw	کینیارواندایی
gl	گالیسیایی
lg	گاندایی
gu	گجراتی
ka	گرجی
kl	گرینلندی
gn	گوارانی
gd	گیلی اسکاتلندی
lo	لائوسی
la	لاتین
lv	لتونیایی
lu	لوبایی‐کاتانگا
lb	لوگزامبورگی
lt	لیتوانیایی
li	لیمبورگی
ln	لینگالا
mi	مائوریایی
mh	مارشالی
mg	مالاگاسیایی
ml	مالایالامی
ms	مالایی
mt	مالتی
dv	مالدیوی
gv	مانی
hu	مجاری
mr	مراتی
mn	مغلی
mk	مقدونی
ho	موتویی هیری
ia	میان‌زبان
na	نائورویی
no	نارویژی
nv	ناواهویی
nb	نروژی بوک‌مُل
nn	نروژی نی‌نُشک
ny	نیانجایی
ne	نیپالی
wa	والونی
vo	ولاپوک
cy	ولزی
wo	ولوفی
ve	وندایی
vi	ویتنامی
ht	هائیتیایی
nl	هالندی
hz	هریرویی
es	هسپانوی
hi	هندی
ha	هوسیایی
yi	یدی
yo	یوروبایی
el	یونانی
ii	یی سیچوان
