ab	Abcáisis
ak	Acáinis
aa	Afáiris
af	Afracáinis
ay	Aidhmiris
hy	Airméinis
ae	Aivéistis
sq	Albáinis
am	Amáiris
an	Aragóinis
ar	Araibis
as	Asaimis
az	Asairis
av	Aváiris
ba	Baiscíris
eu	Bascais
be	Bealarúisis
bn	Beangáilis
en	Béarla
en-GB	Béarla na R.A.
en-US	Béarla S.A.M.
bi	Bioslaimis
bm	bm
bs	Boisnis
cy	Breatnais
br	Briotáinis
bg	Bulgáiris
my	Burmais
ks	Caismíris
kn	Cannadais
kr	Canúiris
kk	Casaicis
ca	Catalóinis
qu	Ceatsuais
km	Ciméiris
rw	Ciniaruaindis
ki	Ciocúis
ky	Cirgisis
kv	Coimis
ku	Coirdis
ko	Cóiréis
kw	Coirnis
xh	Cóisis
kg	Congóis
co	Corsaicis
cr	Craís
ht	Criól Háítíoch
hr	Cróitis
kj	Cuainiáimis
da	Danmhairgis
dv	Divéihis
he	Eabhrais
et	Eastóinis
ee	ee
eo	Esperanto
fo	Faróis
fj	Fidsis
fi	Fionlainnis
fr	Fraincis
fy	Freaslainnis Iartharach
ff	Fuláinis
ga	Gaeilge
gd	Gaeilge na hAlban
gl	Gailísis
de	Gearmáinis
yi	Giúdais
el	Gréigis
gn	Guaráinis
gu	Gúisearáitis
ha	Hásais
hz	Heiréiris
hi	Hiondúis
jv	Iáivis
yo	Iarúibis
io	Ido
ii	ii
id	Indinéisis
ik	Iniúipiaicis
ia	Interlingua
ie	Interlingue
it	Iodáilis
ig	Íogbóis
iu	Ionúitis
no	Ioruais
nb	Ioruais Bokmål
is	Íoslainnis
kl	Kalaallisut
la	Laidin
lv	Laitvis
lo	Laoisis
li	li
ln	Liongáilis
lt	Liotuáinis
lu	Lúba-Cataingis
lb	Lucsambuirgis
lg	Lugandais
mk	Macadóinis
ml	Mailéalaimis
mh	Mairsillis
ms	Malaeis
mg	Malagáisis
mt	Máltais
gv	Manainnis
mi	Maorais
mr	Maraitis
mn	Mongóilis
ho	Motúis Hírí
na	Nárúis
nv	Navachóis
nr	Ndeibéilis an Deiscirt
nd	Ndeibéilis an Tuaiscirt
ng	Ndongais
ne	Neipeailis
nn	Nua-Ioruais
oc	Ocsatáinis
or	Oirísis
os	Oiséitis
oj	Óisibis
nl	Ollainnis
om	Oraimis
pi	Páilis
ps	Paistis
fa	Peirsis
pl	Polainnis
pt	Portaingéilis
pa	Puinseáibis
rm	Rómainis
ro	Rómáinis
rn	Rúindis
ru	Rúisis
se	Sáimis Thuaidh
sc	Sairdínis
sm	Samóis
sg	Sangóis
sa	Sanscrait
ch	Seamóiris
ja	Seapáinis
st	Seasóitis
cs	Seicis
sh	Seirbea-Chróitis
sr	Seirbis
ce	Seisnis
dz	Seoinicis
sn	Seoinis
ka	Seoirsis
sd	Sindis
zh	Sínis
si	Siolóinis
ny	Siséivis
za	Siuáingis
cu	Slavais na hEaglaise
sl	Slóivéinis
sk	Slóvaicis
so	Somáilis
ts	Songais
es	Spáinnis
tn	Suáinis
ss	Suaisis
sv	Sualainnis
zu	Súlúis
su	Sundais
cv	Suvaisis
sw	Svahaílis
tl	Tagálaigis
tg	Táidsícis
ty	Taihítis
ta	Tamailis
tt	Tatairis
th	Téalainnis
te	Teileagúis
bo	Tibéidis
tw	Tíbhis
ti	Tigrinis
to	Tongais
tr	Tuircis
tk	Tuircméinis
uk	Úcráinis
ug	Uigiúiris
uz	Úisbéiceastáinis
hu	Ungáiris
ur	Urdúis
wa	Vallúnais
ve	Veindis
vi	Vítneaimis
wo	Volaifis
vo	Volapük
