ab	Abchasais
aa	Afar
af	Afraganais
hy	Airmeinis
ak	Akan
sq	Albàinis
am	Amtharais
ar	Arabais
an	Aragonais
as	Asamais
av	Avarais
ae	Avestanais
ay	Aymara
az	Azeri
bm	Bambara
eu	Basgais
ba	Bashkir
be	Bealaruisis
bn	Beangailis
en	Beurla
en-GB	Beurla na RA
en-US	Beurla nan SA
vi	Bhiet-Namais
bi	Bislama
nb	Bokmål na Nirribhidh
bs	Bosnais
br	Breatnais
bg	Bulgarais
my	Burmais
ka	Cairtbheilis
ks	Caismiris
li	Cànan Limburg
su	Cànan Sunda
ty	Cànan Tahiti
kk	Casachais
ca	Catalanais
qu	Ceatsua
ch	Chamorro
ny	Chichewa
cv	Chuvash
ky	Cìorgasais
km	Cmèar
ko	Coirèanais
kw	Còrnais
co	Corsais
cr	Cree
ht	Crìtheol Haidhti
hr	Cròthaisis
cy	Cuimris
ku	Cùrdais
da	Danmhairgis
jv	Deàbhanais
ce	Deideanais
dv	Divehi
nl	Duitsis
dz	Dzongkha
he	Eabhra
it	Eadailtis
et	Eastoinis
eo	Esperanto
ee	Ewe
fo	Fàrothais
fj	Fìdis
fi	Fionnlannais
fr	Fraingis
fy	Frìoslannais Shiarach
ff	Fulah
ga	Gaeilge
gv	Gaelg
gd	Gàidhlig
gl	Gailìsis
lg	Ganda
de	Gearmailtis
el	Greugais
gn	Guaraní
gu	Gujarati
ha	Hausa
hz	Herero
hi	Hindis
ho	Hiri Motu
io	Ido
ig	Igbo
id	Innd-Innsis
is	Innis Tìlis
ia	Interlingua
ie	Interlingue
iu	Inuktitut
ik	Inupiaq
yo	Ioruba
yi	Iùdhais
kl	Kalaallisut
kn	Kannada
kr	Kanuri
ki	Kikuyu
rw	Kinyarwanda
rn	Kirundi
sw	Kiswahili
kv	Komi
kg	Kongo
kj	Kuanyama
la	Laideann
lv	Laitbheis
lo	Làtho
st	Leasotach Dheasach
ln	Lingala
lt	Liotuainis
lu	Luba-Katanga
lb	Lugsamburgais
mg	Malagasais
ms	Malaidhis
ml	Malayalam
mt	Maltais
mi	Māori
mr	Marathi
mh	Marshallais
mk	Masadonais
mn	Mongolais
na	Nabhru
nv	Navajo
nr	Ndebele Dheasach
nd	Ndebele Thuathach
ng	Ndonga
ne	Neapàlais
no	Nirribhis
nn	Nynorsk na Nirribhidh
or	Odia
oc	Ogsatanais
oj	Ojibwa
om	Oromo
os	Ossetic
pi	Pali
pa	Panjabi
ps	Pashto
fa	Peirsis
pl	Pòlainnis
pt	Portagailis
ro	Romàinis
ru	Ruisis
rm	Rumains
se	Sàmais Thuathach
sm	Samothais
sg	Sango
sa	Sanskrit
sc	Sàrdais
cs	Seacais
ja	Seapanais
sh	Sèirb-Chròthaisis
sr	Sèirbis
sn	Shona
sd	Sindhi
si	Sinhala
zh	Sìnis
cu	Slàbhais na h-Eaglaise
sk	Slòbhacais
sl	Slòbhainis
so	Somàilis
es	Spàinntis
sv	Suainis
ss	Swati
tl	Tagalog
th	Tàidh
tg	Taidigis
ta	Taimilis
tt	Tatarais
te	Telugu
bo	Tibeitis
ti	Tigrinya
to	Tongais
ts	Tsonga
tn	Tswana
tr	Turcais
tk	Turcmanais
tw	Twi
uk	Ucràinis
ug	Ùigiurais
hu	Ungairis
ur	Ùrdu
uz	Usbagais
ve	Venda
vo	Volapük
wa	Walloon
wo	Wolof
xh	Xhosa
ii	Yi Sichuan
za	Zhuang
zu	Zulu
