ak	અકાન
en	અંગ્રેજી
az	અઝેરી
aa	અફાર
ab	અબખાજિયન
ar	અરબી
an	અર્ગોનીઝ
sq	અલ્બેનિયન
av	અવેરિક
ae	અવેસ્તન
ga	આઇરિશ
is	આઇસલેન્ડિક
af	આફ્રિકન્સ
ay	આયમારા
hy	આર્મેનિયન
as	આસામી
ig	ઇગ્બો
ie	ઇંટરલિંગ
ia	ઇંટરલિંગુઆ
it	ઇટાલિયન
io	ઇડૌ
iu	ઇનુકિટૂટ
ik	ઇનુપિયાક
id	ઇન્ડોનેશિયન
ee	ઈવ
ug	ઉઇગુર
uz	ઉઝ્બેક
or	ઉડિયા
nd	ઉત્તર દેબેલ
se	ઉત્તરીય સામી
ur	ઉર્દૂ
am	એમ્હારિક
et	એસ્ટોનિયન
eo	એસ્પેરાન્ટો
oc	ઓક્સિટન
oj	ઓઝિંબ્વા
om	ઓરોમો
os	ઓસ્સેટિક
kk	કઝાખ
ca	કતલાન
kr	કનુરી
kn	કન્નડ
kl	કલાલ્લિસુત
ks	કાશ્મીરી
ki	કિકુયૂ
rw	કિન્યારવાન્ડા
ky	કિર્ગીઝ
ku	કુર્દિશ
ch	કેમોરો
kg	કોંગો
kv	કોમી
ko	કોરિયન
kw	કોર્નિશ
co	કોર્સિકન
cr	ક્રી
hr	ક્રોએશિયન
kj	ક્વાન્યામા
qu	ક્વેચુઆ
xh	ખોસા
km	ખ્મેર
lg	ગાંડા
gn	ગુઆરાની
gu	ગુજરાતી
gl	ગેલિશિયન
el	ગ્રીક
cu	ચર્ચ સ્લાવિક
zh	ચાઇનીઝ
cv	ચૂવાશ
cs	ચેક
ce	ચેચન
de	જર્મન
ja	જાપાનીઝ
jv	જાવાનીસ
ka	જ્યોર્જિઅન
za	ઝુઆગ
zu	ઝુલુ
tr	ટર્કીશ
ti	ટાઇગ્રિનિયા
tl	ટાગાલોગ
to	ટોંગાન
tw	ટ્વાઇ
nl	ડચ
da	ડેનિશ
ng	ડોન્ગા
dz	ડ્ઝોંગ્ખા
tt	તતાર
ta	તમિલ
tg	તાજીક
ty	તાહિતિયન
bo	તિબેટીયન
tk	તુર્કમેન
te	તેલુગુ
tn	ત્સ્વાના
th	થાઈ
nr	દક્ષિણ દેબેલ
dv	દિવેહી
na	નાઉરૂ
nv	નાવાજો
ne	નેપાળી
no	નૉર્વેજીયન
nn	નૉર્વેજીયન નાયનૉર્સ્ક
nb	નોર્વેજીયન બોકમાલ
ny	ન્યાન્જા
pa	પંજાબી
fy	પશ્ચિમી ફ્રિસિયન
ps	પશ્તો
pi	પાલી
pt	પોર્ટુગીઝ
pl	પોલીશ
fa	ફારસી
fj	ફિજીયન
fi	ફિનિશ
ff	ફુલાહ
fo	ફોરિસ્ત
fr	ફ્રેન્ચ
bn	બંગાળી
my	બર્મીઝ
bg	બલ્ગેરિયન
ba	બશ્કીર
bm	બામ્બારા
eu	બાસ્ક
bi	બિસ્લામા
be	બેલારુશિયન
bs	બોસ્નિયન
br	બ્રેટોન
mr	મરાઠી
ms	મલય
ml	મલયાલમ
mg	મલાગસી
mi	માઓરી
gv	માંક્સ
mh	માર્શલીઝ
mt	માલ્ટિઝ
mk	મેસેડોનિયન
mn	મોંગોલિયન
yi	યિદ્દિશ
en-US	યુ. એસ. અંગ્રેજી
en-GB	યુ.કે. અંગ્રેજી
uk	યુક્રેનિયન
yo	યોરૂબા
ru	રશિયન
rn	રૂન્દી
ro	રોમાનિયન
rm	રોમાન્શ
lb	લક્ઝેમબર્ગિશ
lo	લાઓથિયન
lv	લાતવિયન
ln	લિંગાલા
lt	લિથુનિયન
li	લિંબૂર્ગિશ
la	લેટિન
lu	લ્યૂબા કટાંગા
wa	વાલૂન
vi	વિયેતનામીસ
ve	વેન્દા
cy	વેલ્શ
vo	વોલાપુક
wo	વોલોફ
sn	શોના
su	સંડેનીઝ
st	સદર્ન સોથો
sr	સર્બિયન
sh	સર્બો-ક્રોએશિયન
sa	સંસ્કૃત
sg	સાંગો
sm	સામોન
sc	સાર્દિનિયન
ii	સિચુઆન યી
sd	સિંધી
si	સિંહાલી
ts	સોંગા
so	સોમાલી
gd	સ્કોટ્સ ગેલિક
es	સ્પેનિશ
sk	સ્લોવૅક
sl	સ્લોવેનિયન
ss	સ્વાતી
sw	સ્વાહિલી
sv	સ્વીડિશ
hu	હંગેરિયન
hi	હિન્દી
ho	હિરી મોટૂ
he	હીબ્રુ
hz	હેરેરો
ht	હૈતીયન
ha	હૌસા
