aa	aa
ab	ab
ae	ae
af	af
ak	Akan
am	Amharik
an	an
as	as
av	av
ay	ay
az	az
ba	ba
be	Belarusanci
bn	Bengali
bi	bi
bm	bm
bo	bo
br	br
bs	bs
bg	Bulgaranci
my	Burmanci
ca	ca
ce	ce
ch	ch
co	co
cr	cr
cu	cu
cv	cv
cy	cy
da	da
dv	dv
dz	dz
ee	ee
eo	eo
et	et
eu	eu
fr	Faransanci
ff	ff
fi	fi
fj	fj
fo	fo
fy	fy
ga	ga
gd	gd
el	Girkanci
gl	gl
gn	gn
gu	gu
gv	gv
vi	Harshen Biyetinam
cs	Harshen Cak
hi	Harshen Hindi
hu	Harshen Hungari
id	Harshen Indunusiya
km	Harshen Kimar
ko	Harshen Koreya
ms	Harshen Malai
pl	Harshen Polan
pt	Harshen Portugal
zh	Harshen Sin
sv	Harshen Suwedan
tr	Harshen Turkiyya
ur	Harshen Urdu
uk	Harshen Yukuren
zu	Harshen Zulu
ha	Hausa
he	he
ho	ho
nl	Holanci
hr	hr
ht	ht
hy	hy
hz	hz
ia	ia
ie	ie
ii	ii
ik	ik
ig	Inyamuranci
io	io
is	is
es	Ispaniyanci
it	Italiyanci
iu	iu
jv	Jabananci
de	Jamusanci
ja	Japananci
ka	ka
kg	kg
ki	ki
rw	Kiniyaruwanda
kj	kj
kk	kk
kl	kl
kn	kn
kr	kr
ks	ks
ku	ku
kv	kv
kw	kw
ky	ky
la	la
ar	Larabci
lb	lb
lg	lg
li	li
ln	ln
lo	lo
lt	lt
lu	lu
lv	lv
mg	mg
mh	mh
mi	mi
mk	mk
ml	ml
mn	mn
mr	mr
mt	mt
na	na
nb	nb
nd	nd
ne	Nepali
ng	ng
nn	nn
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
om	om
or	or
os	os
fa	Parisanci
pi	pi
ps	ps
pa	Punjabi
qu	qu
ru	Rashanci
rm	rm
rn	rn
ro	Romaniyanci
sa	sa
sc	sc
sd	sd
se	se
sg	sg
sh	sh
si	si
sk	sk
sl	sl
sm	sm
sn	sn
so	Somali
sq	sq
sr	sr
ss	ss
st	st
su	su
sw	sw
ta	Tamil
te	te
tg	tg
th	Thai
ti	ti
tk	tk
tl	tl
tn	tn
to	to
ts	ts
tt	tt
en	Turanci
en-GB	Turanci (GB)
en-US	Turanci (US)
tw	tw
ty	ty
ug	ug
uz	uz
ve	ve
vo	vo
wa	wa
wo	wo
xh	xh
yo	Yarbanci
yi	yi
za	za
