aa	aa
ab	ab
ace	ace
ada	ada
ady	ady
af	af
agq	agq
ain	ain
ak	ak
ale	ale
alt	alt
am	am
an	an
anp	anp
arn	arn
arp	arp
as	as
asa	asa
ast	ast
av	av
awa	awa
ay	ay
az	az
ba	ba
ban	ban
bas	bas
be	be
bem	bem
bez	bez
bg	bg
bho	bho
bi	bi
bin	bin
bla	bla
bm	bm
bn	bn
bo	bo
br	br
brx	brx
bs	bs
bug	bug
byn	byn
ca	ca
ce	ce
ceb	ceb
cgg	cgg
ch	ch
chk	chk
chm	chm
cho	cho
chr	chr
chy	chy
ckb	ckb
co	co
crs	crs
cs	cs
cu	cu
cv	cv
dak	dak
dar	dar
dav	dav
dgr	dgr
dje	dje
dsb	dsb
dua	dua
dv	dv
dyo	dyo
dz	dz
dzg	dzg
ebu	ebu
ee	ee
efi	efi
eka	eka
eo	eo
et	et
eu	eu
ewo	ewo
fa	fa
ff	ff
fi	fi
fil	fil
fo	fo
fon	fon
fur	fur
fy	fy
gaa	gaa
gan	gan
gd	gd
gez	gez
gil	gil
gl	gl
gn	gn
gor	gor
gu	gu
guz	guz
gv	gv
gwi	gwi
ha	ha
hak	hak
he	Hebera
el	Helene
hi	hi
hil	hil
hmn	hmn
nl	Hōlani
nl-BE	Hōlani (BE)
hr	hr
hsb	hsb
hsn	hsn
ht	ht
hu	hu
hup	hup
hy	hy
hz	hz
ga	ʻAiliki
ar	ʻAlapia
ar-001	ʻAlapia (001)
it	ʻĪkālia
und	ʻIke ʻole ‘ia a kūpono ʻole paha ka ʻōlelo
haw	ʻŌlelo Hawaiʻi
ia	ia
iba	iba
ibb	ibb
id	id
ig	ig
ii	ii
ilo	ilo
inh	inh
io	io
is	is
iu	iu
jbo	jbo
jgo	jgo
jmc	jmc
jv	jv
ka	ka
kab	kab
kac	kac
kaj	kaj
kam	kam
sm	Kāmoa
kbd	kbd
kcg	kcg
kde	kde
kea	kea
de	Kelemānia
de-AT	Kelemānia (AT)
de-CH	Kelemānia (CH)
da	Kenemaka
ja	Kepanī
kfo	kfo
kha	kha
khq	khq
ki	ki
kj	kj
kk	kk
kkj	kkj
kl	kl
kln	kln
km	km
kmb	kmb
kn	kn
kok	kok
ko	Kōlea
kpe	kpe
kr	kr
krc	krc
krl	krl
kru	kru
ks	ks
ksb	ksb
ksf	ksf
ksh	ksh
ku	ku
sv	Kuekene
fr-CH	Kuikilani
gsw	Kuikilani Kelemānia
kum	kum
kv	kv
kw	kw
ky	ky
lad	lad
lag	lag
la	Lākina
lb	lb
lez	lez
lg	lg
li	li
lkt	lkt
ln	ln
lo	lo
loz	loz
lrc	lrc
lt	lt
lu	lu
lua	lua
ru	Lūkia
lun	lun
luo	luo
lus	lus
luy	luy
lv	lv
mad	mad
mag	mag
mai	mai
mak	mak
mi	Māori
mas	mas
mdf	mdf
men	men
mer	mer
mfe	mfe
mg	mg
mgh	mgh
mgo	mgo
mh	mh
mic	mic
min	min
mk	mk
ml	ml
mn	mn
mni	mni
moh	moh
mos	mos
mr	mr
ms	ms
mt	mt
mua	mua
mul	mul
mus	mus
mwl	mwl
my	my
myv	myv
mzn	mzn
na	na
nan	nan
nap	nap
naq	naq
nb	nb
nd	nd
nds-NL	nds (Hōlani)
ne	ne
new	new
ng	ng
nia	nia
niu	niu
nmg	nmg
nn	nn
nnh	nnh
nog	nog
nqo	nqo
nr	nr
nso	nso
nus	nus
nv	nv
ny	ny
nyn	nyn
oc	oc
om	om
or	or
os	os
pa	pa
pag	pag
zh	Pākē
zh-Hans	Pākē Hoʻomaʻalahi ʻia
zh-Hant	Pākē Kuʻuna
fr	Palani
fr-CA	Palani Kanakā
pam	pam
es	Paniolo
es-419	Paniolo (419)
es-ES	Paniolo (Kepania)
es-MX	Paniolo (Mekiko)
pap	pap
pau	pau
pcm	pcm
en-CA	Pelekāne Kanakā
en-AU	Pelekāne Nū Hōlani
en	Pelekānia
en-GB	Pelekānia (GB)
en-US	Pelekānia (US)
fj	Pīkī
pl	pl
ty	Polapola
prg	prg
ps	ps
pt	Pukikī
pt-PT	Pukikī (PT)
pt-BR	Pukikī Palakila
qu	qu
quc	quc
rap	rap
rar	rar
rm	rm
rn	rn
ro	ro
ro-MD	ro (MD)
rof	rof
root	root
rup	rup
rw	rw
rwk	rwk
sa	sa
sad	sad
sah	sah
saq	saq
sat	sat
sba	sba
sbp	sbp
sc	sc
scn	scn
sco	sco
sd	sd
se	se
seh	seh
ses	ses
sg	sg
shi	shi
shn	shn
si	si
sk	sk
sl	sl
sma	sma
smj	smj
smn	smn
sms	sms
sn	sn
snk	snk
so	so
sq	sq
sr	sr
srn	srn
ss	ss
ssy	ssy
st	st
su	su
suk	suk
sw	sw
sw-CD	sw (CD)
swb	swb
syr	syr
ta	ta
te	te
tem	tem
teo	teo
tet	tet
tg	tg
th	th
ti	ti
tig	tig
tk	tk
tlh	tlh
tn	tn
to	Tonga
tpi	tpi
tr	tr
trv	trv
ts	ts
tt	tt
tum	tum
tvl	tvl
twq	twq
tyv	tyv
tzm	tzm
udm	udm
ug	ug
uk	uk
umb	umb
ur	ur
uz	uz
vai	vai
ve	ve
vo	vo
vun	vun
wa	wa
wae	wae
wal	wal
cy	Wale
war	war
vi	Wiekanama
wo	wo
wuu	wuu
xal	xal
xh	xh
xog	xog
yav	yav
ybb	ybb
yi	yi
yo	yo
yue	yue
zgh	zgh
zu	zu
zun	zun
zxx	zxx
zza	zza
