av	אבארית
ab	אבחזית
ae	אבסטן
oj	אוג׳יבווה
ee	אווה
uz	אוזבקית
ug	אויגהור
os	אוסטית
oc	אוקסיטנית
uk	אוקראינית
ur	אורדו
om	אורומו
or	אוריה
az	אזרית
ig	איגבו
io	אידו
it	איטלקית
ay	איימארית
id	אינדונזית
ik	אינופיאק
iu	אינוקטיטוט
ie	אינטרלינגה
ia	‏אינטרלינגואה
is	איסלנדית
ga	אירית
sq	אלבנית
am	אמהרית
en	אנגלית
en-US	אנגלית אמריקאית
en-GB	אנגלית בריטית
as	אסאמית
et	אסטונית
eo	אספרנטו
aa	אפארית
af	אפריקאנס
ak	אקאן
an	אראגונית
hy	ארמנית
bg	בולגרית
bs	בוסנית
my	בורמזית
bi	ביסלמה
be	בלארוסית
bm	במבארה
bn	בנגלית
eu	בסקית
br	ברטונית
ba	בשקירית
wo	ג׳ולוף
ka	גאורגית
gd	גאלית סקוטית
lg	גאנדה
gn	גוארני
gu	גוג׳ראטית
gl	גליציאנית
de	גרמנית
dz	דזונקה
dv	דיבהי
da	דנית
nr	דרום נדבלה
ha	האוסה
ht	האיטית
ho	הארי מוטו
nl	הולנדית
hu	הונגרית
hi	הינדי
hz	הררו
wa	וואלון
vo	‏וולאפיק
ve	וונדה
vi	ויאטנמית
cy	ולשית
za	ז׳ואנג
zu	זולו
tg	טג׳יקית
tl	טגלוג
ty	טהיטית
tw	טווי
to	טונגן
tn	טוניסיה
tr	טורקית
tk	טורקמנית
tt	טטרית
bo	טיבטית
ti	טיגרינאית
te	טלוגו
ta	טמילית
ts	טסונגה
jv	יאוונית
el	יוונית
yo	יורובה
yi	יידיש
ja	יפנית
ku	כורדית
lo	לאית
se	לאפית צפונית
lu	לובה-קטנגה
lb	לוקסמבורגית
lv	לטבית
la	לטינית
lt	ליטאית
li	לימבורגיש
ln	לינגלה
mi	מאורית
gv	מאנית
mn	מונגולית
ml	מלאיאלם
ms	מלאית
mg	מלגשית
mt	מלטית
mk	מקדונית
mr	מרטהי
mh	מרשאלס
na	נאורית
nv	נבחו
ng	נדונגה
no	נורבגית
nn	נורווגית חדשה
nb	נורווגית ספרותית
ny	ניאנג׳ה
ne	נפאלית
sw	סווהילית
so	סומלית
su	סונדנית
sd	סינדהית
si	סינהלה
zh	סינית
ss	סיסוואטי
ii	סיצ׳ואן יי
cu	סלאבית כנסייתית עתיקה
sl	סלובנית
sk	סלובקית
sm	סמואית
sg	סנגו
sa	סנסקריט
st	ססות׳ו
es	ספרדית
sh	סרבו-קרואטית
sr	סרבית
sc	סרדינית
he	עברית
ar	ערבית
pi	פאלי
fo	פארואזית
ps	פאשטו
ff	פולה
pl	פולנית
pt	פורטוגלית
fj	פיג׳ית
fi	פינית
pa	פנג׳אבית
fy	פריזית
fa	פרסית
cv	צ׳ובאש
cs	צ׳כית
ch	צ׳מורו
ce	צ׳צ׳נית
nd	צפון נדבלה
fr	צרפתית
kl	קאלאליסוטית
kr	קאנורי
kj	קואניאמה
kv	קומי
kg	קונגו
ko	קוריאנית
kw	קורנית
co	קורסיקנית
kk	קזחית
ca	קטלאנית
rw	קינירואנדה
ki	קיקויו
ky	קירגיזית
rn	קירונדי
km	קמרית
kn	קנאדה
xh	קסוסה
qu	קצ׳ואה
hr	קרואטית
cr	קרי
ks	קשמירית
rm	רומאנש
ro	רומנית
ru	רוסית
sv	שוודית
sn	שונה
th	תאית
