ak	अकन
en	अंग्रेज़ी
az	अज़ेरी
aa	अफ़ार
af	अफ़्रीकी
ab	अब्ख़ाज़ियन
en-US	अमेरिकी अंग्रेज़ी
am	अम्हेरी
ar	अरबी
an	अर्गोनी
sq	अल्बानियाई
ae	अवस्ताई
av	अवेरिक
as	असमिया
ga	आइरिश
is	आइसलैंडिक
ay	आयमारा
hy	आर्मेनियाई
id	इंडोनेशियाई
io	इडौ
it	इतालवी
ik	इनुपियाक्
iu	इनूकीटूत्
ig	ईग्बो
ia	ईन्टरलिंगुआ
ie	ईन्टरलिंगुइ
ee	ईवे
uz	उज़्बेक
or	उड़िया
nd	उत्तरी देबेल
ur	उर्दू
et	एस्टोनियाई
eo	एस्पेरेंतो
oj	ओजिब्वा
om	ओरोमो
oc	ओसीटान
os	ओस्सेटिक
kk	कज़ाख़
kr	कनुरी
kn	कन्नड़
ch	कमोरो
kl	कलालीसुत
ks	कश्मीरी
ca	कातालान
ki	किकुयू
rw	किन्यारवांडा
ky	किर्गीज़
ku	कुर्दिश
kg	कोंगो
kv	कोमी
ko	कोरियाई
kw	कोर्निश
co	कोर्सीकन
cr	क्री
hr	क्रोएशियाई
kj	क्वान्यामा
qu	क्वेचुआ
km	खमेर
xh	ख़ोसा
lg	गांडा
gn	गुआरानी
gu	गुजराती
gl	गैलिशियन
cu	चर्च साल्विक
zh	चीनी
cv	चूवाश
cs	चेक
ce	चेचन
de	जर्मन
ja	जापानी
jv	जावानीज़
za	ज़ुआंग
zu	ज़ुलू
ka	जॉर्जियाई
dz	ज़ोन्गखा
to	टोंगन
tw	ट्वी
nl	डच
da	डेनिश
ng	डोन्गा
ta	तमिल
tl	तागालोग
tg	ताजिक
tt	तातार
ty	ताहितियन
ti	तिग्रीन्या
bo	तिब्बती
tk	तुर्कमेन
tr	तुर्की
te	तेलुगू
th	थाई
nr	दक्षिण देबेल
dv	दिवेही
na	नाउरू
nv	नावाजो
ne	नेपाली
se	नॉर्दन सामी
no	नॉर्वेजियाई
nn	नॉर्वेजियाई नॉयनॉर्स्क
nb	नॉर्वेजियाई बोकमाल
ny	न्यानजा
pa	पंजाबी
fy	पश्चिमी फ़्रिसियाई
ps	पश्तो
pi	पाली
pt	पुर्तगाली
pl	पोलिश
fa	फ़ारसी
fi	फ़िनिश
fj	फ़ीजी
ff	फुलाह
fo	फ़ैरोइज़
fr	फ़्रेंच
bn	बंगाली
my	बर्मीज़
ba	बशख़िर
bm	बाम्बारा
eu	बास्क
bi	बिस्लामा
bg	बुल्गारियाई
be	बेलारूसी
bs	बोस्नियाई
br	ब्रेटन
mn	मंगोलीयाई
mr	मराठी
ms	मलय
ml	मलयालम
mi	माओरी
mh	मार्शलीज़
mg	मालागासी
mt	माल्टीज़
gv	मैंक्स
mk	मैसिडोनियाई
en-GB	यू.के. अंग्रेज़ी
uk	यूक्रेनियाई
el	यूनानी
yi	येहुदी
yo	योरूबा
rn	रुन्दी
ru	रूसी
ro	रोमानियाई
rm	रोमान्श
lb	लग्ज़मबर्गी
lo	लाओ
lv	लातवियाई
ln	लिंगाला
lt	लिथुआनियाई
li	लिंबर्गिश
la	लैटिन
lu	ल्यूबा-कटांगा
wa	वाल्लून
ug	विघुर
vi	वियतनामी
ve	वेन्दा
cy	वेल्श
vo	वोलापुक
wo	वोलोफ़
sn	शोणा
sr	सर्बियाई
sa	संस्कृत
sg	सांगो
sm	सामोन
sc	सार्दिनियन
ii	सिचुआन यी
sd	सिंधी
si	सिंहली
su	सुंडानी
tn	सेत्स्वाना
sh	सेर्बो-क्रोएशन्
st	सेसोथो
ts	सोंगा
so	सोमाली
gd	स्काट्स् गायेलिक्
es	स्पेनी
sk	स्लोवाक
sl	स्लोवेनियाई
ss	स्वाती
sw	स्वाहिली
sv	स्वीडिश
hu	हंगेरियाई
hz	हरैरो
hi	हिन्दी
he	हिब्रू
ho	हिरी मोटू
ht	हैतियाई
ha	हौसा
