ab	abhaski
aa	afarski
af	afrikaans
ak	akanski
sq	albanski
am	amharski
an	aragonski
ar	arapski
hy	armenski
as	asamski
av	avarski
ae	avestan
ay	aymara
az	azerski
bm	bambara
eu	baskijski
ba	baškirski
bn	bengalski
bi	bislama
be	bjeloruski
bs	bosanski
br	bretonski
bg	bugarski
my	burmanski
ch	chamorro
cv	chuvash
cr	cree
cu	crkvenoslavenski
tn	cvana
ce	čečenski
cs	češki
da	danski
dv	divehi
dz	dzongkha
en	engleski
en-US	engleski (SAD)
en-GB	engleski (UK)
eo	esperanto
et	estonski
ee	ewe
fo	ferojski
fj	fidžijski
fi	finski
fr	francuski
ff	fulah
gl	galicijski
lg	ganda
el	grčki
ka	gruzijski
gn	guarani
gu	gudžaratski
ha	hausa
he	hebrejski
hz	herero
hi	hindski
ho	hiri motu
hr	hrvatski
io	ido
ig	igbo
id	indonezijski
ie	interligua
ia	interlingua
iu	inuktitut
ik	inupiaq
ga	irski
is	islandski
ja	japanski
jv	javanski
yi	jidiš
yo	joruba
nr	južni ndebele
se	južni sami
kl	kalaallisut
kn	kannadski
kr	kanuri
ks	kašmirski
ca	katalonski
kk	kazaški
qu	kečua
ki	kikuyu
zh	kineski
rw	kinyarwanda
ky	kirgiški
km	kmerski
nb	književni norveški
kv	komi
kg	kongo
ko	korejski
kw	kornski
co	korzički
ht	kreolski
kj	kuanyama
ku	kurdski
lo	laoski
la	latinski
lv	latvijski
li	limburgish
ln	lingala
lt	litavski
lu	luba-katanga
lb	luksemburški
hu	mađarski
mk	makedonski
ml	malajalamski
ms	malajski
mg	malgaški
mt	malteški
gv	manski
mi	maorski
mr	marathski
mh	maršalski
mn	mongolski
na	nauru
nv	navajo
ng	ndonga
ne	nepalski
nl	nizozemski
no	norveški
nn	novonorveški
ny	nyanja
de	njemački
oj	ojibwa
oc	okcitanski
or	orijski
om	oromski
os	osetski
pi	pali
pa	pandžapski
ps	paštu
fa	perzijski
pl	poljski
pt	portugalski
rm	romanš
ro	rumunjski
rn	rundi
ru	ruski
sm	samoanski
sg	sango
sa	sanskrtski
sc	sardski
st	sesotski
sn	shona
ii	sichuan yi
sd	sindhi
si	sinhaleški
nd	sjeverni ndebele
sk	slovački
sl	slovenski
so	somalski
sr	srpski
sh	srpsko-hrvatski
su	sundanski
sw	svahili
ss	svati
gd	škotski-galski
es	španjolski
sv	švedski
tg	tadžički
tl	tagalog
ty	tahićanski
th	tajlandski
it	talijanski
ta	tamilski
tt	tatarski
te	telugu
bo	tibetanski
ti	tigrinja
to	tonganski
ts	tsonga
tk	turkmenski
tr	turski
tw	twi
ug	ujgurski
uk	ukrajinski
ur	urdski
uz	uzbečki
wa	valonski
cy	velški
ve	venda
vi	vijetnamski
vo	volapük
wo	wolof
xh	xhosa
fy	zapadnofrizijski
za	zhuang
zu	zulu
