ab	abchazišćina
ae	ae
aa	afaršćina
af	afrikaanšćina
ak	akanšćina
sq	albanšćina
am	amharšćina
ar	arabšćina
an	aragonšćina
hy	armenšćina
as	asamšćina
av	awaršćina
ay	aymaršćina
az	az
bm	bambara
ba	baškiršćina
eu	baskišćina
be	běłorušćina
bn	bengalšćina
bi	bislamšćina
bg	bołharšćina
bs	bosnišćina
br	bretonšćina
my	burmašćina
ch	čamoršćina
ce	ce
cs	čěšćina
zh	chinšćina
hr	chorwatšćina
cu	cu
cv	cv
da	danšćina
dv	divehi
dz	dzongkha
eo	esperanto
et	estišćina
ee	ewe
fo	färöšćina
ff	ff
fj	fidźišćina
fi	finšćina
fr	francošćina
fy	frizišćina
gl	galicišćina
lg	gandšćina
ka	georgišćina
el	grjekšćina
kl	gröndlandšćina
gn	guarani
gu	gujarati
ht	haitišćina
ha	hausa
he	hebrejšćina
hi	hindišćina
ho	ho
hz	hz
io	ido
ie	ie
ig	igbo
id	indonešćina
ia	interlingua
iu	inuitšćina
ik	inupiak
ga	iršćina
is	islandšćina
it	italšćina
ja	japanšćina
jv	javašćina
en	jendźelšćina
en-GB	jendźelšćina (UK)
en-US	jendźelšćina (USA)
yi	jidišćina
yo	jorubašćina
st	južnosotšćina (Sesotho)
kn	kannadšćina
ks	kašmiršćina
ca	katalanšćina
kk	kazachšćina
qu	kečua
kg	kg
km	khmeršćina
ki	kikuyu
rw	kinjarwanda
ky	kirgišćina
rn	kirundišćina
kj	kj
ko	korejšćina
kw	kornišćina
co	korsišćina
kr	kr
cr	kri
ku	kurdišćina
kv	kv
la	łaćonšćina
lo	laošćina
lv	letišćina
li	limburšćina
ln	lingala
lt	litawšćina
lu	luba-katanga
lb	luxemburgšćina
hu	madźaršćina
mk	makedonšćina
mg	malagassišćina
ml	malajamšćina
ms	malajšćina
mt	maltašćina
gv	manšćina
mi	maoršćina
mr	maratišćina
mh	mh
mn	mongolšćina
na	naurušćina
nv	navaho
de	němčina
ne	nepalšćina
ng	ng
nl	nižozemšćina
no	norwegšćina
nb	norwegšćina (bokmål)
nn	norwegšćina (nynorsk)
nr	nr
ny	ny
oj	oj
oc	okcitanšćina
or	orijšćina
om	oromo
os	os
pa	pandźabšćina
ps	paštunšćina
fa	persišćina
pi	pi
pl	pólšćina
pt	portugalšćina
rm	retoromanšćina
ro	rumunšćina
ru	rušćina
sm	samoašćina
sg	sango
sa	sanskrit
sc	sardinšćina
sr	serbišćina
sh	serbochorwatšćina
nd	sewjero-ndebele
se	sewjerosamišćina
ii	sichuan yi
sd	sindhišćina
si	singhalšćina
ss	siswati
sk	słowakšćina
sl	słowjenšćina
so	somališćina
sn	šonašćina
gd	šotiska gelšćina
es	španišćina
sw	suahelšćina
su	sundanezišćina
sv	šwedšćina
tg	tadźikšćina
tl	tagalog
ty	tahitišćina
ta	tamilšćina
tt	tataršćina
te	telugu
th	thailandšćina
bo	tibetšćina
ti	tigrinšćina
to	tongašćina
ts	tsonga
tn	tswana
tk	turkmenšćina
tr	turkowšćina
tw	twi
ug	ujguršćina
uk	ukrainšćina
ur	urdušćina
uz	uzbekšćina
ve	ve
vi	vietnamšćina
vo	volapük
cy	walizišćina
wa	walonšćina
wo	wolof
xh	xhosa
za	zhuang
zu	zulušćina
