ae	ae
an	an
av	av
ay	ay
bi	bi
ch	ch
cr	cr
cu	cu
dv	dv
ff	ff
gd	gd
ho	ho
hz	hz
ia	ia
ie	ie
ik	ik
io	io
kg	kg
kj	kj
kr	kr
kv	kv
li	li
mh	mh
na	na
ng	ng
no	no
nr	nr
nv	nv
ny	ny
sc	sc
sh	sh
sm	sm
ss	ss
ab	աբխազերեն
az	ադրբեջաներեն
sq	ալբաներեն
oc	ակվիտաներեն
am	ամհարերեն
en	անգլերեն
en-US	անգլերեն (ԱՄՆ)
en-GB	անգլերեն (Բրիտանիա)
as	ասամերեն
ar	արաբերեն
fy	արևմտյան ֆրիզերեն
ak	աքաներեն
aa	աֆարերեն
af	աֆրիկաանս
bm	բամբարա
ba	բաշկիրերեն
eu	բասկերեն
be	բելառուսերեն
bn	բենգալերեն
my	բիրմայերեն
bs	բոսնիերեն
bg	բուլղարերեն
br	բրետոներեն
gl	գալիսերեն
lg	գանդա
de	գերմաներեն
gn	գուարանի
gu	գուջարաթի
da	դանիերեն
he	եբրայերեն
zu	զուլուսերեն
eo	էսպերանտո
et	էստոներեն
ee	էվե
tt	թաթարերեն
ty	թաիտերեն
ta	թամիլերեն
th	թայերեն
te	թելուգու
ti	թիգրինիա
tr	թուրքերեն
tk	թուրքմեներեն
za	ժուանգ
ig	իգբո
yi	իդիշ
id	ինդոնեզերեն
iu	ինուկտիտուտ
ga	իռլանդերեն
is	իսլանդերեն
es	իսպաներեն
it	իտալերեն
lo	լաոսերեն
la	լատիներեն
lv	լատվիերեն
pl	լեհերեն
ln	լինգալա
lt	լիտվերեն
lb	լյուքսեմբուրգերեն
lu	լուբա-կատանգա
hr	խորվաթերեն
kl	կալաալիսուտ
kn	կաննադա
ca	կատալաներեն
ki	կիկույու
kw	կոռներեն
ko	կորեերեն
co	կորսիկերեն
ht	հաիթերեն
hy	հայերեն
ha	հաուսա
hi	հինդի
nd	հյուսիսային նդեբելե
se	հյուսիսային սամի
st	հյուսիսային սոտո
nl	հոլանդերեն
el	հունարեն
hu	հունգարերեն
kk	ղազախերեն
ky	ղրղզերեն
ja	ճապոներեն
jv	ճավայերեն
mg	մալագասերեն
ml	մալայալամ
ms	մալայերեն
mt	մալթերեն
mk	մակեդոներեն
mi	մաորի
mr	մարաթի
gv	մեներեն
mn	մոնղոլերեն
yo	յորուբա
ne	նեպալերեն
nb	նորվեգերեն բուկմոլ
nn	նորվեգերեն նյունորսկ
sn	շոնա
sv	շվեդերեն
cy	ուելսերեն
uz	ուզբեկերեն
uk	ուկրաիներեն
ug	ույղուրերեն
ur	ուրդու
cs	չեխերեն
ce	չեչեներեն
zh	չինարեն
cv	չուվաշերեն
pi	պալի
fa	պարսկերեն
pt	պորտուգալերեն
dz	ջոնգքհա
rm	ռոմանշերեն
ro	ռումիներեն
rn	ռունդի
ru	ռուսերեն
sg	սանգո
sa	սանսկրիտ
sr	սերբերեն
ii	սիխուան յի
sd	սինդհի
si	սինհալերեն
sk	սլովակերեն
sl	սլովեներեն
so	սոմալիերեն
sw	սուահիլի
su	սունդաներեն
wa	վալոներեն
ve	վենդա
vi	վիետնամերեն
vo	վոլապյուկ
wo	վոլոֆ
ka	վրացերեն
tl	տագալերեն
tg	տաջիկերեն
bo	տիբեթերեն
to	տոնգերեն
tw	տուի
ts	ցոնգա
tn	ցվանա
pa	փենջաբերեն
ps	փուշթու
ks	քաշմիրերեն
qu	քեչուա
rw	քինյարվանդա
km	քմերերեն
xh	քսոզա
ku	քրդերեն
oj	օջիբվա
os	օսերեն
or	օրիյա
om	օրոմո
fo	ֆարյորերեն
fi	ֆիններեն
fj	ֆիջիերեն
fr	ֆրանսերեն
