aa	aa
ab	ab
ae	ae
af	af
ak	Akan
am	Amariikị
an	an
ar	Arabiikị
as	as
av	av
ha	Awụsa
ay	ay
az	az
ba	ba
be	Belaruusu
bn	Bengali
bi	bi
bm	bm
bo	bo
bg	Bọlụgarịa
br	br
bs	bs
ca	ca
ce	ce
ch	ch
cs	Cheekị
co	co
cr	cr
cu	cu
cv	cv
cy	cy
da	da
nl	Dọọch
dv	dv
dz	dz
ee	ee
eo	eo
et	et
eu	eu
ff	ff
fi	fi
fj	fj
fo	fo
fr	Fụrench
fy	fy
ga	ga
gd	gd
el	Giriikị
gl	gl
gn	gn
gu	gu
gv	gv
he	he
hi	Hindi
ho	ho
hr	hr
ht	ht
hy	hy
hz	hz
ia	ia
ie	ie
ig	Igbo
ii	ii
ik	ik
id	Indonisia
io	io
is	is
it	Italo
iu	iu
de	Jamaan
ja	Japanese
jv	Java
ka	ka
km	Keme, Etiti
kg	kg
ki	ki
kj	kj
kk	kk
kl	kl
kn	kn
ko	Koria
kr	kr
ks	ks
ku	ku
kv	kv
kw	kw
ky	ky
la	la
lb	lb
lg	lg
li	li
ln	ln
lo	lo
lt	lt
lu	lu
lv	lv
hu	Magịya
ms	Maleyi
zh	Mandarịịnị
mg	mg
mh	mh
mi	mi
my	Mịanma
mk	mk
ml	ml
mn	mn
mr	mr
mt	mt
na	na
nb	nb
nd	nd
ne	Nepali
ng	ng
nn	nn
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
om	om
or	or
os	os
en	Oyibo
en-GB	Oyibo (GB)
en-US	Oyibo (US)
es	Panya
fa	Peshan
pi	pi
pl	Poliishi
pt	Potoki
ps	ps
pa	Punjabi
qu	qu
rm	rm
rn	rn
ru	Rọshan
ro	Rumenia
rw	Rụwanda
sa	sa
sc	sc
sd	sd
se	se
sg	sg
sh	sh
si	si
sk	sk
sl	sl
sm	sm
sn	sn
so	Somali
sq	sq
sr	sr
ss	ss
st	st
su	su
sv	Sụwidiishi
sw	sw
th	Taị
ta	Tamụlụ
te	te
tg	tg
ti	ti
tk	tk
tl	tl
tn	tn
to	to
tr	Tọkiishi
ts	ts
tt	tt
tw	tw
ty	ty
ug	ug
uk	Ukureenị
ur	Urudu
uz	uz
ve	ve
vi	Viyetịnaamụ
vo	vo
wa	wa
wo	wo
xh	xh
yi	yi
yo	Yoruba
za	za
zu	Zulu
