aa	aa
ab	abkasíska
af	afríkanska
ay	aímara
ak	akan
sq	albanska
ia	alþjóðatunga
am	amharíska
ar	arabíska
an	aragonska
hy	armenska
az	aserska
as	assamska
av	avaríska
ae	avestíska
bm	bambara
ba	baskír
eu	baskneska
bn	bengalska
bi	bíslama
bs	bosníska
br	bretónska
bg	búlgarska
my	burmneska
da	danska
dv	dívehí
dz	dsongka
et	eistneska
en	enska
en-US	enska (BNA)
en-GB	enska (bresk)
eo	esperantó
ee	ewe
fo	færeyska
fj	fídjeyska
fi	finnska
fr	franska
ff	fúla
gl	galíanska
lg	ganda
ka	georgíska
kl	grænlenska
el	gríska
gu	gújaratí
gn	gvaraní
ht	haítíska
ha	hása
he	hebreska
hz	hereró
hi	hindí
ho	hírímótú
nl	hollenska
be	hvítrússneska
io	ídó
ig	ígbó
id	indónesíska
ie	interlingve
iu	inúktitút
ik	ínúpíak
ga	írska
is	íslenska
it	ítalska
ja	japanska
jv	javanska
yi	jiddíska
yo	jórúba
ch	kamorró
kn	kannada
kr	kanúrí
kk	kasakska
ks	kasmírska
ca	katalónska
ki	kíkújú
rw	kínjarvanda
zh	kínverska
ky	kirgiska
cu	kirkjuslavneska
km	kmer
kv	komíska
kg	kongóska
ko	kóreska
kw	kornbreska
co	korsíska
cr	krí
hr	króatíska
kj	kúanjama
ku	kúrdíska
qu	kvesjúa
lo	laó
la	latína
lv	lettneska
li	limbúrgíska
ln	lingala
lt	litháíska
lu	lúbakatanga
lb	lúxemborgíska
mk	makedónska
mg	malagasíska
ms	malaíska
ml	malajalam
mt	maltneska
gv	manska
mi	maorí
mr	maratí
mh	marshallska
mn	mongólska
na	nárúska
nv	navahó
ng	ndonga
ne	nepalska
ny	njanja; sísjeva; sjeva
nd	norður-ndebele
se	norðursamíska
no	norska
nb	norskt bókmál
nn	nýnorska
oj	ojibva
oc	oksítaníska
or	óría
om	oromo
os	ossetíska
pi	palí
ps	pastú
fa	persneska
pl	pólska
pt	portúgalska
pa	púnjabí
rm	rómanska
ro	rúmenska
rn	rúndí
ru	rússneska
sv	sænska
sm	samóska
sg	sangó
sa	sanskrít
sc	sardínska
sr	serbneska
sh	serbókróatíska
sn	shona
sd	sindí
si	singalíska
ii	sísúanjí
cv	sjúvas
gd	skosk gelíska
sk	slóvakíska
sl	slóvenska
so	sómalska
xh	sósa
es	spænska
za	súang
nr	suðurndebele
st	suðursótó
zu	súlú
su	súndanska
sw	svahílí
ss	svatí
tg	tadsjikska
tl	tagalog
ty	tahítíska
th	taílenska
ta	tamílska
tt	tatarska
cs	tékkneska
te	telúgú
bo	tíbeska
ti	tígrinja
to	tongverska
ce	tsjetsjenska
ts	tsonga
tn	tsúana
tk	túrkmenska
tw	tví
tr	tyrkneska
ug	úígúr
uk	úkraínska
hu	ungverska
ur	úrdú
uz	úsbekska
wa	vallónska
cy	velska
ve	venda
fy	vesturfrísneska
vi	víetnamska
vo	vo
wo	volof
de	þýska
