is	アイスランド語
ay	アイマラ語
ga	アイルランド語
av	アヴァル語
ae	アヴェスタ語
ak	アカン語
az	アゼリー語
as	アッサム語
aa	アファル語
ab	アブハズ語
af	アフリカーンス語
am	アムハラ語
an	アラゴン語
ar	アラビア語
sq	アルバニア語
hy	アルメニア語
it	イタリア語
yi	イディッシュ語
io	イド語
iu	イヌクウティトット語
ik	イヌピアック語
ig	イボ語
ie	インターリング
ia	インターリングア
id	インドネシア語
ug	ウイグル語
cy	ウェールズ語
vo	ヴォラピュク語
wo	ウォロフ語
uk	ウクライナ語
uz	ウズベク語
ur	ウルドゥー語
ee	エウェ語
et	エストニア語
eo	エスペラント語
oj	オジブウェー語
os	オセット語
oc	オック語
nl	オランダ語
or	オリヤー語
om	オロモ語
kk	カザフ語
ks	カシミール語
ca	カタロニア語
kr	カヌリ語
gl	ガリシア語
lg	ガンダ語
kn	カンナダ語
ki	キクユ語
el	ギリシャ語
ky	キルギス語
gn	グアラニー語
gu	グジャラート語
km	クメール語
kl	グリーンランド語
cr	クリー語
ku	クルド語
hr	クロアチア語
kj	クワニャマ語
qu	ケチュア語
kw	コーンウォール語
xh	コサ語
kv	コミ語
co	コルシカ語
kg	コンゴ語
sm	サモア語
sc	サルデーニャ語
sg	サンゴ語
sa	サンスクリット語
jv	ジャワ語
ka	ジョージア語
sn	ショナ語
sd	シンド語
si	シンハラ語
zu	ズールー語
sv	スウェーデン語
gd	スコットランド・ゲール語
es	スペイン語
sk	スロバキア語
sl	スロベニア語
ss	スワジ語
sw	スワヒリ語
su	スンダ語
sr	セルビア語
sh	セルボ・クロアチア語
so	ソマリ語
dz	ゾンカ語
th	タイ語
tl	タガログ語
tg	タジク語
tt	タタール語
ty	タヒチ語
ta	タミル語
cs	チェコ語
ce	チェチェン語
bo	チベット語
ch	チャモロ語
cv	チュヴァシ語
za	チワン語
ts	ツォンガ語
tn	ツワナ語
ti	ティグリニア語
dv	ディベヒ語
te	テルグ語
da	デンマーク語
de	ドイツ語
tw	トウィ語
tk	トルクメン語
tr	トルコ語
to	トンガ語
na	ナウル語
nv	ナバホ語
ny	ニャンジャ語
ne	ネパール語
no	ノルウェー語
nn	ノルウェー語(ニーノシュク)
nb	ノルウェー語(ブークモール)
pi	パーリ語
ht	ハイチ語
ha	ハウサ語
ba	バシキール語
ps	パシュトゥー語
eu	バスク語
hu	ハンガリー語
pa	パンジャブ語
bm	バンバラ語
bi	ビスラマ語
ho	ヒリモツ語
my	ビルマ語
hi	ヒンディー語
fj	フィジー語
fi	フィンランド語
fo	フェロー語
ff	フラニ語
fr	フランス語
bg	ブルガリア語
br	ブルトン語
vi	ベトナム語
he	ヘブライ語
be	ベラルーシ語
fa	ペルシア語
hz	ヘレロ語
bn	ベンガル語
ve	ベンダ語
pl	ポーランド語
bs	ボスニア語
pt	ポルトガル語
mh	マーシャル語
mi	マオリ語
mk	マケドニア語
mg	マダガスカル語
mr	マラーティー語
ml	マラヤーラム語
mt	マルタ語
ms	マレー語
gv	マン島語
mn	モンゴル語
yo	ヨルバ語
lo	ラオ語
la	ラテン語
lv	ラトビア語
lt	リトアニア語
ln	リンガラ語
li	リンブルフ語
ro	ルーマニア語
lb	ルクセンブルク語
lu	ルバ・カタンガ語
rw	ルワンダ語
rn	ルンディ語
ru	ロシア語
rm	ロマンシュ語
wa	ワロン語
ng	ンドンガ語
zh	中国語
se	北サーミ語
nd	北ンデベレ語
nr	南ンデベレ語
st	南部ソト語
ii	四川イ語
cu	教会スラブ語
ja	日本語
en	英語
en-US	英語(米国)
en-GB	英語(英国)
fy	西フリジア語
ko	韓国語
