av	av
bi	bi
ch	ch
ff	ff
ho	ho
hz	hz
ik	ik
kj	kj
mh	mh
ng	ng
nr	nr
ss	ss
tl	tl
ts	ts
ty	ty
ve	ve
vo	vo
wa	wa
za	za
ae	ავესტური
az	აზერბაიჯანული
ay	აიმარა
ak	აკანი
sq	ალბანური
am	ამჰარული
ar	არაბული
an	არაგონული
as	ასამური
aa	აფარი
af	აფრიკაანსი
ab	აფხაზური
en-US	აშშ ინგლისური
bm	ბამბარა
eu	ბასკური
ba	ბაშკირული
be	ბელორუსული
bn	ბენგალური
el	ბერძნული
my	ბირმული
bs	ბოსნიური
br	ბრეტონული
bg	ბულგარული
gl	გალისიური
lg	განდა
en-GB	გართ. სამ. ინგლისური
de	გერმანული
gn	გუარანი
gu	გუჯარათი
da	დანიური
kl	დასავლეთ გრენლანდიური
fy	დასავლეთფრიზიული
dv	დივეჰი
he	ებრაული
ee	ევე
es	ესპანური
eo	ესპერანტო
et	ესტონური
vi	ვიეტნამური
wo	ვოლოფური
zu	ზულუ
tt	თათრული
ti	თიგრინია
tw	თუი
tk	თურქმენული
tr	თურქული
jv	იავური
ja	იაპონური
ig	იგბო
yi	იდიში
io	იდო
en	ინგლისური
id	ინდონეზიური
ie	ინტერლინგი
ia	ინტერლინგუალური
iu	ინუკტიტუტი
yo	იორუბა
ga	ირლანდიური
is	ისლანდიური
it	იტალიური
kn	კანადა
kr	კანური
ca	კატალანური
qu	კეჩუა
ki	კიკუიუ
rw	კინიარუანდა
kv	კომი
kg	კონგო
ko	კორეული
kw	კორნული
co	კორსიკული
cr	კრი
la	ლათინური
lo	ლაოსური
lv	ლატვიური
li	ლიმბურგული
ln	ლინგალა
lt	ლიტვური
lu	ლუბა-კატანგა
lb	ლუქსემბურგული
mk	მაკედონური
mg	მალაგასიური
ml	მალაიალამური
ms	მალაიური
mt	მალტური
mi	მაორი
mr	მარათჰი
gv	მენური
mn	მონღოლური
nv	ნავახო
na	ნაურუ
ne	ნეპალური
ny	ნიანჯა
nl	ნიდერლანდური
no	ნორვეგიული
nb	ნორვეგიული ბუკმოლი
nn	ნორვეგიული ნიუნორსკი
or	ორია
om	ორომო
os	ოსური
oc	ოქსიტანური
oj	ოჯიბვე
pi	პალი
pa	პენჯაბური
pl	პოლონური
pt	პორტუგალიური
ps	პუშტუ
rm	რეტორომანული
ro	რუმინული
rn	რუნდი
ru	რუსული
cu	საეკლესიო სლავური
sm	სამოა
st	სამხრეთ სოთოს ენა
sg	სანგო
sa	სანსკრიტი
sc	სარდინიული
sh	სერბულ-ხორვატული
sr	სერბული
sd	სინდჰური
si	სინჰალური
ii	სიჩუანის ი
sk	სლოვაკური
sl	სლოვენური
so	სომალიური
hy	სომხური
fa	სპარსული
sw	სუაჰილი
su	სუნდური
th	ტაი
ta	ტამილური
tg	ტაჯიკური
te	ტელუგუ
bo	ტიბეტური
to	ტონგანური
tn	ტსვანა
cy	უელსური
uz	უზბეკური
ug	უიღურული
uk	უკრაინული
hu	უნგრული
ur	ურდუ
fo	ფარერული
fi	ფინური
fj	ფიჯი
fr	ფრანგული
ka	ქართული
ks	ქაშმირული
km	ქმერული
ku	ქურთული
xh	ქჰოსა
kk	ყაზახური
ky	ყირგიზული
sv	შვედური
sn	შონა
gd	შოტლანდიური გელური
ce	ჩეჩნური
cs	ჩეხური
zh	ჩინური
nd	ჩრდილოეთ ნდებელე
se	ჩრდილოეთ საამური
cv	ჩუვაშური
dz	ძონგკხა
hr	ხორვატული
ht	ჰაიტიური
ha	ჰაუსა
hi	ჰინდი
