aa	aa
ab	abkaziu
ae	ae
af	afrikaner
ay	aimara
ht	aitianu
ak	akan
sq	albanes
de	alimãu
am	amariku
an	an
ar	arabi
hy	arméniu
as	asames
ha	auza
av	av
az	azeri
bm	bambara
eu	basku
ba	baxkir
bn	bengali
bi	bi
be	bielorusu
my	birmanes
bs	bosniu
br	bretãu
bg	búlgaru
ch	ch
cr	cr
cu	cu
da	dinamarkes
dv	dv
dz	dzonka
he	ebraiku
ee	eve
fo	faroes
ff	ff
fj	fijianu
fi	finlandes
fr	franses
fy	frisiu osidental
gl	galegu
cy	gales
gd	gd
el	gregu
kl	groenlandes
gn	guarani
gu	gujarati
ho	ho
hz	hz
ia	ia
ig	ibo
ie	ie
ik	ik
hi	indi
id	indonéziu
en	ingles
en-GB	ingles (R.U.)
en-US	ingles (S.U.)
iu	inuktitut
io	io
yo	ioruba
ga	irlandes
is	islandes
it	italianu
ja	japones
jv	javanes
ka	jorjianu
kn	kanares
ca	katalãu
ks	kaxmira
kk	kazak
qu	kexua
kg	kg
ki	kikuiu
rw	kiniaruanda
ky	kirgiz
kj	kj
km	kmer
ko	korianu
kw	kórniku
co	kórsiku
xh	koza
kr	kr
hr	kroata
ku	kurdu
kv	kv
la	latin
lo	lausianu
lv	letãu
li	li
lt	lituanes
ln	ln
lu	lu
lg	luganda
lb	luxemburges
ml	malaialam
ms	malaiu
mg	malgaxi
mt	maltes
gv	manks
mi	maori
mr	marati
mk	masedoniu
mh	mh
mn	mn
na	na
nd	nd
ne	nepales
ng	ng
no	no
nb	norueges bokmål
nn	norueges nynorsk
nr	nr
ii	nuosu
nv	nv
ny	ny
oc	oc
oj	oj
nl	olandes
or	oriya
om	oromo
os	os
pa	pandjabi
ps	paxto
fa	persa
pi	pi
pl	pulaku
pt	purtuges
rn	rn
rm	romanxi
ro	rumenu
ru	rusu
sa	sanskritu
sc	sc
se	se
sr	sérviu
sg	sg
sh	sh
sd	sindi
si	singales
sk	slovaku
sl	sloveniu
sm	sm
sn	sn
so	somali
es	spanhol
eo	sperantu
ss	ss
st	st
et	stonianu
sw	suaíli
sv	sueku
su	sundanes
th	tailandes
tg	tajik
ta	tamil
tt	tatar
te	telugu
bo	tibetanu
ti	tigrinia
tl	tl
tn	tn
to	tonganes
ts	ts
tk	turkmenu
tr	turku
tw	tw
cs	txeku
ce	txetxenu
cv	txuvaxi
ty	ty
ug	uigur
uk	ukranianu
hu	úngaru
wo	uolof
ur	urdu
uz	uzbeki
ve	ve
vi	vietnamita
vo	vo
wa	wa
zh	xines
yi	yi
za	za
zu	zulu
