av	av
bi	bi
ch	ch
cr	cr
cu	cu
dv	dv
ff	ff
ho	ho
hz	hz
ia	ia
ie	ie
ik	ik
io	io
kg	kg
kj	kj
kr	kr
kv	kv
li	li
mh	mh
na	na
ng	ng
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
os	os
pi	pi
sc	sc
sh	sh
ss	ss
st	st
tl	tl
tn	tn
ts	ts
tw	tw
ty	ty
ve	ve
vo	vo
wa	wa
kn	កន្នដ
ca	កាតាឡាន
ks	កាស្មៀរ
kk	កាហ្សាក់ស្តង់់
kl	កាឡាលលីស៊ុត
kw	កូនីស
ko	កូរ៉េ
co	កូស៊ីខាន
qu	កេទជួអា
el	ក្រិច
hr	ក្រូអាត
km	ខ្មែរ
rw	គិនយ៉ាវ៉ាន់ដា
ki	គីគូយូ
ky	គៀរហ្គីស្តង់
xh	ឃសា
ku	ឃឺដ
zh	ចិន
cs	ឆេក
ja	ជប៉ុន
jv	ជ្វា
ce	ឈីឆេន
cv	ឈូវ៉ាស
da	ដាណឺម៉ាក
dz	ដុងខា
tg	តាដហ្សីគីស្តង់
tt	តាតា
ta	តាមីល
to	តុងហ្គោ
te	តេលុគុ
th	ថៃ
bo	ទីបេ
ti	ទីរិនយា
tk	ទួគមេនីស្តង់
tr	ទួរគី
nn	ន័រវែស នីនូស
nb	ន័រវែស បុកម៉ាល់
ne	នេប៉ាល់
nd	នេបេលេខាងជើង
bn	បង់ក្លាដែស
bm	បាម្បារា
fr	បារាំង
eu	បាស្កេ
ps	បាស្តូ
pa	បឹនជាពិ
bg	ប៊ុលហ្ការី
bs	បូស្នី
pl	ប៉ូឡូញ
be	បេឡារុស្ស
ba	បែស្កឺ
br	ប្រីស្តុន
pt	ព័រទុយហ្កាល់
za	ភាសាចួង
no	ភាសាន័រវែស
yi	ភាសាយីឌីហ្ស
sm	ភាសាសាមូអា
gd	ភាសាហ្កែលិគ (gd)
an	ភាសាអារ៉ាហ្គោន
ae	ភាសាអាវែស្តង់
aa	ភាសាអាហ្វារ
ay	ភាសាអីម៉ារ៉ា
fa	ភឺសៀន
my	ភូមា
ml	មលយាល័ម
mr	ម៉ារ៉ាធី
mt	ម៉ាល់តា
mk	ម៉ាសេដូនី
mg	ម៉ាឡាហ្គាស៊ី
ms	ម៉ាឡេស៊ី
mn	ម៉ុងហ្គោលី
gv	មេន
mi	ម៉ោរី
yo	យរូបា
ru	រុស្ស៊ី
rn	រូន្ឌី
rm	រ៉ូម៉ង់
ro	រូម៉ានី
lt	លីទុយអានី
ln	លីនកាឡា
lb	លុចហ្សំបួរ
lu	លូបាកាតានហ្គា
wo	វូឡុហ្វ
vi	វៀតណាម
cy	វេល
sa	សំស្ក្រឹត
sg	សានហ្គោ
se	សាមីខាងជើង
ii	ស៊ីឈាន់យី
sd	ស៊ីនឌី
sv	ស៊ុយអែដ
su	ស៊ូដង់
sn	សូណា
so	សូម៉ាលី
zu	សូលូ
sr	ស៊ែប
si	ស្រីលង្កា
sk	ស្លូវ៉ាគី
sl	ស្លូវ៉ានី
sw	ស្វាហ៊ីលី
hi	ហិណ្ឌី
hu	ហុងគ្រី
nl	ហុល្លង់
ha	ហូសា
ht	ហៃទី
gu	ហ្កុយ៉ារាទី
lg	ហ្គាន់ដា
gl	ហ្គាលីស្យាន
gn	ហ្គូរ៉ានី
fi	ហ្វាំងឡង់
fo	ហ្វារូស
fj	ហ៊្វីជី
fy	ហ្វ្រីស៊ានខាងលិច
ka	ហ្សក​ហ្ស៊ី
lv	ឡាតវី
la	ឡាតំាង
lo	ឡាវ
en	អង់គ្លេស
en-GB	អង់គ្លេស (ច.អ.)
en-US	អង់គ្លេស (ស.រ.អ)
ak	អាកាន
ab	អាប់ខាហ៊្សាន
am	អាមហារីច
hy	អារមេនី
ar	អារ៉ាប់
sq	អាល់បានី
de	អាល្លឺម៉ង់
as	អាសាមីស
af	អាហ្វ្រិកាន
az	អាហ្សេរី
ig	អ៊ីកបូ
it	អ៊ីតាលី
iu	អ៊ីនុកទីទុត
ee	អ៊ីវ
he	អ៊ីស្រាអែល
is	អ៊ីស្លង់
uk	អ៊ុយក្រែន
ug	អ៊ុយហ្គឺរ
ur	អ៊ូរឌូ
or	អូរីយ៉ា
om	អូរ៉ូម៉ូ
uz	អ៊ូហ្សបេគីស្តង់
ga	អៀរឡង់
et	អេស្តូនី
es	អេស្ប៉ាញ
eo	អេស្ពេរ៉ាន់តូ
id	ឥណ្ឌូណេស៊ី
