ak	ಅಕಾನ್
az	ಅಝೆರಿ
aa	ಅಫಾರ್
ab	ಅಬ್ಖಾಜಿಯನ್
ay	ಅಯ್ಮಾರಾ
an	ಅರಗೊನೀಸ್
ar	ಅರೇಬಿಕ್
hy	ಅರ್ಮೇನಿಯನ್
sq	ಅಲ್ಬೇನಿಯನ್
av	ಅವರಿಕ್
ae	ಅವೆಸ್ಟನ್
as	ಅಸ್ಸಾಮೀಸ್
am	ಅಂಹರಿಕ್
af	ಆಫ್ರಿಕಾನ್ಸ್
ig	ಇಗ್ಬೊ
en	ಇಂಗ್ಲೀಷ್
ie	ಇಂಟರ್ಲಿಂಗ್
ia	ಇಂಟರ್‌ಲಿಂಗ್ವಾ
it	ಇಟಾಲಿಯನ್
io	ಇಡೊ
id	ಇಂಡೋನೇಶಿಯನ್
iu	ಇನುಕ್ಟಿಟುಟ್
ik	ಇನುಪಿಯಾಕ್
ee	ಈವ್
uk	ಉಕ್ರೈನಿಯನ್
uz	ಉಜ್ಬೇಕ್
nd	ಉತ್ತರ ದೆಬೆಲೆ
se	ಉತ್ತರ ಸಾಮಿ
ug	ಉಯಿಘರ್
ur	ಉರ್ದು
et	ಎಸ್ಟೊನಿಯನ್
eo	ಎಸ್ಪೆರಾಂಟೊ
ga	ಐರಿಷ್
is	ಐಸ್ಲಾಂಡಿಕ್
oj	ಒಜಿಬ್ವಾ
or	ಒರಿಯಾ
oc	ಒಸಿಟನ್
os	ಒಸ್ಸೆಟಿಕ್
om	ಓರೊಮೋ
kk	ಕಝಕ್
kr	ಕನುರಿ
kn	ಕನ್ನಡ
ch	ಕಮೊರೊ
kl	ಕಲಾಲ್ಲಿಸುಟ್
ks	ಕಾಶ್ಮೀರಿ
ki	ಕಿಕುಯು
ky	ಕಿರ್ಗಿಜ್
rw	ಕೀನ್ಯಾರುವಾಂಡಾ
ku	ಕುರ್ದಿಷ್
ca	ಕೆಟಲಾನ್
kg	ಕೊಂಗೊ
ko	ಕೊರಿಯನ್
kv	ಕೋಮಿ
kw	ಕೋರ್ನಿಷ್
co	ಕೋರ್ಸಿಕನ್
cr	ಕ್ರೀ
hr	ಕ್ರೊಯೇಶಿಯನ್
kj	ಕ್ವಾನ್‌ಯಾಮಾ
qu	ಕ್ವೆಚುವಾ
xh	ಕ್ಸೋಸ
km	ಖಮೇರ್
lg	ಗಾಂಡಾ
gu	ಗುಜರಾತಿ
gn	ಗೌರಾನಿ
gl	ಗ್ಯಾಲಿಶಿಯನ್
el	ಗ್ರೀಕ್
cu	ಚರ್ಚ್ ಸ್ಲಾವಿಕ್
cv	ಚುವಾಶ್
ce	ಚೆಚನ್
zh	ಚೈನೀಸ್
de	ಜರ್ಮನ್
ja	ಜಾಪನೀಸ್
ka	ಜಾರ್ಜಿಯನ್
jv	ಜಾವಾನೀಸ್
zu	ಜುಲು
cs	ಜೆಕ್
dz	ಜೋಂಗ್‌ಖಾ
za	ಝೂವಾಂಗ್
tr	ಟರ್ಕಿಶ್
tk	ಟರ್ಕ್‌ಮೆನ್
tt	ಟಾಟರ್
ti	ಟಿಗ್ರಿನ್ಯಾ
bo	ಟಿಬೇಟಿಯನ್
to	ಟೋಂಗನ್
tl	ಟ್ಯಾಗಲೋಗ್
tw	ಟ್ವಿ
nl	ಡಚ್
ng	ಡೋಂಗಾ
da	ಡ್ಯಾನಿಶ್
ta	ತಮಿಳು
ty	ತಹಿತಿಯನ್
tg	ತಾಜಿಕ್
te	ತೆಲುಗು
th	ಥಾಯ್
nr	ದಕ್ಷಿಣ ದೆಬೆಲೆ
st	ದಕ್ಷಿಣ ಸೋಥೋ
dv	ದಿವೆಹಿ
nv	ನವಾಜೊ
nn	ನಾರ್ವೆಜಿಯನ್ ನೈನೊಸ್ಕ್
nb	ನಾರ್ವೆಜಿಯನ್ ಬೊಕ್ಮಲ್
no	ನಾರ್ವೇಜಿಯನ್
ne	ನೇಪಾಳಿ
na	ನೌರು
ny	ನ್ಯಾಂಜಾ
pa	ಪಂಜಾಬಿ
fa	ಪರ್ಶಿಯನ್
fy	ಪಶ್ಚಿಮ ಫ್ರಿಸಿಯನ್
pi	ಪಾಲಿ
ps	ಪಾಷ್ಟೋ
pt	ಪೋರ್ಚುಗೀಸ್
pl	ಪೋಲಿಶ್
fo	ಫರೋಸಿ
fj	ಫಿಜಿಯನ್
fi	ಫಿನ್ನಿಶ್
ff	ಫುಲಾಹ್
fr	ಫ್ರೆಂಚ್
bm	ಬಂಬಾರಾ
my	ಬರ್ಮೀಸ್
bg	ಬಲ್ಗೇರಿಯನ್
ba	ಬಶ್ಕಿರ್
eu	ಬಾಸ್ಕ್
bi	ಬಿಸ್ಲಾಮಾ
bn	ಬೆಂಗಾಲಿ
be	ಬೆಲರೂಸಿಯನ್
bs	ಬೋಸ್ನಿಯನ್
br	ಬ್ರೆಟನ್
mn	ಮಂಗೋಲಿಯನ್
mr	ಮರಾಠಿ
mg	ಮಲಗಾಸಿ
ml	ಮಲಯಾಳಂ
ms	ಮಲಯ್
mh	ಮಾರ್ಶಲ್ಲೀಸ್
mt	ಮಾಲ್ಟೀಸ್
mi	ಮಾವೋರಿ
mk	ಮೆಸಿಡೋನಿಯನ್
gv	ಮ್ಯಾಂಕ್ಸ್
yi	ಯಡ್ಡಿಶ್
en-US	ಯು.ಎಸ್. ಇಂಗ್ಲಿಷ್
en-GB	ಯು.ಕೆ. ಇಂಗ್ಲಿಷ್
yo	ಯೊರುಬಾ
ru	ರಷ್ಯನ್
rn	ರುಂಡಿ
rm	ರೊಮಾನ್ಷ್
ro	ರೊಮೇನಿಯನ್
lb	ಲಕ್ಸಂಬರ್ಗ್
lv	ಲಟ್ವಿಯನ್
lo	ಲಾವೋ
ln	ಲಿಂಗಾಲ
lt	ಲಿಥುವೇನಿಯನ್
li	ಲಿಂಬರ್ಗಿಶ್
lu	ಲೂಬಾ-ಕಟಾಂಗಾ
la	ಲ್ಯಾಟಿನ್
wa	ವಾಲೂನ್
vi	ವಿಯೇಟ್ನಾಮೀಸ್
ve	ವೆಂಡಾ
cy	ವೆಲ್ಶ್
vo	ವೋಲಾಪುಕ್
wo	ವೋಲೋಫ್
sn	ಶೋನಾ
sm	ಸಮೋವನ್
sc	ಸರ್ಡೀನಿಯನ್
sr	ಸರ್ಬಿಯನ್
sh	ಸರ್ಬೋ-ಕ್ರೊಯೇಶಿಯನ್
sa	ಸಂಸ್ಕೃತ
sg	ಸಾಂಗೋ
ii	ಸಿಚುಅನ್ ಯಿ
sd	ಸಿಂಧಿ
si	ಸಿಂಹಳ
su	ಸುಂಡಾನೀಸ್
so	ಸೊಮಾಲಿ
ts	ಸೋಂಗಾ
gd	ಸ್ಕಾಟಿಶ್ ಗ್ಯಾಲಿಕ್
es	ಸ್ಪ್ಯಾನಿಷ್
sk	ಸ್ಲೋವಾಕ್
sl	ಸ್ಲೋವೇನಿಯನ್
sw	ಸ್ವಹಿಲಿ
ss	ಸ್ವಾತಿ
tn	ಸ್ವಾನಾ
sv	ಸ್ವೀಡಿಷ್
hu	ಹಂಗೇರಿಯನ್
hi	ಹಿಂದಿ
ho	ಹಿರಿ ಮೊಟು
he	ಹೀಬ್ರ್ಯೂ
hz	ಹೆರೆರೊ
ht	ಹೈತಿಯನ್
ha	ಹೌಸಾ
