lg	간다어
gl	갈리시아어
gn	과라니어
cu	교회 슬라브어
gu	구자라트어
el	그리스어
kl	그린란드어
nv	나바호어
na	나우루어
nr	남부 은데벨레어
nl	네덜란드어
ne	네팔어
no	노르웨이어
nn	노르웨이어(니노르스크)
nb	노르웨이어(보크말)
ng	느동가어
ny	니안자어; 치츄어; 츄어
da	덴마크어
de	독일어
dv	디베히어
lo	라오어
lv	라트비아어
la	라틴어
ru	러시아어
rm	로만시어
ro	루마니아어
lu	루바-카탄가어
lb	룩셈부르크어
rn	룬디어
rw	르완다어
lt	리투아니아어
li	림버거어
ln	링갈라어
mr	마라티어
mh	마셜제도어
mi	마오리어
mk	마케도니아어
mg	말라가시어
ml	말라얄람어
ms	말레이어
gv	맹크스어
mt	몰타어
mn	몽고어
ba	바슈키르어
eu	바스크어
bm	밤바라어
my	버마어
vi	베트남어
ve	벤다어
be	벨라루스어
bn	벵골어
bs	보스니아어
vo	볼라퓌크어
se	북부 사미어
nd	북부 은데벨레어
bg	불가리아어
br	브르타뉴어
bi	비슬라마어
sc	사르디니아어
sm	사모아어
sg	산고어
sa	산스크리트어
fy	서프리지아어
sh	세르비아-크로아티아어
sr	세르비아어
tn	세츠와나어
so	소말리아어
st	소토어 (남부)
sn	쇼나어
su	순다어
si	스리랑카어
sw	스와힐리어
sv	스웨덴어
gd	스코틀랜드 게일어
es	스페인어
sk	슬로바키아어
sl	슬로베니아어
ss	시스와티어
sd	신디어
ii	쓰촨 이어
an	아라곤어
ar	아랍어
hy	아르메니아어
av	아바릭어
ae	아베스타어
as	아삼어
ay	아이마라어
is	아이슬란드어
ht	아이티어
ga	아일랜드어
az	아제리어
ak	아칸어
aa	아파르어
af	아프리칸스어
sq	알바니아어
am	암하라어
ab	압카즈어
et	에스토니아어
eo	에스페란토어
ee	에웨어
en	영어
en-US	영어(미국)
en-GB	영어(영국)
om	오로모어
or	오리야어
os	오세트어
oj	오지브웨이어
oc	오크어
wa	왈론어
yo	요루바어
ur	우르두어
uz	우즈베크어
uk	우크라이나어
wo	월로프어
cy	웨일스어
ug	위구르어
ig	이그보어
ik	이누피아크어
iu	이눅티투트어
io	이도어
yi	이디시어
it	이탈리아어
id	인도네시아어
ia	인테르링구아 (국제보조어협회)
ie	인테르링구에
ja	일본어
jv	자바어
ka	조지아어
dz	종카어
za	주앙어
zu	줄루어
zh	중국어
ch	차모로어
ce	체첸어
cs	체코어
ts	총가어
cv	추바시어
ks	카슈미르어
kk	카자흐어
ca	카탈로니아어
kn	칸나다어
kr	칸누리어
km	캄보디아어
qu	케추아어
co	코르시카어
kv	코미어
xh	코사어
kw	콘월어
kg	콩고어
ku	쿠르드어
kj	쿠안야마어
hr	크로아티아어
cr	크리어
ky	키르기스어
ki	키쿠유어
tl	타갈로그어
ta	타밀어
tg	타지크어
tt	타타르어
ty	타히티어
th	태국어
tr	터키어
te	텔루구어
to	통가어
tk	투르크멘어
tw	트위어
ti	티그리냐어
bo	티베트어
ps	파슈토어
pi	팔리어
pa	펀잡어
fo	페로어
fa	페르시아어
pt	포르투갈어
pl	폴란드어
ff	풀라어
fr	프랑스어
fj	피지어
fi	핀란드어
ha	하우사어
ko	한국어
hu	헝가리어
hz	헤레로어
ho	히리 모투어
he	히브리어
hi	힌디어
