ab	Abchahsesch
aa	Afahresch
af	Afrikaans
ay	Aimahresch
ak	Akahnesch
sq	Albaanesch
en-US	Amärrekaanesch Änglesch
am	Amhahresch
en	Änglesch
ar	Arahbesch
hy	Armeenesch
an	Arrajonehsesch
as	Aßamehsesch
et	Äßnesch
av	Avahresch
ae	Avästahnesch
az	az
bm	Bambara
bn	Bängjaalesch
ba	Baschkihresch
eu	Baskesch
br	Bettohnesch
bi	bi
bs	Boßnesch
en-GB	Brittesch Änglesch
bg	Bulljaaresch
my	Burmessesch
dz	Butahnesch
ce	ce
ch	ch
cr	cr
da	Dähnesch
de	Deutsch
dv	Divehjesch
eo	Esperanto
it	Etalljänesch
ee	Ewe
fo	Färröeresch
ff	ff
fj	Fidschesch
fi	Finnesch
fr	Franzüüsesch
gd	gd
gu	Gutscharatesch
gv	gv
ht	Ha’iitesch
ha	Haußa
he	Hebräjesch
hi	Hindi
ho	ho
nl	Holländesch
hz	hz
ia	ia
io	Ido
ie	ie
ga	Ieresch
ig	Igbo
ii	ii
ik	ik
id	Indoneesesch
iu	Inuktitut
xh	Isi-Khoosa
is	Ißländesch
gl	Jalliizesch
ja	Japaanesch
jv	Javahnesch
ka	Je’orjesch
yo	Joruuba
el	Jrihschesch
gn	Juwaraanesch
rn	K-Rundesch
kn	Kannada
ks	Kaschmieresch
kk	Kassakesch
ca	Kattalahnesch
qu	Kättschowa
cu	Kerscheßlahwesch
kg	kg
km	Khmer
ki	ki
rw	Kinja-Ruandesch
ky	Kirjihsesch
kj	kj
kl	kl
ko	Korrejaanesch
co	Korsesch
kr	kr
hr	Krowatesch
ku	Kurdesch
kv	kv
kw	kw
lo	Lahootesch
la	Lateijnesch
lv	Lättesch
lg	lg
li	li
ln	Lingjalla
lt	Littouesch
lu	lu
lb	Luxemborjesch
mi	Maahori
mg	Madajaßkesch
ms	Mallaijesch
ml	Mallajalam
mt	Malteesesch
mr	Marraatesch
mk	Mazedoonesch
mh	mh
mn	Mongjolesch
na	na
ne	Nepallessesch
nn	Neu-Norrweejesch
ng	ng
se	Nood-Lappländesch
nd	Nood-Ndebele
no	Norrweejesch
nb	Norrweejesch Bokmål
nr	nr
nv	nv
oc	oc
oj	oj
om	om
or	Oriija
os	Oßeetesch
pa	Panschaabesch
fa	Pärsesch
ps	Paschtuunesch
pi	pi
pt	Pochtojesesch
pl	Pollnesch
rm	Rätoromaanesch
ro	Rumänesch
ru	Rußßesch
sm	Sammohanesch
sg	Sangjo
sa	Sanskrit
sr	Särbesch
sh	Särbokowatesch
sc	sc
ny	Schi-Schewa
sn	Schi-Schona
zh	Schineesesch
es	Schpahnesch
sv	Schweedesch
tn	Se-Zwaanesch
ss	Si-Swatesch
su	Sindaneesesch
si	Singjaleesesch
sd	Sinndi
st	Söd-Sooto
so	Somaalesch
sk	ẞlovakesch
sl	ẞloveenesch
sw	Suaheelesch
zu	Suulu
tg	Tadschiikesch
tl	Tagalog
ty	Tahitesch
th	Tailändesch
ta	Tamiilesch
tt	Tattaaresch
te	Telluuju
bo	Tibehtesch
ti	Tijrenejaanesch
to	Tongjaanesch
tr	Törkesch
tk	Törkmeenesch
cs	Tschäschesch
cv	Tschowaschesch
tw	tw
ug	Uj’juuersch
uk	Ukrainesch
hu	Unjarresch
ur	Urdu/Hindi
uz	Ußbeekesch
vi	Vijätnammeesesch
vo	vo
wa	wa
cy	Wallihsesch
fy	Wäßfriisesch
ve	Wenda
be	Wiißrußesch
wo	Woloff
ts	Xi-Zongjanesch
yi	yi
za	za
