aa	aa
ae	ae
an	an
av	av
ay	ay
bi	bi
ch	ch
cr	cr
cu	cu
dv	dv
ff	ff
gd	gd
ho	ho
hz	hz
ia	ia
ie	ie
ik	ik
io	io
kg	kg
kj	kj
kr	kr
kv	kv
li	li
mh	mh
na	na
ng	ng
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
os	os
pi	pi
sc	sc
sm	sm
ss	ss
tl	tl
tn	tn
ts	ts
ty	ty
ve	ve
vo	vo
wa	wa
za	za
ab	абхазча
az	азер
ak	аканча
sq	албанча
am	амхарча
en	англисче
en-US	англисче (АКШ)
en-GB	англисче (УБ)
ar	арабча
hy	армянча
as	ассамча
af	африкаанча
bm	бамбарада
bn	бангладешче
eu	баскча
fy	батыш фризче
ba	башкырча
be	беларусча
bg	болгарча
bs	боснийче
br	бретончо
my	бурмача
vi	вьетнамча
ht	гаитиче
gl	галисияча
lg	гандача
nl	голландча
el	грекче
ka	грузинче
gn	гуараш
gu	гужаратча
da	датча
jv	жаванизче
dz	жонгуча
zu	зулуча
he	ивритте
ig	игбочо
yi	идишче
id	индонезче
iu	инуктитутта
ga	ирландча
is	исландча
es	испанча
it	италиянча
yo	йорубача
kk	казакча
kl	калаалисутча
kn	каннадача
ca	каталанча
ks	кашмирче
qu	кечуача
ki	кикуйиче
km	кмерче
ko	корейче
kw	корнишче
co	корсиканча
xh	косача
ku	курдча
ky	кыргызча
zh	кытайча
lo	лаочо
la	латынча
lv	латышча
ln	лингалача
lt	литовчо
lu	луба-катангача
lb	люксембургча
hu	мажарча
mk	македончо
mg	малагасча
ml	малайаламча
ms	малайча
mt	малтизче
gv	манксыча
mi	маориче
mr	маратиче
mn	моңголчо
de	немисче
ne	непалча
no	норвежче
nb	норвежче (Букмал)
nn	норвежче (Нинорск)
ii	носуча
or	орияча
om	оромочо
ru	орусча
uz	өзбекче
ps	пашточо
pl	полякча
pt	португалча
pa	пунжабиче
rm	романшча
rw	руандача
ro	румынча
rn	рундиче
sg	сангочо
sa	санскритче
sh	серб-хорват
sr	сербче
st	сесото
si	сингалача
sd	синдхиче
sk	словакча
sl	словенче
so	сомаличе
sw	суахиличе
su	сунданча
tg	тажикче
th	тайча
ta	тамилче
tt	татарча
tw	тви
te	телугуча
bo	тибетче
ti	тигриниача
to	тонгача
nd	түндүк ндыбелче
se	түндүк самиче
tk	түркмөнчө
tr	түркчө
cy	уелшче
ug	уйгурча
uk	украинче
wo	уолофчо
ur	урдуча
fo	фароэче
fa	фарсча
fj	фижиче
fi	финче
fr	французча
ha	хаусача
hi	хиндиче
hr	хорватча
cs	чехче
ce	чеченче
cv	чувашча
sv	шведче
sn	шонача
ee	эбече
eo	эсперанто
et	эстончо
ja	япончо
