aa	aa
ab	ab
ae	ae
af	af
an	an
as	as
av	av
ay	ay
az	az
ba	ba
bi	bi
bm	bm
bo	bo
br	br
bs	bs
ca	ca
ce	ce
ch	ch
co	co
cr	cr
cu	cu
cv	cv
cy	cy
da	da
dv	dv
dz	dz
ee	ee
eo	eo
et	et
eu	eu
ff	ff
fi	fi
fj	fj
fo	fo
fy	fy
ga	ga
gd	gd
gl	gl
gn	gn
gu	gu
gv	gv
he	he
ho	ho
hr	hr
ht	ht
hy	hy
hz	hz
ia	ia
ie	ie
ii	ii
ik	ik
io	io
is	is
iu	iu
ka	ka
kg	kg
ki	ki
ig	Kiígibo
fa	Kɨajéemi
ak	Kɨakáani
ar	Kɨaráabu
my	Kɨbáama
bn	Kɨbangála
be	Kɨberalúusi
bg	Kɨbulugária
cs	Kɨchéeki
zh	Kɨchíina
fr	Kɨfaráansa
el	Kɨgiríki
ha	Kɨhaúusa
hi	Kɨhíindi
es	Kɨhispánia
nl	Kɨholáanzi
hu	Kɨhungári
id	Kɨɨndonésia
en	Kɨɨngeréesa
en-GB	Kɨɨngeréesa (GB)
en-US	Kɨɨngeréesa (US)
jv	Kɨjáava
ja	Kɨjapáani
de	Kɨjerʉmáani
km	Kɨkambódia
ko	Kɨkoréa
ms	Kɨmelésia
am	Kɨmʉháari
ne	Kɨnepáali
rw	Kɨnyarwáanda
pl	Kɨpólandi
pa	Kɨpúnjabi
pt	Kɨréeno
ro	Kɨromanía
ru	Kɨrúusi
so	Kɨsómáali
sv	Kɨswíidi
th	Kɨtáilandi
it	Kɨtaliáano
ta	Kɨtamíili
tr	Kɨturúuki
uk	Kɨukɨranía
ur	Kɨúrdu
vi	Kɨvietináamu
yo	Kɨyorúuba
zu	Kɨzúulu
kj	kj
kk	kk
kl	kl
kn	kn
kr	kr
ks	ks
ku	ku
kv	kv
kw	kw
ky	ky
la	la
lb	lb
lg	lg
li	li
ln	ln
lo	lo
lt	lt
lu	lu
lv	lv
mg	mg
mh	mh
mi	mi
mk	mk
ml	ml
mn	mn
mr	mr
mt	mt
na	na
nb	nb
nd	nd
ng	ng
nn	nn
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
om	om
or	or
os	os
pi	pi
ps	ps
qu	qu
rm	rm
rn	rn
sa	sa
sc	sc
sd	sd
se	se
sg	sg
sh	sh
si	si
sk	sk
sl	sl
sm	sm
sn	sn
sq	sq
sr	sr
ss	ss
st	st
su	su
sw	sw
te	te
tg	tg
ti	ti
tk	tk
tl	tl
tn	tn
to	to
ts	ts
tt	tt
tw	tw
ty	ty
ug	ug
uz	uz
ve	ve
vo	vo
wa	wa
wo	wo
xh	xh
yi	yi
za	za
