aa	aa
ab	Abkhaz Iyápi
af	Afrikaans Iyápi
ak	ak
sq	Albanian Iyápi
am	Amharic Iyápi
an	an
ar	Arab Iyápi
hy	Armenia Iyápi
as	Assamese Iyápi
av	Avaric Iyápi
ae	Avestan Iyápi
ay	ay
az	az
ba	Bashkir Iyápi
eu	Basque Iyápi
be	Belarus Iyápi
bn	Bengali Iyápi
bi	bi
bm	bm
bs	Bosnia Iyápi
br	br
bg	Bulgar Iyápi
my	Burmese Iyápi
ca	Catalan Iyápi
ch	ch
ce	Chechen Iyápi
cv	Chuvash Iyápi
co	co
hr	Croatian Iyápi
cu	cu
cs	Czech Iyápi
da	Dane Iyápi
nl	Dutch Iyápi
dv	dv
dz	dz
ee	ee
eo	Esperanto Iyápi
et	Estonia Iyápi
fo	Faroese Iyápi
ff	ff
fj	Fiji Iyápi
fi	Finnish Iyápi
fy	fy
gl	Galician Iyápi
gd	gd
ka	Georia Iyápi
el	Greece Iyápi
gn	Guarani Iyápi
gu	Gujarati Iyápi
gv	gv
oj	Ȟaȟátȟuŋwaŋ Iyápi
ht	Haiti Iyápi
ha	Hausa Iyápi
he	Hebrew Iyápi
hi	Hindi Iyápi
ho	ho
hu	Hungary Iyápi
hz	hz
ia	ia
is	Iceland Iyápi
ie	ie
ig	Igbo Iyápi
ii	ii
ik	ik
id	Indonesia Iyápi
io	io
ga	Irish Iyápi
it	Italia Iyápi
iu	iu
de	Iyášiča Iyápi
jv	Java Iyápi
kn	Kannada Iyápi
ks	Kashmir Iyápi
kk	Kazakh Iyápi
kg	kg
km	Khmer Iyápi
ki	ki
ky	Kirghiz Iyápi
ja	Kisúŋla Iyápi
kj	kj
kl	kl
ko	Korea Iyápi
kr	kr
ku	Kurd Iyápi
kv	kv
kw	kw
lo	Lao Iyápi
la	Latin Iyápi
lv	Latvia Iyápi
lg	lg
li	li
lt	Lithuania Iyápilt
ln	ln
lu	lu
lb	Luxembourg Iyápi
mk	Macedonia Iyápi
mg	Malagasy Iyápi
ms	Malay Iyápi
ml	Malayalam Iyápi
mt	Maltese Iyápi
mi	Maori Iyápi
mr	Marathi Iyápi
cr	Maštíŋča Oyáte Iyápi
mh	mh
mn	mn
na	na
nb	nb
nd	nd
ne	Nepal Iyápi
ng	ng
nn	nn
no	no
nr	nr
ny	ny
oc	oc
om	om
or	Oriya Iyápi
os	os
ps	Pashto Iyápi
fa	Persian Iyápi
zh	Pȟečhókaŋ Háŋska Iyápi
pi	pi
pl	Polish Iyápi
pt	Portuguese Iyápi
pa	Punjabi Iyápi
qu	Quechua Iyápi
rn	rn
ro	Romanian Iyápi
rm	Romansh Iyápi
ru	Russia Iyápi
rw	rw
sa	Sanskrit Iyápi
sc	sc
se	se
sr	Serbia Iyápi
sg	sg
sh	sh
nv	Šináglegleǧa Iyápi
sd	Sindhi Iyápi
si	Sinhala Iyápi
sk	Slovak Iyápi
sl	Slovenian Iyápi
sm	sm
sn	sn
so	Somali Iyápi
es	Spayóla Iyápi
ss	ss
st	st
su	Sundanese Iyápi
sw	Swahili Iyápi
sv	Swedish Iyápi
tg	Tajik Iyápi
ta	Tamil Iyápi
tt	Tatar Iyápi
te	Telugu Iyápi
th	Thai Iyápi
bo	Tibetan Iyápi
ti	Tigrinya Iyápi
tl	tl
tn	tn
to	Tongan Iyápi
ts	ts
tr	Turkish Iyápi
tk	Turkmen Iyápi
tw	tw
ty	ty
uk	Ukrain Iyápi
ur	Urdu Iyápi
ug	Uyghur Iyápi
uz	Uzbek Iyápi
ve	ve
vi	Vietnamese Iyápi
vo	vo
wa	wa
cy	Wales Iyápi
fr	Wašíču Ikčéka Iyápi
en	Wašíčuiyapi
en-GB	Wašíčuiyapi (GB)
en-US	Wašíčuiyapi (US)
wo	Wolof Iyápi
xh	Xhosa Iyápi
yi	yi
yo	Yoruba Iyápi
za	za
zu	Zulu Iyápi
