el	ກຣີກ
kl	ກຣີນແລນລິດ
kj	ກວນຍາມາ
gl	ກາລິຊຽນ
gu	ກູຈາຣາຕິ
gn	ກົວຣານີ
ky	ເກຍກີສ
ko	ເກົາຫລີ
lg	ແກນດາ
km	ຂະເໝນ
co	ຄໍຊິກາ
kw	ຄໍນິຊ
kg	ຄອງໂກ
kn	ຄັນນາດາ
ks	ຄາສເມຍຣິ
kk	ຄາຊັກ
ca	ຄາຕາລານ
kr	ຄານຸລິ
ki	ຄິຄູຢຸ
rw	ຄິນຢາວານດາ
cr	ຄີ
qu	ຄີຊົວ
ku	ເຄີດິສ
kv	ໂຄມິ
hr	ໂຄຣເອທຽນ
ka	ຈໍຈຽນ
jv	ຈາແວນີສ
zh	ຈີນ
gd	ສະກັອດເກລິກ
es	ສະແປນນິຊ
sl	ສະໂລເວນຽນ
sk	ສະໂລແວັກ
sv	ສະວີດິຊ
sa	ສັນສະກຣິດ
sc	ສາດີນຽນ
sd	ສິນທິ
si	ສິນຫາລາ
ss	ຊຣາຕິ
za	ຊວາງ
sw	ຊວາຮີລິ
ch	ຊາມໍໂຣ
se	ຊາມິເໜືອ
sm	ຊາມົວ
ce	ຊີເຄນ
su	ຊຸນແດນນີສ
zu	ຊູລູ
cv	ຊູວາຊ
cs	ເຊກ
ii	ເຊສວຍຢີ
sr	ເຊີບຽນ
sh	ເຊີໂບ-ໂກເຊຍ
sg	ແຊງໂກ
st	ໂຊໂທໃຕ້
sn	ໂຊນາ
so	ໂຊມາລີ
ja	ຍີ່ປຸ່ນ
nl	ດັຊ
dz	ດີຊອງຄາ
dv	ດີວີຮີ
da	ແດນິຊ
tl	ຕາກາລອກ
ty	ຕາຮີຕຽນ
ti	ຕິກຣິນຢາ
tn	ເຕສະວານາ
ts	ເຕຊອງກາ
te	ເຕລູກູ
tw	ທວີ
to	ທອງການ
tg	ທາຈິກ
tt	ທາທາ
ta	ທາມິລ
bo	ທິເບທັນ
tk	ເທີກເມັນ
tr	ເທີຄິຊ
th	ໄທ
nn	ນໍເວຈຽນ ນີນອກ
nb	ນໍເວຈຽນ ບັອກມອລ
no	ນໍເວຍ
ny	ນານຈາ
na	ນາຢູລູ
nv	ນາວາໂຈ
nr	ນີບີລີໃຕ້
ne	ເນປາລີ
bs	ບອສນຽນ
bg	ບັງກາຣຽນ
eu	ບັສກີ
bm	ບາມບາຣາ
ba	ບາຣກີ
bi	ບິສລະມາ
br	ເບຣຕັນ
be	ເບລາຣັສຊຽນ
bn	ເບັງກາລີ
cu	ໂບດສລາວິກ
pt	ປອກຕຸຍກິສ
pa	ປັນຈາບີ
ps	ປາສໂຕ
pi	ປາລີ
fa	ເປີຊຽນ
pl	ໂປລິຊ
fr	ຝຣັ່ງ
fy	ຟຣິຊຽນ ຕາເວັນຕົກ
fo	ຟາໂຣສ
fj	ຟິຈຽນ
fi	ຟິນນິຊ
ff	ຟູລາ
mn	ມອງໂກເລຍ
mt	ມອລທີສ
mh	ມາຊານເລັດ
mr	ມາຣາທີ
mg	ມາລາກາສຊີ
ms	ມາເລ
ml	ມາເລອາລຳ
mi	ມາວຣິ
my	ມຽນມາ
gv	ແມງຊ໌
mk	ແມັກເຊໂດນຽນ
yi	ຢິວ
uk	ຢູເຄຣນຽນ
de	ເຢຍລະມັນ
yo	ໂຢຣູບາ
rn	ຣຸນດິ
rm	ໂຣແມນຊ໌
ro	ໂຣແມນຽນ
lb	ລັກເຊມບວກກິຊ
ru	ລັດເຊຍ
lv	ລັດວຽນ
la	ລາຕິນ
lo	ລາວ
ln	ລິງກາລາ
lt	ລິທົວນຽນ
li	ລິມເບີກີຊ
lu	ລູບາ-ຄາຕັງກາ
wo	ວໍລອບ
wa	ວໍລູມ
ve	ເວນດາ
cy	ເວວ
vo	ໂວລາພັກ
vi	ຫວຽດນາມ
os	ອອດເຊຕິກ
aa	ອະຟາ
en	ອັງກິດ
en-US	ອັງກິດ (ສະຫະລັດອາເມລິກາ)
en-GB	ອັງກິດ (ສະຫະລາດຊະອານາຈັກ)
as	ອັສຊາມີສ
oc	ອັອກຊີຕານ
ak	ອາການ
az	ອາ​ເຊີ​ຣີ
ay	ອາຍມາລາ
sq	ອານບານຽນ
af	ອາຟຣິການ
hy	ອາເມນຽນ
ar	ອາຣັບ
an	ອາຣາໂກເນັດ
av	ອາວາຣິກ
ae	ອາເວັສແຕນ
am	ອຳຮາຣິກ
ig	ອິກໂບ
it	ອິຕາລຽນ
id	ອິນໂດເນຊຽນ
ie	ອິນເຕີລິງກຣີ
ia	ອິນເຕີລິງລົວ
iu	ອິນນຸກຕິຕັດ
ik	ອິນນູປຽກ
ee	ອິວາ
io	ອີໂດ
uz	ອຸສເບກ
ug	ອຸຍເຄີ
ur	ອູຣດູ
et	ເອສໂຕນຽນ
eo	ເອສປາຍ
ng	ເອັນດອງກາ
nd	ເອັນເດເບເລເໜືອ
ab	ແອບຄາຊຽນ
oj	ໂອຈິບວາ
or	ໂອຣິຢາ
om	ໂອໂຣໂມ
is	ໄອສແລນດິກ
ga	ໄອຣິສ
hu	ຮັງກາຣຽນ
hi	ຮິນດິ
ho	ຮິຣິໂມຕູ
he	ຮີບຣິວ
hz	ເຮິຮິໂຣ
ha	ເຮົາຊາ
xh	ໂຮຊາ
ht	ໄຮຕຽນ
