aa	aa
ae	ae
an	an
av	av
ay	ay
bi	bi
ch	ch
cr	cr
cs	cs
cu	cu
dv	dv
ff	ff
gd	gd
ho	ho
hz	hz
ia	ia
ie	ie
ik	ik
io	io
kg	kg
kj	kj
kr	kr
kv	kv
li	li
mh	mh
na	na
ng	ng
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
os	os
pi	pi
sc	sc
sh	sh
sm	sm
ss	ss
st	st
tl	tl
tn	tn
ts	ts
tw	tw
ty	ty
ve	ve
vo	vo
wa	wa
yi	yi
za	za
ab	آذأربایئجانی
az	آذأری
as	آسامی
af	آفریکانس
ak	آکان
sq	آلبانی
de	آلمانی
ar	أرأڤی
hy	أرمأنی
am	أمھأری
id	أندونئزیایی
eo	ئسپئرانتو
es	ئسپانیایی
et	ئستونیایی
sl	ئسلوڤئنیایی
sk	ئسلوڤاکی
ee	ئڤئ
ur	ئوردوٙ
om	ئوروموٙ
or	ئوریا
uz	ئوزبأکی
uk	ئوکراینی
ug	ئویغوٙر
it	ئیتالیایی
ga	ئیرلأندی
is	ئیسلأندی
ig	ئیگبو
en	ئینگیلیسی
en-US	ئینگیلیسی ئمریکایی
en-GB	ئینگیلیسی بئریتانیا گأپ
iu	ئینوکتیتوٙت
bn	بأنگالی
br	بئرئتون
my	بئرمئ یی
be	بئلاروٙسی
eu	باسکی
ba	باشکیری
bm	بامبارا
bs	بوسنیایی
bg	بولغاری
ps	پأشتوٙ
pa	پأنجابی
pt	پورتئغالی
bo	تأبأتی
te	تئلئگو
tt	تاتار
tg	تاجیکی
ta	تامیل
th	تایلأندی
tk	تورکأمأنی
tr	تورکی
to	توٙنگان
ti	تیگرینیا
ja	جاپوٙنی
jv	جاڤئ یی
ce	چئچئنی
cv	چواشی
zh	چینی
km	خئمئر
xh	خوٙسا
da	دانمارکی
rn	راندی
ru	روٙسی
rm	رومانش
ro	رومانیایی
zu	زولو
dz	زوٙنگخا
sw	سأڤاحیلی
sr	سئربی
sd	سئندی
se	سامی شومالی
sa	سانسکئریت
sg	سانگو
sv	سوٙئدی
su	سوٙدانی
so	سوٙمالی
ii	سی چوان یی
si	سینھالا
sn	شونا
he	عئبری
fr	فآرانسئ ئی
fi	فأنلاندی
fy	فئریسی أفتونئشین
fa	فارسی
fo	فاروٙسی
fj	فیجی
cy	ڤئلزی
wo	ڤولوف
vi	ڤییئتنامی
kk	قأزاق
ky	قئرقیزی
ks	کأشمیری
ca	کاتالان
kl	کالالیسوٙت
kn	کاناد
qu	کوچوٙا
ko	کورئ یی
ku	کوردی کورمانجی
kw	کورنیش
hr	کوروڤاتی
co	کوریسکان
ki	کیکیوٙ
rw	کینیاروآندا
gl	گالیسی
lg	گاندا
gn	گوٙآرانی
gu	گوجأراتی
ka	گورجی
pl	لأھئستانی
lv	لاتوڤیایی
la	لاتین
lo	لاو
lu	لوٙبا کاتانگا
lb	لوٙکزامبوٙرگی
lt	لیتوڤانیایی
ln	لینگالا
hu	مأجاری
mr	مأراتی
mk	مأقدوٙنی
mi	مائوری
mg	مالاگاشی
ml	مالایام
ms	مالایی
mt	مالتی
gv	مانکس
mn	موغولی
ne	نئپالی
nd	نئدئبئلئ شومالی
nb	نورڤئجی بوٙکمال
nn	نورڤئجی نینورسک
hi	ھئنی
ha	ھائوسا
ht	ھاییتی
nl	ھولأندی
yo	یوروبا
el	یوٙنانی
