ab	abchazų
aa	afarų
af	afrikanų
ay	aimarų
ga	airių
ak	akanų
sq	albanų
am	amharų
en	anglų
en-US	anglų (JAV)
en-GB	anglų (JK)
ar	arabų
an	aragonesų
hy	armėnų
as	asamų
av	avarikų
ae	avestų
az	azeri
be	baltarusių
bm	bambarų
ba	baškirų
eu	baskų
cu	bažnytinė slavų
bn	bengalų
my	birmiečių
bi	bislama
bs	bosnių
dz	botijų
br	bretonų
bg	bulgarų
ch	čamorų
ce	čečėnų
cs	čekų
za	chuang
cv	čiuvašų
da	danų
dv	divehi
eo	esperanto
et	estų
ee	evių
fo	farerų
fj	fidžių
ff	fulahų
gl	galisų
lg	ganda
el	graikų
ka	gruzinų
gu	gudžaratų
gn	gvaranių
ht	Haičio
ha	hausų
he	hebrajų
hz	herero
hi	hindi
ho	hiri motu
io	ido
ig	igbų
id	indoneziečių
ie	interkalba
ia	interlingva
iu	inukitut
ik	inupiak
is	islandų
es	ispanų
it	italų
ja	japonų
jv	javiečių
yi	jidiš
yo	jorubų
kl	kalalisut
kn	kanadų
kr	kanuri
ks	kašmyrų
ca	katalonų
kk	kazachų
qu	kečujų
km	khmerų
ki	kikujų
rw	kinjaruandų
zh	kinų
ky	kirgizų
kv	komi
kg	Kongo
ko	korėjiečių
kw	kornų
co	korsikiečių
xh	kosų
hr	kroatų
cr	kry
kj	kuaniama
ku	kurdų
lo	laosiečių
lv	latvių
pl	lenkų
lt	lietuvių
li	limburgiš
lb	liuksemburgiečių
la	lotynų
lu	luba katanga
mk	makedonų
mg	malagasų
ml	malajalių
ms	malajiečių
mt	maltiečių
mi	maorių
mr	maratų
mh	Maršalo Salų
gv	meniečių
mn	mongolų
nn	naujoji norvegų
na	naurų
nv	navajų
ng	ndongų
ne	nepaliečių
ln	ngalų
ny	nianja
nb	Norvegijos rašytinė – būkmolų
no	norvegų
oc	očitarų
oj	ojibva
nl	olandų
or	orijų
om	oromų
os	osetinų
pi	pali
pa	pendžabų
fa	persų
nr	pietų ndebele
st	pietų sesuto
pt	portugalų
fr	prancūzų
ps	puštūnų
rm	retoromanų
ro	rumunų
rn	rundi
ru	rusų
sm	samoa
sg	sango
sa	sanskritas
sc	sardiniečių
sr	serbų
sh	serbų-kroatų
nd	šiaurės ndebelų
se	šiaurės samių
ii	sičuan ji
sd	sindų
si	sinhalų
gd	škotų (gėlų)
sk	slovakų
sl	slovėnų
so	somaliečių
sn	šonų
sw	suahilių
su	sundų
fi	suomių
ss	svati
sv	švedų
tg	tadžikų
tl	tagalogų
ty	taitiečių
th	tajų
ta	tamilų
te	telugų
bo	tibetiečių
ti	tigrajų
to	tonganų
tt	totorių
ts	tsonga
tn	tsvana
tk	turkmėnų
tr	turkų
tw	tvi
ug	uigūrų
uk	ukrainiečių
ur	urdų
uz	uzbekų
fy	vakarų fryzų
wa	valonų
cy	valų
ve	venda
hu	vengrų
vi	vietnamiečių
de	vokiečių
vo	volapiuk
wo	volofų
zu	zulų
