aa	aa
ab	ab
ae	ae
af	af
an	an
ar	Arabi
as	as
av	av
ay	ay
az	az
ba	ba
be	Belarusi
bn	Bengali
bi	bi
bm	bm
bo	bo
br	br
bs	bs
bg	Bulegari
ca	ca
ce	ce
ch	ch
co	co
cr	cr
cu	cu
cv	cv
cy	cy
da	da
dv	dv
dz	dz
ee	ee
eo	eo
et	et
eu	eu
ff	ff
fi	fi
fj	fj
fo	fo
fy	fy
ga	ga
gd	gd
el	Giliki
gl	gl
gn	gn
gu	gu
gv	gv
ha	Hausa
he	he
hi	Hindi
ho	ho
hu	Hongili
hr	hr
ht	ht
hy	hy
hz	hz
ia	ia
ie	ie
ig	Igbo
ii	ii
ik	ik
io	io
is	is
iu	iu
jv	Java
ka	ka
kg	kg
ki	ki
rw	kinyarwanda
kj	kj
kk	kk
kl	kl
km	km
kn	kn
kr	kr
ks	ks
ku	ku
kv	kv
kw	kw
ky	ky
la	la
lb	lb
lg	lg
li	li
ak	Liakan
am	Liamhariki
es	Lihispania
ko	Likoreya
ms	Limalezia
id	Lindonezia
en	Lingelesa
en-GB	Lingelesa (GB)
en-US	Lingelesa (US)
pa	Lipunjabi
ru	Lirisi
ro	Liromani
so	Lisomali
sv	Lisuwidi
it	Litali
vi	Liviyetinamu
ja	Liyapani
de	Lizelumani
ln	ln
lo	lo
lt	lt
lv	lv
fr	Mfwàlànsa
mg	mg
mh	mh
mi	mi
mk	mk
ml	ml
mn	mn
fa	Mpepajemi
pl	Mpoloni
pt	Mputulugɛsi
mr	mr
mt	mt
ta	Mtamuili
my	my
na	na
nb	nb
nd	nd
ne	nepali
ng	ng
uk	Nkrani
nn	nn
no	no
nr	nr
th	Ntailandi
tr	Ntuluki
nv	nv
ny	ny
yo	Nyoruba
zu	Nzulu
oc	oc
oj	oj
nl	olandi
om	om
or	or
os	os
pi	pi
ps	ps
qu	qu
rm	rm
rn	rn
sa	sa
sc	sc
sd	sd
se	se
sg	sg
sh	sh
zh	shinɛ
si	si
sk	sk
sl	sl
sm	sm
sn	sn
sq	sq
sr	sr
ss	ss
st	st
su	su
sw	sw
te	te
tg	tg
ti	ti
tk	tk
tl	tl
tn	tn
to	to
ts	ts
cs	Tsheki
lu	Tshiluba
tt	tt
tw	tw
ty	ty
ug	ug
ur	Urdu
uz	uz
ve	ve
vo	vo
wa	wa
wo	wo
xh	xh
yi	yi
za	za
