ab	abhāzu
aa	afāru
af	afrikandu
ay	aimaru
ak	akanu
sq	albāņu
am	amharu
en	angļu
en-US	angļu (ASV)
en-GB	angļu (Lielbritānija)
ar	arābu
an	aragoniešu
hy	armēņu
as	asamiešu
av	avāru
ae	avesta
az	azerbaidžāņu
be	baltkrievu
bm	bambaru
ba	baškīru
eu	basku
cu	baznīcslāvu
bn	bengāļu
my	birmiešu
bi	bišlamā
bs	bosniešu
br	bretoņu
bg	bulgāru
ch	čamorru
ce	čečenu
cs	čehu
ny	čičeva
ts	congu
cv	čuvašu
tn	cvanu
da	dāņu
nr	dienvidndebelu
st	dienvidsotu
dz	dzongke
za	džuanu
eo	esperanto
ee	evu
fo	fēru
fj	fidžiešu
fr	franču
ff	fulu
gl	galisiešu
lg	gandu
gd	gēlu
kl	grenlandiešu
el	grieķu
ka	gruzīnu
gu	gudžaratu
gn	gvaranu
ht	haitiešu
ha	hausu
hz	hereru
hi	hindi
ho	hirimotu
nl	holandiešu
hr	horvātu
io	ido
et	igauņu
ig	igbo
id	indonēziešu
ia	interlingva
ie	interlingve
iu	inuītu
ik	inupiaku
ga	īru
is	īslandiešu
it	itāļu
he	ivrits
ja	japāņu
nn	jaunnorvēģu
jv	javiešu
yi	jidišs
yo	jorubu
kn	kannadu
kr	kanuru
ks	kašmiriešu
ca	katalāņu
kk	kazahu
qu	kečvu
km	khmeru
xh	khosu
ki	kikuju
rw	kiņaruanda
zh	ķīniešu
ky	kirgīzu
kv	komiešu
kg	kongu
ko	korejiešu
kw	korniešu
co	korsikāņu
cr	krī
ru	krievu
ku	kurdu
kj	kvaņamu
lo	laosiešu
la	latīņu
lv	latviešu
lt	lietuviešu
li	limburgiešu
ln	lingala
lu	lubakatanga
lb	luksemburgiešu
mk	maķedoniešu
mg	malagasu
ml	malajalu
ms	malajiešu
dv	maldīviešu
mt	maltiešu
mi	maoru
mr	maratu
mh	māršaliešu
gv	meniešu
mn	mongoļu
na	nauruiešu
nv	navahu
ng	ndongu
ne	nepāliešu
no	norvēģu
nb	norvēģu bukmols
oj	odžibvu
oc	oksitāņu
or	oriju
om	oromu
os	osetīnu
pi	pāli
pa	pandžabu
fa	persiešu
pl	poļu
pt	portugāļu
ps	puštu
rm	retoromāņu
fy	rietumfrīzu
ro	rumāņu
rn	rundu
sm	samoāņu
sg	sango
sa	sanskrits
sc	sardīniešu
sr	serbu
sh	serbu-horvātu
ii	Sičuaņas ji
sd	sindhu
si	singāļu
sk	slovāku
sl	slovēņu
so	somāļu
fi	somu
sn	šonu
es	spāņu
su	sundaniešu
sw	svahili
ss	svatu
tg	tadžiku
tl	tagalu
ty	taitiešu
th	taju
ta	tamilu
tt	tatāru
te	telugu
bo	tibetiešu
ti	tigrinja
to	tongiešu
tk	turkmēņu
tr	turku
tw	tvī
ug	uiguru
uk	ukraiņu
hu	ungāru
ur	urdu
uz	uzbeku
de	vācu
wa	valoņu
cy	velsiešu
ve	vendu
vi	vjetnamiešu
vo	volapiks
wo	volofu
nd	ziemeļndebelu
se	ziemeļsāmu
zu	zulu
sv	zviedru
