aa	aa
ab	ab
ae	ae
af	af
an	an
as	as
av	av
ay	ay
az	az
ba	ba
bi	bi
bm	bm
bo	bo
br	br
bs	bs
ca	ca
ce	ce
ch	ch
co	co
cr	cr
cu	cu
cv	cv
cy	cy
da	da
dv	dv
dz	dz
ee	ee
eo	eo
et	et
eu	eu
ff	ff
fi	fi
fj	fj
fo	fo
fy	fy
ga	ga
gd	gd
gl	gl
gn	gn
gu	gu
gv	gv
he	he
ho	ho
hr	hr
ht	ht
hy	hy
hz	hz
ia	ia
ie	ie
ii	ii
ik	ik
io	io
is	is
iu	iu
ka	ka
kg	kg
ki	ki
kj	kj
kk	kk
kl	kl
kn	kn
kr	kr
ks	ks
ku	ku
kv	kv
kw	kw
ky	ky
la	la
lb	lb
lg	lg
li	li
ln	ln
bn	lnkʉtʉ́k ɔ́ɔ̄ lBengali
lo	lo
lt	lt
lu	lu
lv	lv
mg	mg
mh	mh
mi	mi
mk	mk
ml	ml
mn	mn
mr	mr
mt	mt
na	na
nb	nb
nd	nd
ng	ng
fr	nkʉtʉ́k ɔ́ɔ̄ faransa
ha	nkʉtʉ́k ɔ́ɔ̄ hausa
ig	nkʉtʉ́k ɔ́ɔ̄ Igbo
id	nkʉtʉ́k ɔ́ɔ̄ Indonesia
ja	nkʉtʉ́k ɔ́ɔ̄ japani
ak	nkʉtʉ́k ɔ́ɔ̄ lAkan
am	nkʉtʉ́k ɔ́ɔ̄ lAmhari
be	nkʉtʉ́k ɔ́ɔ̄ lBelarusi
bg	nkʉtʉ́k ɔ́ɔ̄ lBulgaria
my	nkʉtʉ́k ɔ́ɔ̄ lBurma
cs	nkʉtʉ́k ɔ́ɔ̄ lcheki
zh	nkʉtʉ́k ɔ́ɔ̄ lchina
so	nkʉtʉ́k ɔ́ɔ̄ lchumari
nl	nkʉtʉ́k ɔ́ɔ̄ lduchi
el	nkʉtʉ́k ɔ́ɔ̄ lgiriki
hu	nkʉtʉ́k ɔ́ɔ̄ lhungari
jv	nkʉtʉ́k ɔ́ɔ̄ ljana
de	nkʉtʉ́k ɔ́ɔ̄ ljerumani
km	nkʉtʉ́k ɔ́ɔ̄ lkambodia
ko	nkʉtʉ́k ɔ́ɔ̄ lkorea
uk	nkʉtʉ́k ɔ́ɔ̄ lkrania
ar	nkʉtʉ́k ɔ́ɔ̄ lmarabu
hi	nkʉtʉ́k ɔ́ɔ̄ lmoindi
ne	nkʉtʉ́k ɔ́ɔ̄ lnepali
fa	nkʉtʉ́k ɔ́ɔ̄ lpersia
pl	nkʉtʉ́k ɔ́ɔ̄ lpoland
pt	nkʉtʉ́k ɔ́ɔ̄ lportuguese
pa	nkʉtʉ́k ɔ́ɔ̄ lpunjabi
ro	nkʉtʉ́k ɔ́ɔ̄ lromania
ru	nkʉtʉ́k ɔ́ɔ̄ lrusi
rw	nkʉtʉ́k ɔ́ɔ̄ lruwanda
es	nkʉtʉ́k ɔ́ɔ̄ lspania
sv	nkʉtʉ́k ɔ́ɔ̄ lswidi
th	nkʉtʉ́k ɔ́ɔ̄ ltai
it	nkʉtʉ́k ɔ́ɔ̄ ltalian
ta	nkʉtʉ́k ɔ́ɔ̄ ltamil
tr	nkʉtʉ́k ɔ́ɔ̄ lturuki
ur	nkʉtʉ́k ɔ́ɔ̄ lurdu
vi	nkʉtʉ́k ɔ́ɔ̄ lvietinamu
yo	nkʉtʉ́k ɔ́ɔ̄ lyoruba
zu	nkʉtʉ́k ɔ́ɔ̄ lzulu
ms	nkʉtʉ́k ɔ́ɔ̄ malay
en	nkʉtʉ́k ɔ́ɔ̄ nkɨ́resa
en-GB	nkʉtʉ́k ɔ́ɔ̄ nkɨ́resa (GB)
en-US	nkʉtʉ́k ɔ́ɔ̄ nkɨ́resa (US)
nn	nn
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
om	om
or	or
os	os
pi	pi
ps	ps
qu	qu
rm	rm
rn	rn
sa	sa
sc	sc
sd	sd
se	se
sg	sg
sh	sh
si	si
sk	sk
sl	sl
sm	sm
sn	sn
sq	sq
sr	sr
ss	ss
st	st
su	su
sw	sw
te	te
tg	tg
ti	ti
tk	tk
tl	tl
tn	tn
to	to
ts	ts
tt	tt
tw	tw
ty	ty
ug	ug
uz	uz
ve	ve
vo	vo
wa	wa
wo	wo
xh	xh
yi	yi
za	za
