aa	aa
ab	ab
ae	ae
af	af
ak	Akan
de	Alemanina
am	Amharika
an	an
en	Anglisy
en-GB	Anglisy (GB)
en-US	Anglisy (US)
ar	Arabo
as	as
av	av
ay	ay
az	az
ba	ba
bn	Bengali
bi	bi
be	Bielorosy
bg	Biolgara
my	Birmana
bm	bm
bo	bo
br	br
bs	bs
ca	ca
ce	ce
ch	ch
co	co
cr	cr
cu	cu
cv	cv
cy	cy
da	da
dv	dv
dz	dz
ee	ee
eo	eo
es	Espaniola
et	et
eu	eu
ff	ff
fi	fi
fj	fj
fo	fo
fr	Frantsay
fy	fy
ga	ga
gd	gd
gl	gl
gn	gn
el	Grika
gu	gu
gv	gv
ha	haoussa
he	he
hi	hindi
ho	ho
nl	Holandey
hu	hongroà
hr	hr
ht	ht
hy	hy
hz	hz
ia	ia
ie	ie
ig	igbo
ii	ii
ik	ik
id	Indonezianina
io	io
is	is
it	Italianina
iu	iu
ja	Japoney
jv	Javaney
ka	ka
kg	kg
km	khmer
ki	ki
kj	kj
kk	kk
kl	kl
kn	kn
ko	Koreanina
kr	kr
ks	ks
ku	ku
kv	kv
kw	kw
ky	ky
la	la
lb	lb
lg	lg
li	li
ln	ln
lo	lo
lt	lt
lu	lu
lv	lv
mg	Malagasy
ms	Malay
mh	mh
mi	mi
mk	mk
ml	ml
mn	mn
mr	mr
mt	mt
na	na
nb	nb
nd	nd
ne	Nepale
ng	ng
nn	nn
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
uk	Okrainianina
om	om
or	or
ur	Ordò
os	os
pa	Penjabi
fa	Persa
pi	pi
pl	Poloney
pt	Portiogey
ps	ps
qu	qu
rm	rm
rn	rn
rw	Roande
ro	Romanianina
ru	Rosianina
sa	sa
sc	sc
sd	sd
se	se
sg	sg
sh	sh
si	si
zh	Sinoa, Mandarin
sk	sk
sl	sl
sm	sm
sn	sn
sv	Soisa
so	Somalianina
sq	sq
sr	sr
ss	ss
st	st
su	su
sw	sw
th	Taioaney
ta	Tamoila
te	te
tg	tg
ti	ti
tr	Tiorka
tk	tk
tl	tl
tn	tn
to	to
ts	ts
cs	Tseky
tt	tt
tw	tw
ty	ty
ug	ug
uz	uz
ve	ve
vi	Vietnamianina
vo	vo
wa	wa
wo	wo
xh	xh
yi	yi
yo	Yôrobà
za	za
zu	Zolò
