av	аварски
ae	авестански
az	азерски
ay	ајмарски
ak	акански
sq	албански
am	амхарски
en	англиски
en-GB	англиски (во ОК)
en-US	англиски (САД)
ab	апхаски
an	арагонски
ar	арапски
as	асамски
aa	афарски
af	африканс
bm	бамбара
eu	баскиски
ba	башкирски
be	белоруски
bn	бенгалски
bi	бислама
bs	босански
br	бретонски
bg	бугарски
my	бурмански
wa	валонски
cy	велшки
ve	венда
vi	виетнамски
vo	волапик
wo	волофски
gl	галициски
lg	ганда
gn	гварански
de	германски
ka	грузиски
el	грчки
gu	гуџарати
da	дански
dv	дивехи
ee	еве
hy	ерменски
eo	есперанто
et	естонски
fy	западнофризиски
zu	зулу
dz	ѕонгка
ig	игбо
io	идо
id	индонезиски
ia	интерлингва
iu	инуктитут
ik	инупијачки
ga	ирски
is	исландски
it	италијански
jv	јавански
ja	јапонски
yi	јидиш
yo	јорупски
nr	јужен ндебеле
kk	казакстански
kl	калалисут
kn	каннада
kr	канури
ca	каталонски
ks	кашмирски
kj	квањама
qu	кечуански
ki	кикују
zh	кинески
ky	киргистански
km	кмерски
kv	коми
kg	конго
ko	корејски
co	корзикански
kw	корнски
xh	коса
cr	кри
ku	курдски
lo	лаошки
lv	латвиски
la	латински
li	лимбуршки
ln	лингала
lt	литвански
lu	луба-катанга
lb	луксембуршки
mk	македонски
ml	малајалам
ms	малајски
mg	малгашки
mt	малтешки
gv	манкс
mi	маорски
mr	марати
mh	маршалски
mn	монголски
nv	навахо
na	науруански
ng	ндонга
ne	непалски
no	норвешки
nb	норвешки букмол
nn	норвешки нинорск
ny	њанџа
oc	окситански
ie	окцидентал
or	орија
om	оромо
os	осетски
oj	оџибва
pi	пали
ps	паштунски
pa	пенџапски
fa	персиски
pl	полски
pt	португалски
rm	реторомански
ro	романски
rw	руанда
rn	рунди
ru	руски
sm	самоански
sg	санго
sa	санскрит
sc	сардински
ss	свати
sw	свахили
nd	северен ндебеле
se	севернолапонски
st	сесото
sd	синди
si	синхалски
ii	сичуан ји
sk	словачки
sl	словенечки
so	сомалиски
sr	српски
sh	српскохрватски
su	сундски
tl	тагалог
th	тајландски
ta	тамилски
tt	татарски
ty	тахитски
tg	таџикистански
tw	тви
te	телугу
bo	тибетски
ti	тигриња
to	тонгански
tk	туркменски
tr	турски
uz	узбекистански
ug	ујгурски
uk	украински
hu	унгарски
ur	урду
fo	фарски
fi	фински
fj	фиџиски
fr	француски
ff	фула
ht	хаитски
ha	хауса
he	хебрејски
hz	хереро
hi	хинди
ho	хири моту
nl	холандски
hr	хрватски
tn	цвана
ts	цонга
cu	црковнословенски
ch	чаморски
ce	чеченски
cs	чешки
cv	чувашки
za	џуаншки
sv	шведски
gd	шкотски гелски
sn	шона
es	шпански
