ak	അകാൻ‌
aa	അഫാർ
ab	അബ്‌ഖാസിയൻ
ay	അയ്മാറ
an	അരഗോണീസ്
hy	അർമേനിയൻ
sq	അൽബേനിയൻ
ae	അവസ്റ്റാൻ
av	അവാരിക്
az	അസേരി
am	അംഹാരിക്
ar	അറബിക്
af	ആഫ്രിക്കാൻസ്
as	ആസ്സാമീസ്
ig	ഇഗ്ബോ
en	ഇംഗ്ലീഷ്
io	ഇഡോ
iu	ഇനുക്റ്റിറ്റട്ട്
ik	ഇനുപിയാക്
id	ഇൻഡോനേഷ്യൻ
ie	ഇന്റർലിംഗ്വ
ia	ഇന്റർലിൻ‌ഗ്വാ
ee	ഇവ്
it	ഇറ്റാലിയൻ
uk	ഉക്രേനിയൻ
ug	ഉയ്ഘുർ
uz	ഉസ്‌ബെക്ക്
ur	ഉറുദു
eo	എസ്‌പരാന്റോ
et	എസ്റ്റോണിയൻ
is	ഐസ്‌ലാൻഡിക്
ga	ഐറിഷ്
or	ഒഡിയ
os	ഒസ്സെറ്റിക്
om	ഒറോമോ
oc	ഓക്‌സിറ്റൻ
oj	ഓജിബ്വാ
kr	കനൂറി
kn	കന്നഡ
ch	കമോറോ
kl	കലാല്ലിസട്ട്
kk	കസാഖ്
ca	കറ്റാലാൻ
ks	കാശ്‌മീരി
ki	കികൂയു
rw	കിന്യാർവാണ്ട
ky	കിർഗിസ്
ku	കുർദ്ദിഷ്
ko	കൊറിയൻ
kg	കോംഗോ
kv	കോമി
kw	കോർണിഷ്
co	കോർസിക്കൻ
cr	ക്രീ
hr	ക്രൊയേഷ്യൻ
kj	ക്വാന്യമ
qu	ക്വെച്ചുവ
km	ഖമെർ
xh	ഖോസ
gl	ഗലീഷ്യൻ
lg	ഗാണ്ട
gu	ഗുജറാത്തി
el	ഗ്രീക്ക്
gn	ഗ്വരനീ
cu	ചർച്ച് സ്ലാവിക്
cv	ചുവാഷ്
cs	ചെക്ക്
ce	ചെചൻ
zh	ചൈനീസ്
de	ജർമ്മൻ
ja	ജാപ്പനീസ്
jv	ജാവാനീസ്
ka	ജോർജിയൻ
tr	ടർക്കിഷ്
tt	ടാട്ടർ
bo	ടിബറ്റൻ
ti	ടൈഗ്രിന്യ
to	ടോംഗൻ
tw	ട്വി
nl	ഡച്ച്
da	ഡാനിഷ്
ng	ഡോങ്ക
tl	തഗാലോഗ്
ta	തമിഴ്
tg	താജിക്
th	തായ്
ty	താഹിതിയൻ
tk	തുർക്‌മെൻ
st	തെക്കൻ സോതോ
te	തെലുങ്ക്
ts	ത്സോംഗ
tn	ത്സ്വാന
nr	ദക്ഷിണ നെഡിബിൾ
dv	ദിവെഹി
nv	നവാഹൊ
ne	നേപ്പാളി
nd	നോർത്ത് ഡെബിൾ
no	നോർവീജിയൻ
nn	നോർവീജിയൻ നൈനോർക്‌സ്
nb	നോർവീജിയൻ ബുക്‌മൽ
na	നൗറു
ny	ന്യൻജ
pa	പഞ്ചാബി
fy	പശ്ചിമ ഫ്രിഷിയൻ
ps	പഷ്തു
pi	പാലി
fa	പേർഷ്യൻ
pt	പോർച്ചുഗീസ്
pl	പോളിഷ്
fo	ഫാറോസ്
fj	ഫിജിയൻ
fi	ഫിന്നിഷ്
ff	ഫുല
fr	ഫ്രഞ്ച്
bn	ബംഗാളി
bm	ബംബാറ
my	ബർമീസ്
ba	ബഷ്ഖിർ
bg	ബൾഗേറിയൻ
eu	ബാസ്‌ക്
bi	ബിസ്‌ലാമ
be	ബെലാറുഷ്യൻ
bs	ബോസ്നിയൻ
br	ബ്രെട്ടൺ
mn	മംഗോളിയൻ
mg	മലഗാസി
ml	മലയാളം
ms	മലെയ്
mi	മവോറി
mr	മറാത്തി
gv	മാൻസ്
mh	മാർഷല്ലീസ്
mk	മാസിഡോണിയൻ
mt	മാൾട്ടീസ്
yi	യിദ്ദിഷ്
en-US	യു.എസ്. ഇംഗ്ലീഷ്
en-GB	യു.കെ. ഇംഗ്ലീഷ്
yo	യൊറൂബാ
lb	ലക്‌സംബർഗിഷ്
lo	ലാവോ
la	ലാറ്റിൻ
lv	ലാറ്റ്വിയൻ
ln	ലിംഗാല
lt	ലിത്വാനിയൻ
li	ലിംബർഗിഷ്
lu	ലുബ-കറ്റംഗ
se	വടക്കൻ സമി
wa	വല്ലൂൺ
vi	വിയറ്റ്നാമീസ്
ve	വെന്ദ
cy	വെൽഷ്
wo	വൊളോഫ്
vo	വോളാപുക്
ii	ഷുവാൻയി
sn	ഷോണ
sm	സമോവൻ
sc	സർഡിനിയാൻ
sa	സംസ്‌കൃതം
sg	സാംഗോ
sd	സിന്ധി
si	സിംഹള
su	സുണ്ടാനീസ്
zu	സുലു
sr	സെർബിയൻ
sh	സെർബോ-ക്രൊയേഷ്യൻ
dz	സോങ്ക
so	സോമാലി
gd	സ്കോട്ടിഷ് ഗൈലിക്
es	സ്‌പാനിഷ്
sk	സ്ലോവാക്
sl	സ്ലോവേനിയൻ
za	സ്വാംഗ്
sw	സ്വാഹിലി
ss	സ്വാറ്റി
sv	സ്വീഡിഷ്
hu	ഹംഗേറിയൻ
hi	ഹിന്ദി
ho	ഹിരി മോതു
he	ഹീബ്രു
ht	ഹെയ്‌തിയൻ
hz	ഹെരേരൊ
ha	ഹൗസ
ru	റഷ്യൻ
rn	റുണ്ടി
rm	റൊമാഞ്ച്
ro	റൊമാനിയൻ
