aa	aa
ae	ae
an	an
av	av
ay	ay
bi	bi
ce	ce
ch	ch
cr	cr
cu	cu
cv	cv
dv	dv
ff	ff
ho	ho
hz	hz
ik	ik
io	io
kg	kg
kj	kj
kr	kr
kv	kv
li	li
mh	mh
na	na
ng	ng
nr	nr
nv	nv
ny	ny
oj	oj
os	os
pi	pi
sc	sc
sh	sh
sm	sm
ss	ss
st	st
tl	tl
tn	tn
ts	ts
ty	ty
ve	ve
vo	vo
wa	wa
za	za
ab	абхаз
az	азери
ak	акан
sq	албани
en-US	америкийн нэгдсэн улсын англи
am	амхар
en	англи
ar	араб
hy	армен
as	ассам
af	африк
ne	балба
bm	бамбара
fy	баруун фризын
eu	баск
ba	башкир
be	беларусь
bn	бенгал
my	бирм
bg	болгар
bs	босни
br	бретон
wo	волоф
vi	вьетнам
ht	гаити
gl	галик
lg	ганда
de	герман
nl	голланд
el	грек
gn	гуарани
gu	гужарати
ka	гүрж
da	дани
he	еврей
yo	ёруба
dz	жонха
zu	зулу
ig	игбо
yi	иддиш
id	индонези
ia	интерлингво
iu	инуктитут
ga	ирланд
is	исланд
es	испани
it	итали
en-GB	их британийн англи
kl	калалисут
km	камбож
kn	каннада
ca	каталан
ks	кашмир
qu	кечуа
ki	кикуюү
rw	кинярванда
ky	киргиз
kw	корны
co	корсик
ku	күрд
lo	лаос
lv	латви
la	латин
ln	лингала
lt	литва
lu	луба-катанга
lb	люксембург
mk	македон
mg	малагаси
ms	малай
ml	малайлам
mt	малти
gv	манкс
mi	маори
mr	марати
mn	монгол
no	норвеги
nb	норвегийн букмол
nn	норвегийн нинорск
ie	нэгдмэл хэл
or	ория
om	оромо
ru	орос
pa	панжаб
ps	пашто
fa	перс
pl	польш
pt	португал
rm	романш
ro	румын
rn	рунди
sg	санго
sa	санскрит
sw	свахили
sr	серб
sd	синдхи
si	синхала
sk	словак
sl	словен
ko	солонгос
so	сомали
su	сундан
tg	тажик
th	тай
ta	тамил
tt	татар
tw	тви
ti	тигрина
to	тонга
bo	төвд
tr	турк
tk	туркмен
te	тэлүгү
uz	узбек
ug	уйгар
uk	украйн
hu	унгар
ur	урду
cy	уэлс
fo	фарер
fj	фижи
fi	финлянд
fr	франц
oc	францын окситан
kk	хасаг
ha	хауса
hi	хинди
nd	хойд ндебеле
se	хойд сами
hr	хорват
xh	хоса
zh	хятад
cs	чех
sv	швед
ii	шичуан еи
sn	шона
gd	шотланд келт
ee	эвэ
eo	эсперанто
et	эстони
jv	ява
ja	япон
