aa	aa
ab	ab
ae	ae
af	af
ak	akaŋ
am	amharik
an	an
ar	arabiya
as	as
av	av
ay	ay
az	az
ba	ba
be	belarussiya
bn	bengalia
bi	bi
my	birmania
bm	bm
bo	bo
br	br
bs	bs
bg	bulgaria
ca	ca
ce	ce
ch	ch
co	co
cr	cr
cu	cu
cv	cv
cy	cy
da	da
dv	dv
dz	dz
ee	ee
eo	eo
es	Espaniya
et	et
eu	eu
ff	ff
fi	fi
fj	fj
fo	fo
fy	fy
ga	ga
gd	gd
de	germaŋ
gl	gl
gn	gn
el	grek
gu	gu
gv	gv
ha	haussa
he	he
hi	hindi
ho	ho
hr	hr
ht	ht
hu	hungariya
hy	hy
hz	hz
ia	ia
ie	ie
ig	igbo
ii	ii
ik	ik
id	indonesiya
io	io
is	is
it	italiya
iu	iu
jv	javaniya
ka	ka
kg	kg
ki	ki
kj	kj
kk	kk
kl	kl
km	kmer
kn	kn
ko	korea
kr	kr
ks	ks
ku	ku
kv	kv
kw	kw
ky	ky
la	la
lb	lb
lg	lg
li	li
ln	ln
lo	lo
lt	lt
lu	lu
lv	lv
ms	malasiya
mg	mg
mh	mh
mi	mi
mk	mk
ml	ml
mn	mn
mr	mr
mt	mt
na	na
nb	nb
nd	nd
ne	Nepaliya
ng	ng
nn	nn
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
om	om
or	or
os	os
fa	Persia
pa	Pǝnjabi
pi	pi
pl	Poloniya
ps	ps
qu	qu
rm	rm
rn	rn
ro	Romaniya
ru	Russiya
sa	sa
sc	sc
sd	sd
se	se
sg	sg
sh	sh
si	si
sk	sk
sl	sl
sm	sm
sn	sn
so	Somaliya
sq	sq
sr	sr
ss	ss
st	st
su	su
sw	sw
sv	Swedia
cs	syekya
ta	Tamul
te	te
tg	tg
th	th
ti	ti
tk	tk
tl	tl
tn	tn
to	to
ts	ts
tt	tt
tr	Turk
tw	tw
ty	ty
ug	ug
uk	Ukrainia
ur	Urdu
uz	uz
ve	ve
vi	Vietnamiya
vo	vo
wa	wa
wo	wo
xh	xh
yi	yi
yo	Yoruba
za	za
en	zah Anglofoŋ
en-GB	zah Anglofoŋ (GB)
en-US	zah Anglofoŋ (US)
fr	zah sǝr Franssǝ
ja	zah sǝr Japoŋ
nl	zah sǝr ma kasǝŋ
pt	Zah sǝr Portugal
rw	Zah sǝr Rwanda
zh	zah Syiŋ
zu	Zulu
