aa	aa
ab	ab
ae	ae
af	af
ak	Akangowab
am	Amharicgowab
an	an
ar	Arabiǁî gowab
as	as
av	av
ay	ay
az	az
ba	ba
be	Belarusanǁî gowab
bn	Bengaliǁî gowab
bi	bi
bm	bm
bo	bo
br	br
bs	bs
bg	Bulgariaǁî gowab
my	Burmesǁî gowab
ca	ca
ce	ce
ch	ch
zh	Chineesǁî gowab, Mandarinni
co	co
cr	cr
cu	cu
cv	cv
cy	cy
cs	Czechǁî gowab
da	da
de	Duits
dv	dv
dz	dz
ee	ee
en	Engels
en-GB	Engels (GB)
en-US	Engels (US)
eo	eo
et	et
eu	eu
ff	ff
fi	fi
fj	fj
fo	fo
fr	Frans
fy	fy
ga	ga
gd	gd
gl	gl
gn	gn
gu	gu
gv	gv
ha	Hausagowab
he	he
hi	Hindigowab
ho	ho
nl	Hollands
hr	hr
ht	ht
hu	Hungariaǁî gowab
hy	hy
hz	hz
ia	ia
ie	ie
ig	Igbogowab
ii	ii
ik	ik
id	Indonesiaǁî gowab
io	io
is	is
it	Italians
iu	iu
ja	Japanees
jv	Javanese
ka	ka
kg	kg
km	Khmerǁî gowab, Central
ki	ki
kj	kj
kk	kk
kl	kl
kn	kn
ko	Koreaǁî gowab
kr	kr
ks	ks
ku	ku
kv	kv
kw	kw
ky	ky
la	la
lb	lb
lg	lg
li	li
ln	ln
lo	lo
lt	lt
lu	lu
lv	lv
ms	Malayǁî gowab
mg	mg
mh	mh
mi	mi
mk	mk
ml	ml
mn	mn
mr	mr
mt	mt
na	na
nb	nb
nd	nd
ne	Nepalǁî gowab
ng	ng
nn	nn
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
om	om
or	or
os	os
fa	Persiaǁî gowab
pi	pi
pl	Poleǁî gowab
pt	Portugees
ps	ps
pa	Punjabigowab
qu	qu
rm	rm
rn	rn
ro	Romaniaǁî gowab
ru	Russiaǁî gowab
rw	Rwandaǁî gowab
sa	sa
sc	sc
sd	sd
se	se
sg	sg
sh	sh
si	si
sk	sk
sl	sl
sm	sm
sn	sn
so	Somaliǁî gowab
es	Spaans
sq	sq
sr	sr
ss	ss
st	st
su	su
sw	sw
sv	Swedeǁî gowab
ta	Tamilǁî gowab
te	te
tg	tg
th	Thaiǁî gowab
ti	ti
tk	tk
tl	tl
tn	tn
to	to
ts	ts
tt	tt
tr	Turkeǁî gowab
tw	tw
ty	ty
ug	ug
uk	Ukrainiaǁî gowab
ur	Urduǁî gowab
uz	uz
ve	ve
vi	Vietnamǁî gowab
vo	vo
wa	wa
wo	wo
xh	xh
el	Xriks
yi	yi
yo	Yorubab
za	za
zu	Zulub
