nr	nr
sc	sc
sh	sh
sm	sm
st	st
su	su
tl	tl
tn	tn
ts	ts
tw	tw
ty	ty
ve	ve
vo	vo
wa	wa
za	za
oc	अक्सिटन
en	अङ्ग्रेजी
az	अजेरी
aa	अफार
af	अफ्रिकान्स
ab	अब्खाजियाली
am	अम्हारिक
ar	अरबी
an	अरागोनी
sq	अल्बानियाली
av	अवारिक
ae	अवेस्तान
os	अोस्सेटिक
is	आइसल्यान्डियाली
ak	आकान
ga	आयरिस
hy	आर्मेनियाली
as	आसामी
ig	इग्बो
it	इटालेली
io	इडो
iu	इनुक्टिटुट
ik	इनुपिआक्
ie	इन्टरलिङ्ग्वे
ia	इन्टर्लिङ्गुआ
id	इन्डोनेसियाली
ee	इवी
et	इस्टोनियाली
ug	उइघुर
uz	उज्बेकी
or	उडिया
nd	उत्तरी न्डेबेले
se	उत्तरी सामी
ur	उर्दु
eo	एस्पेरान्तो
ay	ऐमारा
oj	ओजिब्वा
om	ओरोमो
kn	कन्नाडा
kk	काजाख
kr	कानुरी
kl	कालालिसुट
ks	कास्मिरी
ki	किकुयु
rw	किन्यारवान्डा
ky	किर्गिज
kj	कुआन्यामा
ku	कुर्दी
kg	कोङ्गो
kv	कोमी
ko	कोरियाली
kw	कोर्निस
co	कोर्सिकन
ca	क्याटालन
cr	क्री
hr	क्रोयसियाली
qu	क्वेचुवा
km	खमेर
xh	खोसा
gl	गलिसियाली
lg	गान्डा
gu	गुजराती
gn	गुवारानी
el	ग्रीक
cu	चर्च स्लाभिक
ch	चामोर्रो
zh	चिनियाँ
cv	चुभास
cs	चेक
ce	चेचेन
ka	जर्जियाली
de	जर्मन
ja	जापानी
jv	जाभानी
zu	जुलु
dz	जोङ्खा
tk	टर्कमेन
tr	टर्किश
to	टोङ्गन
nl	डच
da	डेनिस
tg	ताजिक
tt	तातार
ta	तामिल
ti	तिग्रीन्या
bo	तिब्बती
te	तेलुगु
th	थाई
dv	दिबेही
no	नर्वेली
nn	नर्वेली नाइनोर्स्क
nb	नर्वेली बोकमाल
na	नाउरू
nv	नाभाजो
ne	नेपाली
ng	न्दोन्गा
ny	न्यान्जा
pa	पंजाबी
pi	पाली
ps	पास्तो
pt	पोर्तुगी
pl	पोलिस
fa	फारसी
fo	फारोज
fj	फिजियाली
fi	फिनिस
ff	फुलाह
fr	फ्रान्सेली
fy	फ्रिजीयन
bn	बंगाली
my	बर्मेली
bm	बाम्बारा
eu	बास्क
ba	बास्किर
bi	बिस्लाम
bg	बुल्गेरियाली
be	बेलारुसी
bs	बोस्नियाली
br	ब्रेटन
vi	भियतनामी
mn	मङ्गोलियाली
mr	मराठी
ml	मलयालम
mg	मलागासी
ms	मलाय
mi	माओरी
gv	मान्क्स
mh	मार्साली
mt	माल्टिज
mk	म्यासेडोनियाली
yi	यिद्दिस
en-US	युएस अङ्ग्रेजी
uk	युक्रेनी
yo	योरूवा
rn	रुन्डी
ru	रूसी
ro	रोमानियाली
rm	रोमानिस
lb	लक्जेम्बर्गी
lo	लाओ
lv	लात्भियाली
ln	लिङ्गाला
lt	लिथुआनियाली
li	लिम्बुर्गी
lu	लुबा-काताङ्गा
la	ल्याटिन
wo	वुलुफ
cy	वेल्श
sn	शोना
en-GB	संयुक्त अधिराज्य अङ्ग्रेजी
sr	सर्बियाली
sa	संस्कृत
sg	साङ्गो
ii	सिचुआन यि
sd	सिन्धी
si	सिन्हाली
so	सोमाली
gd	स्कटिस गाएलिक
es	स्पेनी
sk	स्लोभाकियाली
sl	स्लोभेनियाली
ss	स्वाती
sw	स्वाहिली
sv	स्विडिस
hu	हङ्गेरियाली
ha	हाउसा
hi	हिन्दी
he	हिब्रु
ho	हिरी मोटु
hz	हेरेरो
ht	हैटियाली
