ab	abkhasisk
aa	afar
af	afrikaans
ak	akan
sq	albansk
am	amharisk
ar	arabisk
an	aragonsk
hy	armensk
as	assamisk
av	avarisk
ae	avestisk
ay	aymara
az	az
bm	bambara
ba	basjkirsk
eu	baskisk
bn	bengali
bi	bislama
nb	bokmål
bs	bosnisk
br	bretonsk
bg	bulgarsk
my	burmesisk
ch	chamorro
cr	cree
da	dansk
dv	divehi
dz	dzongkha
en	engelsk
en-GB	engelsk (GB)
en-US	engelsk (US)
eo	esperanto
et	estisk
ee	ewe
fo	færøysk
fj	fijiansk
fi	finsk
fr	fransk
ff	fulani
gl	galicisk
lg	ganda
ka	georgisk
el	gresk
gn	guarani
gu	gujarati
ht	haitisk
ha	hausa
he	hebraisk
hz	herero
hi	hindi
ho	hiri motu
ig	ibo
io	ido
id	indonesisk
ia	interlingua
ie	interlingue
iu	inuktitut
ik	inupiak
ga	irsk
is	islandsk
it	italiensk
ja	japansk
jv	javanesisk
yi	jiddisk
yo	joruba
kl	kalaallisut; grønlandsk
kn	kannada
kr	kanuri
kk	kasakhisk
ks	kasjmiri
ca	katalansk
km	khmer
kg	kikongo
ki	kikuyu
zh	kinesisk
rw	kinjarwanda
ky	kirgisisk
kv	komi
ko	koreansk
kw	kornisk
co	korsikansk
hr	kroatisk
kj	kuanyama
ku	kurdisk
be	kviterussisk
cu	kyrkjeslavisk
lo	laotisk
la	latin
lv	latvisk
li	limburgisk
ln	lingala
lt	litauisk
lu	luba-katanga
lb	luxemburgsk
mg	madagassisk
mk	makedonsk
ml	malayalam
ms	malayisk
mt	maltesisk
gv	manx
mi	maori
mr	marathi
mh	marshallesisk
mn	mongolsk
na	nauru
nv	navajo
ng	ndonga
nl	nederlandsk
ne	nepalsk
nd	nord-ndebele
se	nordsamisk
no	norsk
ny	nyanja
nn	nynorsk
oj	ojibwa
oc	oksitansk
or	oriya
om	oromo
os	ossetisk
pi	pali
pa	panjabi
ps	pashto
fa	persisk
pl	polsk
pt	portugisisk
qu	quechua
rm	retoromansk
ro	rumensk
rn	rundi
ru	russisk
sm	samoansk
sg	sango
sa	sanskrit
sc	sardinsk
sr	serbisk
sh	serbokroatisk
sn	shona
ii	sichuan-yi
sd	sindhi
si	singalesisk
gd	skotsk-gælisk
sk	slovakisk
sl	slovensk
so	somali
nr	sør-ndebele
st	sørsotho
es	spansk
su	sundanesisk
sv	svensk
sw	swahili
ss	swati
tl	tagalog
ty	tahitisk
ta	tamil
tt	tatarisk
tg	tatsjikisk
te	telugu
th	thai
bo	tibetansk
ti	tigrinja
to	tonga (Tonga-øyane)
cs	tsjekkisk
ce	tsjetsjensk
cv	tsjuvansk
ts	tsonga
tn	tswana
tk	turkmensk
tw	twi
tr	tyrkisk
de	tysk
ug	uigurisk
uk	ukrainsk
hu	ungarsk
ur	urdu
uz	usbekisk
wa	vallonsk
ve	venda
fy	vestfrisisk
vi	vietnamesisk
vo	volapyk
cy	walisisk
wo	wolof
xh	xhosa
za	zhuang
zu	zulu
