aa	aa
ab	ab
ae	ae
sq	Afaan Albaniyaa
ga	Afaan Ayirishii
bn	Afaan Baangladeshi
eu	Afaan Baskuu
be	Afaan Belarusia
bs	Afaan Bosniyaa
bg	Afaan Bulgariya
hr	Afaan Croatian
cs	Afaan Czech
nl	Afaan Dachii
da	Afaan Deenmaark
eo	Afaan Esperantoo
fr	Afaan Faransaayii
fo	Afaan Faroese
fi	Afaan Fiilaandi
fy	Afaan Firisiyaani
gl	Afaan Galishii
ka	Afaan Georgian
el	Afaan Giriiki
gn	Afaan Guarani
gu	Afaan Gujarati
hu	Afaan Hangaari
he	Afaan Hebrew
hi	Afaan Hindii
id	Afaan Indoneziya
sl	Afaan Islovaniyaa
es	Afaan Ispeen
et	Afaan Istooniya
ja	Afaan Japanii
de	Afaan Jarmanii
jv	Afaan Java
kn	Afaan Kannada
ca	Afaan Katalaa
ko	Afaan Korea
la	Afaan Laatini
lv	Afaan Lativiyaa
lt	Afaan Liituniyaa
mk	Afaan Macedooniyaa
mt	Afaan Maltesii
mr	Afaan Maratii
ne	Afaan Nepalii
nn	Afaan Norwegian
no	Afaan Norweyii
oc	Afaan Occit
fa	Afaan Persia
pl	Afaan Polandii
pt	Afaan Porchugaal
pa	Afaan Punjabii
ro	Afaan Romaniyaa
ru	Afaan Rushiyaa
sr	Afaan Serbiya
am	Afaan Sidaamaa
si	Afaan Sinhalese
sk	Afaan Slovak
su	Afaan Sudaanii
sv	Afaan Suwidiin
ta	Afaan Tamilii
th	Afaan Tayii
te	Afaan Telugu
ti	Afaan Tigiree
tr	Afaan Turkii
uk	Afaan Ukreenii
ur	Afaan Urdu
uz	Afaan Uzbek
vi	Afaan Veetinam
it	Afaan Xaaliyaani
xh	Afaan Xhosa
zu	Afaan Zuulu
af	Afrikoota
ak	ak
an	an
ar	Arabiffaa
as	as
av	av
ay	ay
is	Ayiislandiffaa
az	az
ba	ba
bi	bi
bm	bm
bo	bo
br	br
ce	ce
ch	ch
zh	Chinese
co	co
cr	cr
cu	cu
cv	cv
dv	dv
dz	dz
ee	ee
ff	ff
fj	fj
gv	gv
ha	ha
ho	ho
ht	ht
hy	hy
hz	hz
ie	ie
ig	ig
ii	ii
ik	ik
en	Ingliffa
en-GB	Ingliffa (GB)
en-US	Ingliffa (US)
ia	Interlingua
io	io
iu	iu
kg	kg
ki	ki
kj	kj
kk	kk
kl	kl
km	km
kr	kr
ks	ks
ku	ku
kv	kv
kw	kw
ky	ky
tk	Lammii Turkii
lb	lb
lg	lg
li	li
ln	ln
lo	lo
lu	lu
ms	Malaayiffaa
ml	Malayaalamiffaa
mg	mg
mh	mh
mi	mi
mn	mn
my	my
na	na
nb	nb
nd	nd
ng	ng
nr	nr
nv	nv
ny	ny
oj	oj
or	or
om	Oromoo
os	os
pi	pi
ps	ps
qu	qu
rm	rm
rn	rn
rw	rw
sa	sa
sc	sc
gd	Scots Gaelic
sd	sd
se	se
sg	sg
sh	sh
sm	sm
sn	sn
so	so
ss	ss
st	st
sw	Suwahilii
tg	tg
tl	tl
tn	tn
to	to
ts	ts
tt	tt
tw	tw
ty	ty
ug	ug
ve	ve
vo	vo
wa	wa
cy	Welishiffaa
wo	wo
yi	yi
yo	yo
za	za
