az	az
ak	ଅକନ୍
aa	ଅଫାର୍
ae	ଅବେସ୍ତନ
is	ଆଇସଲାଣ୍ଡିକ୍
af	ଆଫ୍ରିକାନସ୍
ab	ଆବ୍ଖାଜିଆନ୍
av	ଆଭାରିକ୍
am	ଆମହାରକି
ay	ଆୟମାରା
ar	ଆରବିକ୍
an	ଆର୍ଗୋନୀ
hy	ଆର୍ମେନିଆନ୍
sq	ଆଲବାନିଆନ୍
as	ଆସାମୀ
ig	ଇଗ୍ବୋ
it	ଇଟାଲିଆନ୍
io	ଇଡୋ
id	ଇଣ୍ଡୋନେସିଆନ୍
iu	ଇନକୀଟୁତ୍
ik	ଇନୁପିୟାକ୍
en	ଇଂରାଜୀ
en-GB	ଇଂରାଜୀ (GB)
en-US	ଇଂରାଜୀ (US)
ga	ଇରିସ୍
ie	ଇର୍ଣ୍ଟରଲିଙ୍ଗୁଇ
ia	ଇର୍ଣ୍ଟଲିଙ୍ଗୁଆ
ee	ଇୱେ
uz	ଉଜବେକ୍
nd	ଉତ୍ତର ନେଡବେଲେ
se	ଉତ୍ତର ସାମି
ur	ଉର୍ଦ୍ଦୁ
et	ଏସ୍ତୋନିଆନ୍
eo	ଏସ୍ପାରେଣ୍ଟୋ
oj	ଓଜିୱା
or	ଓଡ଼ିଆ
om	ଓରୋମୋ
oc	ଓସିଟାନ୍
os	ଓସେଟିକ୍
kg	କଙ୍ଗୋ
kr	କନୁରୀ
kn	କନ୍ନଡ
kk	କାଜାକ୍
bs	କାଟଲାନ୍
ca	କାଟାଲାନ୍
ks	କାଶ୍ମିରୀ
rw	କିନ୍ୟାରୱାଣ୍ଡା
ky	କିରଗିଜ୍
ki	କୀକୁୟୁ
ku	କୁର୍ଦ୍ଦିଶ୍
kv	କୋମି
ko	କୋରିଆନ୍
kw	କୋର୍ନିସ୍
co	କୋର୍ସିକାନ୍
cr	କ୍ରୀ
hr	କ୍ରୋଆଟିଆନ୍
kj	କ୍ୱାନ୍ୟାମ୍
qu	କ୍ୱେଚୁଆ
xh	ଖୋସା
km	ଖ୍ମେର୍
lg	ଗନ୍ଦା
gl	ଗାଲସିଆନ୍
gn	ଗୁଆରାନୀ
gu	ଗୁଜୁରାଟୀ
el	ଗ୍ରୀକ୍
kl	ଗ୍ରୀନଲାଣ୍ଡିକ୍
cu	ଚର୍ଚ୍ଚ ସ୍ଲାଭିକ୍
zh	ଚାଇନୀଜ୍
ch	ଚାମୋରୋ
cv	ଚୁଭାଶ୍
cs	ଚେକ୍
ce	ଚେଚନ୍
ka	ଜର୍ଜିଆନ୍
de	ଜର୍ମାନ୍
ja	ଜାପାନୀଜ୍
jv	ଜାଭାନୀଜ୍
za	ଜୁଆଙ୍ଗ
zu	ଜୁଲୁ
tl	ଟାଗାଲଗ୍
to	ଟୋଙ୍ଗା
ti	ଟ୍ରିଗିନିଆ
nl	ଡଚ୍
da	ଡାନ୍ନିସ୍
dv	ଡିଭେହୀ
ng	ଡୋଙ୍ଗା
tg	ତାଜିକ୍
tt	ତାତାର୍
ta	ତାମିଲ୍
ty	ତାହିତିଆନ୍
bo	ତିବେତାନ୍
tk	ତୁର୍କମେନ୍
tr	ତୁର୍କିସ୍
te	ତେଲୁଗୁ
tw	ତ୍ୱି
th	ଥାଇ
nr	ଦକ୍ଷିଣ ନେଡବେଲେ
no	ନରୱେଜିଆନ୍
nn	ନରୱେଜିଆନ୍ ନିୟୋର୍ସ୍କ
nb	ନରୱେଜିଆନ୍ ବୋକମଲ୍
na	ନାଉରୁ
nv	ନାଭାଜୋ
ny	ନିୟାଞ୍ଜ
ne	ନେପାଳୀ
pa	ପଞ୍ଜାବୀ
pt	ପର୍ତ୍ତୁଗ୍ରୀଜ୍
fa	ପର୍ସିଆନ୍
fy	ପଶ୍ଚିମ ଫ୍ରିସିୟନ୍
pi	ପାଲି
ps	ପାସ୍ତୋ
pl	ପୋଲିଶ୍
fo	ଫାରୋଏସେ
fj	ଫିଜି
fi	ଫିନ୍ନିସ୍
ff	ଫୁଲାହ
fr	ଫ୍ରେଞ୍ଚ
bn	ବଙ୍ଗାଳୀ
my	ବର୍ମୀଜ୍
ba	ବଶଖିର୍
bm	ବାମ୍ବାରା
eu	ବାସ୍କ୍ୱି
bi	ବିସଲାମା
bg	ବୁଲଗେରିଆନ୍
be	ବେଲାରୁଷିଆନ୍
vo	ବୋଲାପୁକ
br	ବ୍ରେଟନ୍
vi	ଭିଏତନାମିଜ୍
dz	ଭୂଟାନୀ
ve	ଭେଣ୍ଡା
mn	ମଙ୍ଗୋଲିଆନ୍
mr	ମରାଠୀ
mi	ମାଓରୀ
mk	ମାକଡୋନିଆନ୍
gv	ମାଁକ୍ସ
mh	ମାର୍ଶାଲୀଜ୍
mt	ମାଲଟୀଜ୍
ms	ମାଲୟ
mg	ମାଲାଗାସୀ
ml	ମାଲାୟଲମ୍
yi	ୟିଡିସ୍
uk	ୟୁକ୍ରାନିଆନ୍
ug	ୟୁଘୁର୍
yo	ୟୋରୁବା
ru	ରଷିଆନ୍
rn	ରୁଣ୍ଡି
rm	ରେହେଟୋ-ରୋମାନ୍ସ
