aa	aa
ae	ae
an	an
av	av
ay	ay
bi	bi
ch	ch
cr	cr
cu	cu
dv	dv
ff	ff
gd	gd
ho	ho
hz	hz
ia	ia
ie	ie
ik	ik
io	io
kg	kg
kj	kj
kr	kr
kv	kv
li	li
mh	mh
na	na
ng	ng
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
os	os
sc	sc
sh	sh
sm	sm
ss	ss
st	st
tl	tl
tn	tn
ts	ts
ty	ty
ve	ve
vo	vo
wa	wa
yi	yi
za	za
ug	ਉਇਗੁਰ
uz	ਉਜ਼ਬੇਕ
se	ਉੱਤਰੀ ਸਾਮੀ
nd	ਉੱਤਰੀ ਨਡੇਬੇਲੇ
ur	ਉਰਦੂ
or	ਉੜੀਆ
om	ਓਰੋਮੋ
as	ਅਸਾਮੀ
ak	ਅਕਾਨ
en	ਅੰਗਰੇਜ਼ੀ
az	ਅਜ਼ੇਰੀ
af	ਅਫ਼ਰੀਕੀ
ab	ਅਬਖਾਜ਼ੀਅਨ
am	ਅਮਹਾਰਿਕ
ar	ਅਰਬੀ
hy	ਅਰਮੀਨੀਆਈ
sq	ਅਲਬਾਨੀਆਈ
ga	ਆਇਰੀ
is	ਆਈਸਲੈਂਡਿਕ
et	ਇਸਟੋਨੀਆਈ
eo	ਇਸਪੇਰਾਂਟੋ
iu	ਇੰਕਟੀਟੂਤ
ig	ਇਗਬੋ
id	ਇੰਡੋਨੇਸ਼ੀਆਈ
it	ਇਤਾਲਵੀ
ee	ਈਵਈ
sa	ਸੰਸਕ੍ਰਿਤ
es	ਸਪੇਨੀ
sr	ਸਰਬੀਆਈ
sk	ਸਲੋਵਾਕ
sl	ਸਲੋਵੇਨੀਆਈ
sw	ਸਵਾਹਿਲੀ
sv	ਸਵੀਡਿਸ਼
sg	ਸਾਂਗੋ
si	ਸਿੰਹਾਲਾ
ii	ਸਿਚੁਆਨ ਯੀ
sd	ਸਿੰਧੀ
su	ਸੂੰਡਾਨੀ
sn	ਸ਼ੋਨਾ
so	ਸੋਮਾਲੀ
hu	ਹੰਗਰੀਆਈ
hi	ਹਿੰਦੀ
he	ਹਿਬਰੂ
ht	ਹੈਤੀਆਈ
ha	ਹੌਸਾ
ks	ਕਸ਼ਮੀਰੀ
qu	ਕਕੇਸ਼ੁਆ
kk	ਕਜ਼ਾਖ਼
kn	ਕੰਨੜ
kl	ਕਲਾਅੱਲੀਸੁਟ
ki	ਕਿਕੂਯੂ
rw	ਕਿਨਿਆਰਵਾਂਡਾ
ky	ਕਿਰਗੀਜ਼
ku	ਕੁਰਦ
ca	ਕੈਟਾਲਾਨ
co	ਕੋਰਸੀਕਨ
kw	ਕੋਰਨਿਸ਼
ko	ਕੋਰੀਆਈ
hr	ਕ੍ਰੋਏਸ਼ਿਆਈ
km	ਖਮੇਰ
xh	ਖੋਸਾ
lg	ਗਾਂਡਾ
gn	ਗੁਆਰਾਨੀ
