ab	abcázio
aa	afar
af	africâner
ay	aimara
ak	akan
sq	albanês
de	alemão
am	amárico
ar	árabe
an	aragonês
hy	armênio
as	assamês
av	avaric
ae	avéstico
az	azeri
bm	bambara
eu	basco
ba	bashkir
bn	bengali
be	bielorrusso
my	birmanês
bi	bislamá
nb	bokmål norueguês
bs	bósnio
br	bretão
bg	búlgaro
kn	canarês
kr	canúri
ca	catalão
ks	caxemira
kk	cazaque
ch	chamorro
ce	checheno
zh	chinês
si	cingalês
kg	congolês
ko	coreano
kw	córnico
co	córsico
cr	cree
hr	croata
ku	curdo
da	dinamarquês
dv	divehi
ng	dongo
dz	dzonga
cu	eslavo eclesiástico
sk	eslovaco
sl	esloveno
es	espanhol
eo	esperanto
et	estoniano
ee	eve
fo	feroês
fj	fijiano
fi	finlandês
fr	francês
fy	frísio ocidental
ff	fula
gd	gaélico escocês
gl	galego
cy	galês
ka	georgiano
el	grego
kl	groenlandês
gn	guarani
gu	guzerate
ht	haitiano
ha	hauçá
he	hebraico
hz	herero
hi	híndi
ho	hiri motu
nl	holandês
hu	húngaro
ig	ibo
io	ido
yi	iídiche
id	indonésio
en	inglês
en-GB	inglês do Reino Unido
en-US	inglês dos Estados Unidos
ia	interlíngua
ie	interlingue
iu	inuktitut
ik	inupiaque
yo	ioruba
ga	irlandês
is	islandês
it	italiano
ja	japonês
jv	javanês
km	khmer
kv	komi
kj	kuanyama
lo	laosiano
la	latim
lv	letão
li	limburguês
ln	lingala
lt	lituano
lu	luba-catanga
lg	luganda
lb	luxemburguês
mk	macedônio
ml	malaiala
ms	malaio
mg	malgaxe
mt	maltês
gv	manx
mi	maori
mr	marata
mh	marshalês
mn	mongol
na	nauruano
nv	navajo
nd	ndebele do norte
nr	ndebele do sul
ne	nepali
ny	nianja
no	norueguês
nn	nynorsk norueguês
oc	occitânico
oj	ojibwa
or	oriya
om	oromo
os	ossetic
pi	páli
pa	panjabi
ps	pashto
fa	persa
pl	polonês
pt	português
qu	quíchua
ki	quicuio
rw	quiniaruanda
ky	quirguiz
rm	romanche
ro	romeno
rn	rundi
ru	russo
se	sami do norte
sm	samoano
sg	sango
sa	sânscrito
sc	sardo
sr	sérvio
sh	servo-croata
sn	shona
ii	sichuan yi
sd	sindi
so	somali
st	soto do sul
sw	suaíli
sv	sueco
su	sundanês
ss	swati
tl	tagalo
th	tailandês
ty	taitiano
tg	tajique
ta	tâmil
tt	tatar
cs	tcheco
cv	tchuvache
te	telugu
bo	tibetano
ti	tigrínia
to	tonganês
ts	tsonga
tn	tswana
tr	turco
tk	turcomeno
tw	twi
uk	ucraniano
ug	uigur
wo	uólofe
ur	urdu
uz	usbeque
wa	valão
ve	venda
vi	vietnamita
vo	volapuque
xh	xosa
za	zhuang
zu	zulu
