aa	aa
ab	ab
ae	ae
af	Afrikaans Simi
ak	ak
sq	Albanes Simi
de	Aleman Simi
am	Amarico Simi
an	an
ar	Arabe Simi
hy	Armenio Simi
as	Asames Simi
av	av
ay	ay
az	az
bn	Bangla Simi
ba	Baskir Simi
bi	bi
be	Bielorruso Simi
bm	bm
bs	Bosnio Simi
br	Breton Simi
bg	Bulgaro Simi
ca	Catalan Simi
ce	ce
ch	ch
cs	Checo Simi
se	Chincha Sami Simi
zh	Chino Simi
si	Cingales Simi
ko	Coreano Simi
co	Corso Simi
cr	cr
hr	Croata Simi
cu	cu
cv	cv
da	Danes Simi
dv	Divehi Simi
dz	dz
ee	ee
eo	eo
sk	Eslovaco Simi
sl	Esloveno Simi
es	Español Simi
et	Estonio Simi
eu	Euskera Simi
fo	Feroes Simi
fi	Fines Simi
fj	fj
fr	Frances Simi
fy	Frison Simi
ff	Fulah Simi
gd	Gaelico Escoces Simi
cy	Gales Simi
gl	Gallego Simi
ka	Georgiano Simi
gn	gn
el	Griego Simi
kl	Groenlandes Simi
gu	Gujarati Simi
gv	gv
ht	Haitiano Criollo Simi
ha	Hausa Simi
he	Hebreo Simi
hi	Hindi Simi
ho	ho
hu	Hungaro Simi
hz	hz
ia	ia
ie	ie
ig	Igbo Simi
ik	ik
id	Indonesio Simi
en	Ingles Simi
en-GB	Ingles Simi (GB)
en-US	Ingles Simi (US)
iu	Inuktitut Simi
io	io
ga	Irlandes Simi
xh	Isixhosa Simi
zu	Isizulu Simi
is	Islandes Simi
it	Italiano Simi
ja	Japones Simi
jv	jv
kn	Kannada Simi
kk	Kazajo Simi
kg	kg
km	Khmer Simi
ki	ki
rw	Kinyarwanda Simi
ky	Kirghiz Simi
kj	kj
kr	kr
ks	ks
ku	ku
kv	kv
kw	kw
la	la
lo	Lao Simi
lv	Leton Simi
lg	lg
li	li
lt	Lituano Simi
ln	ln
lu	lu
lb	Luxemburgues Simi
mk	Macedonio Simi
ml	Malayalam Simi
ms	Malayo Simi
mt	Maltes Simi
mi	Maori Simi
mr	Marathi Simi
mg	mg
mh	mh
mn	Mongol Simi
my	my
na	na
nb	nb
nd	nd
nl	Neerlandes Simi
ne	Nepali Simi
ng	ng
nn	nn
no	Noruego Simi
nr	nr
nv	nv
ny	ny
oc	Occitano Simi
or	Odia Simi
oj	oj
om	om
os	os
ps	Pashto Simi
fa	Persa Simi
pi	pi
pl	Polaco Simi
pt	Portugues Simi
pa	Punyabi Simi
rn	rn
rm	Romanche Simi
ro	Rumano Simi
qu	Runasimi
ru	Ruso Simi
sa	Sanscrito Simi
sc	sc
sr	Serbio Simi
tn	Setsuana Simi
sg	sg
sh	sh
sd	Sindhi Simi
sm	sm
sn	sn
so	so
ss	ss
st	st
su	su
sw	Suajili Simi
sv	Sueco Simi
th	Tailandes Simi
ta	Tamil Simi
tt	Tartaro Simi
tg	Tayiko Simi
te	Telugu Simi
bo	Tibetano Simi
ti	Tigriña Simi
tl	tl
to	to
ts	ts
tr	Turco Simi
tk	Turcomano Simi
tw	tw
ty	ty
uk	Ucraniano Simi
ug	Uigur Simi
ur	Urdu Simi
uz	Uzbeko Simi
ve	ve
vi	Vietnamita Simi
vo	vo
wa	wa
wo	Wolof Simi
yi	yi
ii	Yi Simi
yo	Yoruba Simi
za	za
